ID	RANK	LINKS	WEIGHTS	URLS	DIRECTIONS	DEGREE	WEIGHTED_DEGREE
Zalizniak-2020-2590-53	53	2571 2487 931 348 327 179 100 1801 409 2535 101 1829	1 3 2 4 2 1 1 3 2 1 46 1	shift153 shift207 shift598 shift599 shift600 shift2420 shift2436 shift2464 shift2465 shift2994 shift3852 shift3902	→ → — — — — → — → → — —	12	1
Zalizniak-2020-2590-54	54	783 560 1152 506 2079 77 773 2114 754 10 2151 2018	19 1 1 8 6 1 2 1 1 1 3 1	shift7 shift117 shift121 shift164 shift759 shift1001 shift1430 shift1441 shift1475 shift1718 shift1803 shift3142	→ — — → → → — → → — → →	12	1
Zalizniak-2020-2590-55	55	269 126 2016 724 834 2059 360 2534 2068 2051 707 1166	3 4 5 3 2 10 1 1 4 4 1 1	shift10 shift444 shift843 shift982 shift1094 shift1168 shift1545 shift1584 shift2136 shift2251 shift2974 shift3320	→ ↔ → — — → → → → → — →	12	1
Zalizniak-2020-2590-56	56	128 242 2031 72 1288 2008 539 1546 124 272 975 697	10 3 2 4 4 5 18 3 1 1 2 5	shift14 shift23 shift24 shift26 shift27 shift28 shift29 shift30 shift32 shift33 shift1702 shift2528	— → → — → → → → → → → →	12	5
Zalizniak-2020-2590-57	57	530 2306 372 284 1627 1137 166 108 2018 1742 522 282	2 1 7 1 2 2 2 12 5 11 2 1	shift294 shift295 shift980 shift1128 shift1177 shift1327 shift1427 shift1632 shift1968 shift2109 shift2717 shift2810	→ → — — → ↔ — ↔ → → — —	12	1
Zalizniak-2020-2590-58	58	25 2320 191 952 804 181 112 403 19 419 117 61	5 8 14 12 1 1 1 4 4 1 1 1	shift349 shift1436 shift2043 shift2044 shift2082 shift2859 shift2861 shift2871 shift2881 shift2885 shift2886 shift3138	↔ → ↔ → → → → → — → → —	12	1
Zalizniak-2020-2590-59	59	2317 88 251 2478 2236 2587 2274 1543 148 1022 861 4	4 3 2 2 3 6 3 3 1 6 0 2	shift298 shift443 shift1533 shift2987 shift3378 shift3706 shift3864 shift3865 shift3866 shift3867 shift4008 shift4011	→ → — → → → → → → → — —	12	2
Zalizniak-2020-2590-60	60	1423 46 872 1024 2468 1848 63 146 1559 190 153 891	16 3 2 2 1 1 1 2 1 1 1 1	shift751 shift803 shift1353 shift1459 shift2510 shift3115 shift2785 shift3100 shift3344 shift3643 shift3689 shift4292	→ ↔ → → → → — — → — → →	12	1
Zalizniak-2020-2590-61	61	2282 25 2258 32 1430 304 686 100 117 62 48 58	6 12 4 2 14 1 1 2 9 1 2 1	shift98 shift789 shift793 shift1659 shift873 shift940 shift1284 shift1933 shift2238 shift2826 shift2887 shift3138	→ ↔ → — → — → — — → — —	12	1
Zalizniak-2020-2590-62	62	588 123 1620 85 686 1934 569 64 12 1475 16 1793	1 1 4 3 6 3 3 2 2 3 1 1	shift247 shift248 shift391 shift864 shift963 shift1899 shift2572 shift3219 shift3423 shift3677 shift3804 shift3916	→ — → ↔ → → ↔ — — → — —	12	1
