CONCEPTICON_ID	CONCEPTICON_GLOSS	POLISH	ENGLISH	POLISH_POS	POLISH_VALENCE_MEAN	POLISH_AROUSAL_MEAN	POLISH_DOMINANCE_MEAN	POLISH_ORIGIN_MEAN	POLISH_SIGNIFICANCE_MEAN	POLISH_CONCRETENESS_MEAN	POLISH_IMAGEABILITY_MEAN	POLISH_AOA_MEAN	POLISH_VALENCE_MEAN_FEMALE	POLISH_AROUSAL_MEAN_FEMALE	POLISH_DOMINANCE_MEAN_FEMALE	POLISH_ORIGIN_MEAN_FEMALE	POLISH_SIGNIFICANCE_MEAN_FEMALE	POLISH_CONCRETENESS_MEAN_FEMALE	POLISH_IMAGEABILITY_MEAN_FEMALE	POLISH_AOA_MEAN_FEMALE	POLISH_VALENCE_MEAN_MALE	POLISH_AROUSAL_MEAN_MALE	POLISH_DOMINANCE_MEAN_MALE	POLISH_ORIGIN_MEAN_MALE	POLISH_SIGNIFICANCE_MEAN_MALE	POLISH_CONCRETENESS_MEAN_MALE	POLISH_IMAGEABILITY_MEAN_MALE	POLISH_AOA_MEAN_MALE	LINE_IN_SOURCE
1472	KEY	klucz	key	N	5.52	3.48	6.34	6.44	4.06	1.88	8.14	7.24	5.68	3.56	6.84	6.52	4.36	1.24	8.44	7.04	5.36	3.4	5.84	6.36	3.76	2.52	7.84	7.44	1229
1475	COMB	grzebień	comb	N	5.26	3.34	5.2	5.9	3.92	1.82	7.96	7.12244898	5.24	3.32	5.52	6.28	3.64	1.04	8.28	6.36	5.28	3.36	4.88	5.52	4.2	2.6	7.64	7.916666667	952
1476	CHAIR	krzesło	chair / seat	N	5.36	2.88	4.92	6.06	3.32	1.92	8.12	5.68	5.4	3	5.36	6.04	3.08	1.24	8.44	5.44	5.32	2.76	4.48	6.08	3.56	2.6	7.8	5.92	1414
1489	CLOUD	chmura	cloud	N	5.38	3.46	5.12	4.92	3.26	2.58	7.94	6.1	5.52	3.4	4.84	5.24	3.16	2.08	8.16	5.72	5.24	3.52	5.4	4.6	3.36	3.08	7.72	6.48	360
1491	MOUSE	mysz	mouse	N	4.68	3.58	4.04	5.62	2.86	1.74	8.3	5.74	4.48	4.12	4.16	5.44	2.88	1.36	8.44	5.48	4.88	3.04	3.92	5.8	2.84	2.12	8.16	6	1830
1501	BORE	wiercić	to drill	V	4.04	4.82	5.32	5.26	2.86	3.82	7.08	7.96	4	3.36	4.44	5.96	2.72	1.28	7.36	9.16	4.28	3.56	4.2	5.24	2.48	2.28	6.96	9.44	4242
1502	GOAT	koza	goat	N	5.4	3.46	4.5	5.84	2.62	1.9	8.18	6.82	5.32	3.28	4.44	5.76	2.44	1.28	8.4	6.64	5.48	3.64	4.56	5.92	2.8	2.52	7.96	7	1361
1506	MEASURE	mierzyć	to measure	V	5.14	3.68	5.48	6.4	3.52	4.14	6.98	7.64	4.96	3.8	5.24	6.56	4	3.72	7.24	7.68	5.32	3.56	5.72	6.24	3.04	4.56	6.72	7.6	1725
1522	SOCK	skarpetka	sock	N	5.2	3.06	4.7	5.92	2.92	1.9	8.3	5.96	5.2	3.28	5.16	5.96	2.8	1.36	8.44	5.16	5.2	2.84	4.24	5.88	3.04	2.44	8.16	6.76	3376
1532	SHEAR	golić	to shave	V	4.62	3.58	5.04	5.8	3.18	3.54	7.5	8.56	4.52	3.6	4.84	5.96	3.04	2.64	7.76	8.6	4.72	3.56	5.24	5.64	3.32	4.44	7.24	8.52	885
1539	BASKET	koszyk	basket	N	5.4	2.9	4.96	5.98	2.46	1.78	7.9	6.2	5.44	2.96	5.2	6.16	2.16	1.28	8.16	6.12	5.36	2.84	4.72	5.8	2.76	2.28	7.64	6.28	1352
1543	SNAIL	ślimak	snail	N	4.9	2.58	3.8	5.74	3.08	1.92	8.26	7.28	4.76	2.4	3.96	6.04	2.6	1.44	8.52	6.68	5.04	2.76	3.64	5.44	3.56	2.4	8	7.88	3748
1567	DOOR	drzwi	door	N	5.38	3.1	5.38	6.06	3.4	1.62	8.12	5.82	5.44	3.72	5.6	6.08	3.48	1.32	8.28	5.8	5.32	2.48	5.16	6.04	3.32	1.92	7.96	5.84	615
1569	CHEESE	ser	cheese	N	6.32	3.08	5.02	5.66	3.2	1.58	8.24	5.74	6.56	3.36	5.16	5.48	3.04	1.4	8.6	5.44	6.08	2.8	4.88	5.84	3.36	1.76	7.88	6.04	3324
1585	SLEEP	spać	sleep	V	7.34	2.76	4.8	5.28	4.7	3.76	7.88	5.34	7.56	2.8	5.36	5.32	5.32	3.2	8.36	5.04	7.12	2.72	4.24	5.24	4.08	4.32	7.4	5.64	3468
1586	SMELL (PERCEIVE)	wąchać	to sniff	V	5.44	3.62	5.2	5.1	3.28	3.9	7.14	5.82	6.24	4.64	7.32	6.48	5.96	6.8	4.56	6.56	6.16	4	6.92	5.72	4.72	5.68	4.64	7.32	4183
1608	LISTEN	słuchać	obey	V	6.06	4.02	5.26	5.74	4.38	4.48	6.66	6.6	6.4	4.2	5.44	5.88	4.96	3.8	7	5.8	5.72	3.84	5.08	5.6	3.8	5.16	6.32	7.4	3429
1622	SHIRT	koszula	shirt	N	5.7	2.94	5.44	6	3.54	2.02	8.08	7.78	5.68	2.84	5.76	6.2	3.72	1.36	8.52	7.12	5.72	3.04	5.12	5.8	3.36	2.68	7.64	8.44	1351
1659	DOLL	lalka	doll	N	5.78	3.32	4.64	4.82	3.06	1.74	8	5.64	6.2	3.36	5.04	5.08	3.16	1.36	8.32	4.6	5.36	3.28	4.24	4.56	2.96	2.12	7.68	6.68	1470
1663	BED	łóżko	bed	N	7.12	3.38	5.76	4.8	4.88	1.82	8.32	5.5	7.6	3.28	6.28	4.92	5.48	1.28	8.56	5	6.64	3.48	5.24	4.68	4.28	2.36	8.08	6	1597
1672	WRITE	pisać	to write	V	5.5	3.28	5.74	6.469387755	4.48	3.38	7.1	7.24	5.64	3.16	6.12	6.416666667	4.56	2.8	7.6	6.84	5.36	3.4	5.36	6.52	4.4	3.96	6.6	7.64	2534
1689	SMOKE (INHALE)	palić	burn	V	3.82	4.96	4.92	5.58	3.66	3.4	7.68	7.58	3.6	5.28	4.84	5.76	3.84	2.92	8.32	8.52	4.04	4.64	5	5.4	3.48	3.88	7.04	6.64	2394
176	BLOW (WITH MOUTH)	dmuchać	to blow	V	5.06	3.5	5.22	5.3	2.76	3.44	7.02	6.8	4.96	3.68	5.2	5.16	3.16	3	7.72	6.52	5.16	3.32	5.24	5.44	2.36	3.88	6.32	7.08	540
1791	BUTTERFLY	motyl	butterfly	N	6.66	3.04	5.06	4.72	2.64	1.76	8.1	5.88	6.92	2.76	5.24	4.92	2.36	1.16	8.16	4.92	6.4	3.32	4.88	4.52	2.92	2.36	8.04	6.84	1801
1829	JUMP	skakać	to jump	V	6.04	4.38	5.8	4.58	3.4	3.54	7.58	6.58	6.2	4.8	5.64	4.84	3.6	2.8	8.12	5.88	5.88	3.96	5.96	4.32	3.2	4.28	7.04	7.28	3365
1839	CRY	płakać	to cry	V	2.78	5.9	2.98	3.8	5.02	4.06	7.42	5.285714286	2.68	6.04	2.92	4	5.88	3.52	7.96	4.916666667	2.88	5.76	3.04	3.6	4.16	4.6	6.88	5.64	2580
1845	BALL	piłka	ball	N	5.88	4.18	5.26	5.2	3.42	1.54	8.26	4.86	5.92	4.28	5.6	5.8	3	1.12	8.48	4.28	5.84	4.08	4.92	4.6	3.84	1.96	8.04	5.44	2523
