CONCEPTICON_ID	CONCEPTICON_GLOSS	DUTCH	DUTCH_FREQUENCY	DUTCH_CD	DUTCH_FREQUENCY_PM	DUTCH_FREQUENCY_LOG	DUTCH_SUBTITLE_CD	DUTCH_CD_LOG	LINE_IN_SOURCE
2440	PINEAPPLE	ananas	110	68	2.5155	2.0453	0.8426	1.8388	12798
2441	CASHEW	cashew	3	2	0.0686	0.6021	0.0248	0.4771	108318
2449	FAT (OF MEAT AND FOOD)	vettig	39	36	0.8918	1.6021	0.4461	1.5682	25108
245	BROOM	bezem	166	119	3.7961	2.2227	1.4746	2.0792	9654
2451	FOURTEEN	veertien	605	448	13.8351	2.7825	5.5514	2.6522	3709
2452	PURPLE	sierlijk	32	32	0.7318	1.5185	0.3965	1.5185	28490
2453	SEVENTEEN	zeventien	398	299	9.1014	2.601	3.7051	2.4771	5089
2454	SIXTEEN	zestien	589	455	13.4692	2.7709	5.6382	2.659	3789
2458	PERSPIRE OR SWEAT	zweten	245	221	5.6026	2.3909	2.7385	2.3464	7284
2470	DEAR	lief	4983	2830	113.9507	3.6976	35.0682	3.4519	703
2483	COLD (OF WEATHER)	koel	383	333	8.7584	2.5843	4.1264	2.5237	5230
249	FOG	mist	1994	1435	45.5986	3.2999	17.7819	3.1572	1476
2500	GINGER	gember	33	25	0.7546	1.5315	0.3098	1.415	28205
2504	DIFFERENT	verschillend	341	304	7.798	2.534	3.767	2.4843	5673
2506	LOOSE	los	8081	4109	184.7955	3.9075	50.917	3.6138	502
