CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	SPANISH_AOA_MEAN	SPANISH_AOA_MIN	SPANISH_AOA_MAX	LINE_IN_SOURCE
256	FOOD	comida	2.4600	1	6	1412
2575	DO OR MAKE	hacer	4.1200	1	9	3193
2578	PENCIL	lápiz	2.6800	1	11	3754
258	CALM	calma	7.9800	2	11	950
2580	HELICOPTER	helicóptero	4.6000	2	9	3247
2615	FLESH OR MEAT	carne	4.1600	1	11	1058
2618	CAMERA	cámara	5.2600	1	11	959
2623	FLAG	bandera	5.3400	1	10	663
2627	ORANGE (FRUIT)	naranja	3.2600	1	6	4469
2638	FISHING	pescar	5.4400	1	10	5055
2648	HAIR (HEAD)	cabello	4.5400	1	10	897
27	AIR	aire	4.3800	1	11	197
272	TONGS	tenazas	6.9400	1	11	6417
273	DOUGH	masa	7.8000	2	11	4121
278	AWL	punzón	6.3200	2	11	5490
2783	SCALES (MEASURE INSTRUMENT)	báscula	7.6200	4	11	699
2831	PENGUIN	pingüino	4.4200	1	10	5111
2900	PROTECT	guardar	4.0600	1	9	3139
2965	PAW	pata	4.1000	1	9	4891
297	CROOKED	torcido	5.6400	2	10	6558
