CONCEPTICON_ID	CONCEPTICON_GLOSS	CHINESE	CHINESE_FREQUENCY	CHINESE_FREQUENCY_PM	CHINESE_FREQUENCY_LOG	CHINESE_CD	CHINESE_CD_PERCENTAGE	CHINESE_CD_LOG	LINE_IN_SOURCE
1561	ARMY	军队	1870	55.74	3.27	800	12.81	2.9	1485
1563	PYTHON	蟒蛇	37	1.1	1.57	22	0.35	1.34	19883
1564	LAZY	懒惰	98	2.92	1.99	75	1.2	1.88	11610
1566	GUN	手枪	617	18.39	2.79	391	6.26	2.59	3454
1567	DOOR	门	8879	264.68	3.95	3504	56.13	3.54	389
1568	ARRANGE	约定	436	13.0	2.64	322	5.16	2.51	4461
157	DYE	染	577	17.2	2.76	411	6.58	2.61	3633
1571	SELL	卖	7475	222.82	3.87	2872	46.0	3.46	448
1573	SWELL	膨胀	101	3.01	2.0	87	1.39	1.94	11367
1574	FLOAT	浮	310	9.24	2.49	198	3.17	2.3	5642
1575	COCKROACH	蟑螂	229	6.83	2.36	103	1.65	2.01	6913
1577	AND	和	150418	4483.86	5.18	6214	99.54	3.79	33
1579	BE	是	947807	28253.52	5.98	6243	100.0	3.8	4
1580	ONLY	只	72698	2167.08	4.86	6223	99.68	3.79	61
1583	BRAIN	脑子	2401	71.57	3.38	1647	26.38	3.22	1211
1585	SLEEP	睡觉	3999	119.21	3.6	2233	35.77	3.35	780
1586	SMELL (PERCEIVE)	嗅	159	4.74	2.2	101	1.62	2.0	8662
159	SWEET POTATO	红薯	8	0.24	0.9	6	0.1	0.78	39608
1590	WAIT (FOR)	等候	339	10.11	2.53	274	4.39	2.44	5277
1592	CHEST	胸	1031	30.73	3.01	655	10.49	2.82	2361
1593	DEEP	深	2324	69.28	3.37	1652	26.46	3.22	1244
1594	FLOUR	面粉	95	2.83	1.98	69	1.11	1.84	11819
1595	SOUTH	南	1094	32.61	3.04	565	9.05	2.75	2247
1596	LOCK	锁	2790	83.17	3.45	1531	24.52	3.19	1072
1597	AIRPLANE	飞机	5020	149.64	3.7	1616	25.88	3.21	645
1598	NORTH	北	1011	30.14	3.0	600	9.61	2.78	2399
1599	WORD	字	2572	76.67	3.41	1612	25.82	3.21	1138
1600	SKIRT	裙子	1163	34.67	3.07	619	9.92	2.79	2152
1601	WEAK	衰弱	33	0.98	1.52	31	0.5	1.49	21215
1602	WAKE UP	醒	5457	162.67	3.74	2150	34.44	3.33	604
1606	INSIDE	里	63276	1886.22	4.8	6179	98.97	3.79	69
1607	HATE	恨	3077	91.72	3.49	1680	26.91	3.23	985
1608	LISTEN	听	54888	1636.18	4.74	6145	98.43	3.79	75
1609	IDEA	想法	4574	136.35	3.66	2586	41.42	3.41	694
1610	PROSTITUTE	妓女	1224	36.49	3.09	649	10.4	2.81	2052
1612	LETTER	信	7450	222.08	3.87	2883	46.18	3.46	449
1613	COLOR	颜色	1703	50.77	3.23	1138	18.23	3.06	1603
1615	ESCAPE	逃走	888	26.47	2.95	649	10.4	2.81	2633
1616	CLOTH	布	1545	46.06	3.19	748	11.98	2.87	1729
1618	GRANDSON	孙子	549	16.37	2.74	356	5.7	2.55	3773
1619	GRANDDAUGHTER	孙女	202	6.02	2.31	155	2.48	2.19	7485
1620	SON	儿	6569	195.82	3.82	2551	40.86	3.41	509
1621	SNEEZE	打喷嚏	68	2.03	1.83	57	0.91	1.76	14346
1622	SHIRT	衬衫	848	25.28	2.93	559	8.95	2.75	2737
1623	SPEAK	讲	6785	202.26	3.83	3074	49.24	3.49	490
1624	EMPTY	空	2242	66.83	3.35	1460	23.39	3.16	1280
1625	DEAD	亡	247	7.36	2.39	203	3.25	2.31	6571
1627	CHAIN	链子	95	2.83	1.98	73	1.17	1.86	11834
1628	SQUIRREL	松鼠	241	7.18	2.38	138	2.21	2.14	6681
163	BLACK	黑	4563	136.02	3.66	2018	32.32	3.3	697
1631	FAST	快快	206	6.14	2.31	145	2.32	2.16	7380
1633	FLAT	扁	549	16.37	2.74	374	5.99	2.57	3772
1634	HUNDRED	一百	657	19.58	2.82	508	8.14	2.71	3289
1638	TRUTH	真理	358	10.67	2.55	201	3.22	2.3	5085
1641	SILK	绸缎	10	0.3	1.0	10	0.16	1.0	35702
1642	NIECE	侄女	271	8.08	2.43	180	2.88	2.26	6158
1644	RELATIVES	亲人	513	15.29	2.71	392	6.28	2.59	3985
1645	SHORT	短	2303	68.65	3.36	1351	21.64	3.13	1253
1646	GIRL	女孩子	1285	38.31	3.11	791	12.67	2.9	1984
1647	FOAL	马驹	65	1.94	1.81	37	0.59	1.57	14766
1649	SIT DOWN	坐下	2777	82.78	3.44	1674	26.81	3.22	1080
1651	TEAR (OF EYE)	眼泪	521	15.53	2.72	372	5.96	2.57	3928
1652	INSTEAD	替	3906	116.44	3.59	2071	33.17	3.32	799
1653	BLIND	瞎	1009	30.08	3.0	776	12.43	2.89	2404
1654	LIGHTNING	闪	941	28.05	2.97	608	9.74	2.78	2518
1655	BLINK	眨眼	243	7.24	2.39	162	2.59	2.21	6642
1657	TRUE	真实	2865	85.4	3.46	1724	27.61	3.24	1050
1660	LOSE	丧失	373	11.12	2.57	304	4.87	2.48	4963
1663	BED	床	6505	193.91	3.81	2771	44.39	3.44	516
1664	RAFT	木筏	26	0.78	1.42	17	0.27	1.23	23844
1665	BEAT	拍打	62	1.85	1.79	51	0.82	1.71	15071
1666	MUTE	哑巴	107	3.19	2.03	88	1.41	1.94	11017
1667	HOLE	窟窿	27	0.8	1.43	27	0.43	1.43	23363
1669	ANCESTORS	祖先	221	6.59	2.34	147	2.35	2.17	7073
1671	TOWER	塔	1399	41.7	3.15	607	9.72	2.78	1865
1672	WRITE	写	13589	405.08	4.13	3955	63.35	3.6	269
1673	ARM	手臂	834	24.86	2.92	582	9.32	2.76	2769
1674	POOR	穷	429	12.79	2.63	332	5.32	2.52	4502
1675	PROMISE	答应	3241	96.61	3.51	1962	31.43	3.29	953
1679	LOAD	装	5006	149.23	3.7	2820	45.17	3.45	648
168	REST	歇	438	13.06	2.64	314	5.03	2.5	4440
1681	WAIST	腰	493	14.7	2.69	360	5.77	2.56	4087
1684	BUD	花蕾	19	0.57	1.28	19	0.3	1.28	27748
1686	BEHIND	后边	101	3.01	2.0	89	1.43	1.95	11377
1690	FENCE	栅栏	188	5.6	2.27	138	2.21	2.14	7786
1695	TUESDAY	星期二	298	8.88	2.47	205	3.28	2.31	5769
1697	MONDAY	星期一	382	11.39	2.58	268	4.29	2.43	4882
1699	SUNDAY	星期天	468	13.95	2.67	295	4.73	2.47	4238
1702	HOLY	圣洁	102	3.04	2.01	72	1.15	1.86	11313
1703	SIX	六	3898	116.2	3.59	2070	33.16	3.32	802
1704	SEVEN	七	1972	58.78	3.29	1146	18.36	3.06	1419
1705	EIGHT	八	2090	62.3	3.32	1289	20.65	3.11	1362
1706	ELEVEN	十一	127	3.79	2.1	100	1.6	2.0	9920
1707	TWELVE	十二	526	15.68	2.72	249	3.99	2.4	3897
1708	THIRTEEN	十三	121	3.61	2.08	99	1.59	2.0	10223
1709	FIFTEEN	十五	278	8.29	2.44	213	3.41	2.33	6050
1710	TWENTY	二十	618	18.42	2.79	408	6.54	2.61	3453
1711	TELL	告诉	61222	1824.99	4.79	6141	98.37	3.79	71
1713	EIGHTEEN	十八	150	4.47	2.18	119	1.91	2.08	8964
1714	NINETEEN	十九	54	1.61	1.73	47	0.75	1.67	16243
1715	THIRTY	三十	418	12.46	2.62	296	4.74	2.47	4592
1716	FORTY	四十	235	7.01	2.37	191	3.06	2.28	6805
1717	FIFTY	五十	287	8.56	2.46	192	3.08	2.28	5916
1718	SIXTY	六十	124	3.7	2.09	99	1.59	2.0	10109
1719	BURY	安葬	79	2.35	1.9	62	0.99	1.79	13120
1720	SIGN	记号	251	7.48	2.4	194	3.11	2.29	6490
1721	SEVENTY	七十	61	1.82	1.79	54	0.86	1.73	15256
1722	EIGHTY	八十	70	2.09	1.85	61	0.98	1.79	14074
1724	NINETY	九十	41	1.22	1.61	35	0.56	1.54	18961
1725	CORRECT (RIGHT)	正	19536	582.36	4.29	5406	86.59	3.73	211
1726	WET	湿	924	27.54	2.97	676	10.83	2.83	2551
1728	ROTTEN	溃烂	18	0.54	1.26	17	0.27	1.23	27827
1730	CHEEK	脸颊	107	3.19	2.03	96	1.54	1.98	11001
1732	SKY	天空	741	22.09	2.87	462	7.4	2.66	3009
