CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	SPANISH_VALENCE_MEAN	SPANISH_AROUSAL_MEAN	LINE_IN_SOURCE
953	RAPE	violación	1.18	8.13	13839
956	FLEE	huir	2.3	6.7	6897
957	WHALE	ballena	6.4	4.6	1517
958	WILD ANIMAL	bestia	3.78	7.2	1690
960	WIND	viento	5.1	5.85	13806
962	WOMAN	mujer	7.28	5.05	9032
963	BOOK	libro	6.85	4	8063
964	WOOL	lana	6.05	3.65	7904
965	WORLD	mundo	6.43	5.2	9056
969	CIGARETTE	cigarrillo	4.1	5.25	2630
970	COCONUT	coco	5.9	4.15	2774
974	TOBACCO	tabaco	3	5.75	12790
976	WEAR	vestir	6.2	4.7	13758
977	ARROW	flecha	4.75	5.8	6001
978	WAVE	ola	6.35	4.5	9482
980	HEEL	talón	5.05	5.25	12832
981	ELBOW	codo	5.05	4.65	2783
984	WORK (LABOUR)	trabajar	6.8	5.75	13212
985	VINEGAR	vinagre	4.7	6.15	13827
986	TOMATO	tomate	6.3	4.8	13139
987	REMAIN	quedar	7.05	5.7	11047
992	CLIFF	acantilado	5.65	6.4	106
994	BOW	arco	5.55	4.45	1033
996	DEAF	sordo	3.2	5.25	12531
998	PUT	meter	5.42	5.35	8714
