CONCEPTICON_ID	CONCEPTICON_GLOSS	CHINESE	CHINESE_AOA_MEAN	CHINESE_FAMILIARITY_MEAN	CHINESE_IMAGEABILITY_MEAN	CHINESE_CONCRETENESS_MEAN	CHINESE_FREQUENCY_LOG	CHINESE_STROKE	LINE_IN_SOURCE
1869	BUY	買	2.857142857		4.727272727	4.45	2.662986764	12	4247
1884	HARD	硬	3.095238095		4.454545455	4.65	2.155922089	12	1897
1886	ARMPIT	腋	5.05		4.818181818	4.95	0.46410278	12	2237
1892	TOUCH	摸	3.428571429		5.045454545	5.2105	1.693613193	14	673
1895	CLOTHES	衣	1.904761905		6.142857143	6.2632	2.44232938	6	4210
1897	HELP	幫	3.333333333		3.818181818	4.2	2.406725127	17	865
1904	DROWN	淹	4.5		4.590909091	4.95	0.899432731	11	2045
1905	EAGLE	雕	4.65		4.818181818	4.85	1.443291829	10	9
1906	SOUR	酸	3.428571429		5.454545455	4.85	1.666726054	14	2122
1907	MOLE	痣	4.7		5.5	5.7895	0.45606006	12	1360
1913	PRESS	按	3.238095238		4.681818182	4.1	2.433783665	9	1816
1917	TIE	捆	5.095238095		5.318181818	4.85	0.513036112	10	2948
1920	DREAM (SOMETHING)	夢	2.80952381		5.454545455	4.9	2.220955148	14	1010
1921	PLOUGH	耕	4		5.090909091	5.0526	1.201922542	10	4132
1927	BAMBOO	竹	3.19047619		6.272727273	6.1	1.625058412	6	4093
193	SHALLOW	淺	3.476190476		5.045454545	4.5	1.592810252	11	621
1932	GUESS	猜	3.666666667		2.909090909	4	1.483961926	11	6
1936	DEER	鹿	3.238095238		6.619047619	6.7368	1.454840701	11	4364
1941	SOLDIER	兵	3.526315789		5.590909091	5.45	2.30525552	7	3446
1942	NEAR	近	3.047619048		3.681818182	4.15	3.192188373	8	876
195	MAT	席	4.35		3.772727273	4.1	2.886294906	10	935
1954	GENTLE	嫩	4.857142857		4.409090909	3.7	1.28940381	14	219
1959	RAW	生	2.095238095		3.681818182	2.95	3.531804801	5	4017
1962	ROAST (SOMETHING)	烤	4.15		5.045454545	5.55	1.335161301	10	112
1966	BUNCH	束	4.142857143		4.636363636	4.15	2.046291288	7	3897
197	OTHER	別	3.428571429		1.3	1.4737	2.903739627	7	3473
1977	DEW	露	4.1		4.636363636	4.1	2.691399683	21	1152
1979	CHISEL	鑿	6		4.181818182	4.55	0.821127963	28	4299
1990	BECOME	成	3.142857143		1.571428571	2.45	3.49679176	7	3805
1993	SELF	己	2.142857143		2.454545455	1.9474	2.924890315	3	3729
2003	FLOW	流	3.3		5.380952381	4.75	2.808296692	10	3952
2006	FILL	填	3.55		4.772727273	4.5	1.783657683	13	61
2008	RESCUE	救	3.142857143		3.909090909	4.25	2.56393542	11	3176
2009	DOG	狗	1.904761905		6.9	6.6842	2.200682012	8	1869
2026	RICE PLANT	稻	4.428571429		5.136363636	5.65	1.048890305	15	2820
2033	DELIVER	送	2.857142857		4.090909091	4.15	2.672262971	10	4276
2034	FROST	霜	4.476190476		4.590909091	4.35	1.246220217	17	1247
2038	DRAGON	龍	3.428571429		6.045454545	6.3	2.697285253	17	827
204	AGAIN	再	2.904761905		1.428571429	1.7368	3.09520197	6	3454
2041	HEMP	麻	3.476190476		3.363636364	3.35	2.155273525	11	4367
2043	PEACH	桃	3.19047619		5.590909091	6.3	1.651985564	10	508
2049	CONGEE	粥	3		6.19047619	6.7368	1.146007569	12	4103
2052	BUCKET	桶	3.8		5.681818182	6	1.68674767	11	59
2056	WOK	鍋	3.761904762		5.181818182	6.15	1.478985381	17	2215
2061	BUDDHA	佛	3.952380952		5.727272727	5.45	1.887423824	7	751
2064	SCATTER (SEEDS)	撒	4.714285714		4.818181818	3.85	1.467673974	15	19
