CONCEPTICON_ID	CONCEPTICON_GLOSS	DUTCH	DUTCH_ACCURACY_PERCENTAGE	DUTCH_PREVALENCE	LINE_IN_SOURCE
1273	CANDLE	kaars	1	1.95996398454005	21667
1274	SALT	zout	1	1.95996398454005	53883
1275	ANSWER	antwoorden	0.996282527881041	1.90282643195467	2564
1277	HAND	hand	1	1.95996398454005	17893
1280	FALL	vallen	1	1.95996398454005	47207
1285	IMPORTANT	belangrijk	0.987903225806452	1.79293154268802	4406
1286	HOT	heet	1	1.95996398454005	18304
1287	COLD	koud	0.992537313432836	1.85093361206433	24023
1288	CAP	muts	0.988188976377953	1.79633694888769	28962
1289	BABY	baby	0.992	1.8438843248296	3317
1290	ELEPHANT	olifant	0.98220640569395	1.72900707310304	30415
1292	BAD	slecht	0.996197718631179	1.90159337592032	40533
1294	ZERO	nul	0.996644295302013	1.90811898918012	30079
1295	STICK	stok	1	1.95996398454005	42929
1297	LEG	been	0.991416309012876	1.83632900247262	4078
1298	NEWSPAPER	krant	0.992592592592593	1.85166408697088	24135
1299	COFFEE	koffie	1	1.95996398454005	23565
1301	FOOT	voet	1	1.95996398454005	49738
1302	FORK	vork	0.996282527881041	1.90282643195467	50266
1307	LANGUAGE	taal	0.992307692307692	1.84790985511622	43825
1309	ASK (INQUIRE)	vragen	0.996108949416342	1.90030583467227	50346
1310	CLEVER	slim	0.987068965517241	1.78310651867995	40652
1311	VERY	zeer	0.991735537190083	1.84044808575045	53007
1313	MOON	maan	0.99163179916318	1.83910610270026	26687
1316	TENT	tent	0.992156862745098	1.84593281812702	44505
1320	APPLE	appel	1	1.95996398454005	2644
1321	BOTTLE	fles	0.996363636363636	1.9040083945599	14126
1323	CLOCK	klok	1	1.95996398454005	23146
1324	SLIP	uitglijden	0.996138996138996	1.90074129065413	46568
1327	UNCLE	oom	0.992156862745098	1.84593281812702	31967
1331	SHEEP	schaap	0.98	1.70604339688896	38992
1333	NECK	hals	0.991902834008097	1.84261929059343	17847
1335	WHITE	wit	0.992957746478873	1.85651433499467	52258
1336	EAT	eten	0.992727272727273	1.85344793727556	13174
1337	PIG	varken	0.992	1.8438843248296	47302
1339	MORNING	ochtend	0.992063492063492	1.84471254451686	30183
1342	SUMMER	zomer	0.996138996138996	1.90074129065413	53703
1343	SUN	zon	0.985454545454545	1.76456820147015	53732
1349	CHURCH	kerk	1	1.95996398454005	22357
1350	MONKEY	aap	1	1.95996398454005	493
1352	KNIFE	mes	0.99645390070922	1.90532691700172	27827
1355	LAUGH	lachen	0.992217898832685	1.84673199488188	24808
1356	NUMBER	getal	0.992217898832685	1.84673199488188	16187
1357	DAUGHTER	dochter	0.992452830188679	1.84981913041012	10861
136	HERE	hier	0.988929889298893	1.80526508602224	18785
1360	DUCK	eend	0.98932384341637	1.81007151585286	12247
1367	CROSS	kruis	0.992592592592593	1.85166408697088	24377
1368	BREAD	brood	0.989090909090909	1.80722456198038	7417
1370	MONTH	maand	1	1.95996398454005	26688
1373	TEA	thee	0.992982456140351	1.85684412906592	44713
1375	WINDOW	raam	1	1.95996398454005	36414
1376	NOW	nu	1	1.95996398454005	30061
1377	VISIT	bezoeken	0.995967741935484	1.89826417798707	5375
1378	SPOON	lepel	0.996240601503759	1.90221649578201	25547
1379	TELEPHONE	telefoon	1	1.95996398454005	44365
138	BATHE	badderen	0.511278195488722	0.0268599608844502	3373
1381	SHOE	schoen	0.992395437262357	1.8490633259664	39368
1382	NEEDLE (FOR SEWING)	naald	0.995652173913044	1.8937299066737	29042
1383	GRANDFATHER	opa	0.996644295302013	1.90811898918012	32039
1384	SECOND	tweede	0.995934959349594	1.89779131894396	46296
1385	PEPPER	peper	0.988188976377953	1.79633694888769	34089
1386	LION	leeuw	1	1.95996398454005	25377
1390	WRONG	fout	1	1.95996398454005	14422
1394	BONE	bot	0.98936170212766	1.81053561853592	6902
1395	ROUND	rond	0.995850622406639	1.89657678130406	38150
1396	SHARP	scherp	0.992277992277992	1.84751998311607	39216
1398	DRY	droog	0.992857142857143	1.85517368237181	11739
1399	CLAY	klei	0.996078431372549	1.89986391656232	22959
1400	THIN (SLIM)	mager	1	1.95996398454005	26802
1401	DRINK	drinken	1	1.95996398454005	11687
1403	BITE	bijten	1	1.95996398454005	5700
1404	STRAIGHT	recht	0.995983935742972	1.89849791566398	36813
1405	NAME	naam	0.99609375	1.90008569235542	29049
1406	FAR	ver	0.991803278688525	1.84132620013723	47576
1407	BREATHE	ademen	0.986842105263158	1.78046434169202	891
1408	HEAR	horen	0.992452830188679	1.84981913041012	19393
1409	SEE	zien	0.996415770609319	1.9047695334705	53410
1410	KNOW (SOMETHING)	weten	0.996108949416342	1.90030583467227	51854
1411	LIE (REST)	liegen	0.995652173913044	1.8937299066737	25836
1414	SQUEEZE	uitknijpen	0.989130434782609	1.80770661881939	46618
1415	THINK (REFLECT)	nadenken	0.992217898832685	1.84673199488188	29152
1416	SIT	zitten	1	1.95996398454005	53598
1417	KILL	vermoorden	0.996108949416342	1.90030583467227	48337
1418	DIG	graven	1	1.95996398454005	17267
1419	FEAR (BE AFRAID)	bang	0.987551867219917	1.78877255700908	3619
1420	COUNT	tellen	0.995867768595041	1.89682347730688	44414
1422	BE ALIVE	levend	0.991735537190083	1.84044808575045	25665
1424	YELLOW	geel	1	1.95996398454005	15214
1425	GREEN	groen	1	1.95996398454005	17416
1426	EXPENSIVE	duur	0.992452830188679	1.84981913041012	12043
1427	BEAUTIFUL	heerlijk	0.992565055762082	1.85130008379898	18289
1429	FULL	vol	0.992217898832685	1.84673199488188	49810
143	HUMID	klam	0.958847736625514	1.52128114252842	22840
1430	STAR	ster	0.996138996138996	1.90074129065413	42660
1431	FREEZE	bevriezen	1	1.95996398454005	5227
1432	CUT	knippen	0.996428571428571	1.9049565890986	23366
1435	HUNT	jagen	0.991769547325103	1.84088877233112	21245
1439	SWIM	zwemmen	0.995867768595041	1.89682347730688	54196
1441	FLY (MOVE THROUGH AIR)	vliegen	0.996	1.89872988596458	49552
1442	STAND	staan	1	1.95996398454005	42206
1443	WALK	lopen	0.996124031007752	1.90052436152315	26338
145	SORROWFUL	verdrietig	1	1.95996398454005	47794
1451	SMILE	glimlachen	0.992537313432836	1.85093361206433	16762
1452	PUSH	duwen	0.992307692307692	1.84790985511622	12054
1453	WASH	wassen	1	1.95996398454005	51011
1455	PULL	trekken	1	1.95996398454005	45801
1456	THROW	weggooien	0.99203187250996	1.84429992637884	51387
1457	SEW	naaien	0.996	1.89872988596458	29027
1458	SAY	zeggen	0.991525423728814	1.83773343226694	53078
1459	IF	als	0.99625468164794	1.90242125185317	2158
1463	DRUNK	dronken	0.987704918032787	1.79058039306171	11736
1464	LADDER	ladder	0.993288590604027	1.860946884971	24831
1466	EXACT	stipt	1	1.95996398454005	42863
1467	CIRCLE	cirkel	0.988721804511278	1.80274309073919	8516
1468	LOOK FOR	zoeken	1	1.95996398454005	53631
1469	WEEK	week	0.996031746031746	1.89918860415455	51250
1471	WINTER	winter	0.996363636363636	1.9040083945599	52189
1472	KEY	sleutel	0.995884773662551	1.89706825696033	40589
1474	SEA	zee	0.988372093023256	1.79853022555059	52905
1475	COMB	kam	0.988636363636364	1.80171085661318	21846
1476	CHAIR	stoel	1	1.95996398454005	42879
1481	HAMMER	hamer	0.995762711864407	1.89531375111532	17881
1483	NINE	negen	0.988	1.79408251138	29533
1484	OIL (ORGANIC SUBSTANCE)	olie	0.988593155893536	1.8011895823233	30378
1485	BELOW OR UNDER	lager	0.996363636363636	1.9040083945599	24855
1487	POUR	gieten	0.992277992277992	1.84751998311607	16560
1489	CLOUD	wolk	0.991836734693878	1.84176040540553	52374
1491	MOUSE	muis	1	1.95996398454005	28874
1493	ONE	een	0.989130434782609	1.80770661881939	12239
1494	DIE	doodgaan	0.970479704797048	1.61602660614879	11119
1495	HAPPY	gelukkig	0.996389891696751	1.90439157390647	15653
1496	GRANDMOTHER	oma	0.988888888888889	1.80476725088801	30439
1498	TWO	twee	1	1.95996398454005	46292
1500	FOUR	vier	1	1.95996398454005	49138
1501	BORE	boren	0.991379310344828	1.83585360902531	6799
1502	GOAT	geit	0.99236641221374	1.84868149843239	15384
