CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	PAVIO_NORMS	ENGLISH_IMAGEABILITY_MEAN	ENGLISH_FAMILIARITY_MEAN	LINE_IN_SOURCE
1895	CLOTHES	CLOTHING	170	6.17	6.54	396
1896	FINGERNAIL OR TOENAIL	NAIL	600	6.50	6.12	1383
1897	HELP	HELP	0	0.00	6.25	979
1899	MAD	MAD	0	4.59	6.35	1263
1905	EAGLE	EAGLE	0	6.13	4.56	638
1906	SOUR	SOUR	0	4.66	5.69	1940
1908	ATTENTIVE	ATTENTIVE	0	3.13	5.19	144
192	CORNER	CORNER	201	6.13	6.00	470
1923	ROUGH	ROUGH	0	4.77	5.98	1785
193	SHALLOW	SHALLOW	0	4.23	5.85	1864
1934	BEGGAR	BEGGAR	81	6.40	4.69	193
1937	THERE	THERE	0	1.91	6.96	2072
1938	FORTRESS	CASTLE	0	0.00	4.55	326
194	FAMILY	FAMILY	0	5.81	6.42	750
1941	SOLDIER	SOLDIER	0	5.59	5.45	1931
1942	NEAR	NEAR	0	3.41	6.39	1392
1945	IDOL	FIGURE	0	5.56	5.47	781
1952	TORTURE	TORTURE	0	4.84	5.34	2114
1953	ABUSE	ABUSE	0	0.00	4.90	19
1954	GENTLE	TENDER	0	4.13	5.50	2060
1962	ROAST (SOMETHING)	ROAST	0	0.00	5.76	1772
1964	ALONE	ALONE	0	4.91	6.02	67
1973	DEMON	DEMON	236	4.70	4.39	546
1976	MERRY	FUNNY	0	4.63	6.57	862
1986	DISEASE	DISEASE	254	4.87	6.20	586
199	FAMINE	FAMINE	0	0.00	4.84	751
1990	BECOME	BECOME	0	1.94	6.43	189
1992	MORE	MORE	0	2.13	6.91	1358
1998	COMMAND	COMMAND	0	2.97	5.73	420
2	DUST	DUST	272	6.03	6.04	632
2001	PAINTING	DRAW	0	4.19	5.73	618
2004	BEND	BEND	0	4.53	5.50	201
2008	RESCUE	SAVE	0	2.44	5.94	1817
2016	JEALOUSY	JEALOUSY	486	4.72	5.40	1133
2018	GREEDY	GREEDY	0	3.91	5.37	927
202	STRENGTH	STRENGTH	815	4.63	6.16	1990
2038	DRAGON	DRAGON	0	0.00	4.65	616
2043	PEACH	PEACH	648	6.60	5.98	1525
2046	APRON	APRON	0	5.88	5.56	111
2052	BUCKET	BUCKET	0	6.13	5.06	267
2060	STORY	STORY	0	4.66	6.55	1984
2071	LAY (VERB)	LAY	0	4.09	6.06	1196
2073	ROB (VERB)	ROB	0	4.59	5.48	1773
2077	DILIGENT	DILIGENT	0	3.78	4.60	572
2090	MY	MY	0	1.94	6.87	1381
2099	CHILD	CHILD	156	6.50	6.44	358
21	TASTE (SOMETHING)	TASTE	0	3.78	6.52	2049
210	LIFE	LIFE	527	4.07	6.57	1218
2102	BURN	BURN	0	5.59	5.79	279
2117	DESIRE	DESIRE	0	3.34	5.90	554
2150	MATTER	MATTER	0	2.69	5.94	1299
2165	SLOWLY	SLOWLY	0	3.34	6.45	1915
2194	FRONT (PART)	FRONT	0	4.00	6.35	851
221	FIRE	FIRE	329	6.70	6.40	788
2214	AFFAIR	AFFAIR	0	3.25	5.71	43
2230	UNTAMED OR WILD	WILD	0	5.13	6.32	2272
2232	KEEN OR SUBTLE	SUBTLE	0	2.39	5.27	2004
2244	METAL	METAL	569	5.87	5.80	1316
2246	BELL	BELL	0	0.00	5.75	197
2247	CATERPILLAR	CATERPILLAR	140	6.57	4.39	329
225	PESTLE	PESTLE	0	2.09	1.77	1549
2259	FLESH	FLESH	335	6.13	5.20	802
227	FISH	FISH	0	0.00	5.94	793
2271	THINK	THINK	0	2.59	6.69	2081
2277	WHOLE	ENTIRE	0	2.59	5.71	686
2278	PERHAPS	PERHAPS	0	1.44	6.30	1539
2291	VOLCANO	VOLCANO	903	6.63	4.48	2220
2295	SUNSET	SUNSET	827	6.83	5.66	2018
2297	DUSK	TWILIGHT	871	5.93	4.71	2153
2301	ME	ME	0	3.06	6.67	1302
2308	THIN	THIN	0	4.72	6.28	2080
2310	US (OBLIQUE CASE OF WE)	US	0	3.88	6.75	2176
2313	BRONZE	BRONZE	115	6.17	4.38	262
2316	FREE	FREE	0	3.69	6.73	838
2335	CUNNING	CUNNING	0	0.00	4.51	504
2336	OF THIS KIND (SUCH)	SO	0	1.28	6.88	1926
2342	LANDSCAPE	LANDSCAPE	509	6.43	5.43	1183
2365	RADISH	RADISH	0	0.00	4.96	1686
2374	DREAM	DREAM	268	4.60	5.94	619
2375	VERTICAL	VERTICAL	0	5.06	5.49	2196
239	FLOWER	FLOWER	338	6.57	5.96	809
2397	LOBSTER	LOBSTER	533	6.57	4.49	1239
2400	THEIR	THEIR	0	1.87	6.71	2068
2401	PICTURE	PICTURE	664	6.20	6.24	1556
2403	TOY	TOY	857	6.17	6.18	2119
2405	CHRISTMAS	CHRISTMAS	159	6.70	6.51	366
2406	HOME	HOME	424	6.50	6.65	1002
2410	GOOD-LOOKING	PRETTY	0	4.81	6.57	1622
2411	HURT (SOMEBODY)	HURT	0	4.28	5.98	1033
242	COST	COST	203	3.57	6.54	472
2425	PROBLEM	PROBLEM	0	3.72	6.38	1633
2428	LIBRARY	LIBRARY	525	6.73	6.43	1216
243	FRESH	FRESH	0	4.44	6.16	841
2430	OFFICE	OFFICE	0	5.56	6.14	1454
2432	MARRIAGE	MARRIAGE	556	5.80	6.16	1292
2433	THEORY	THEORY	841	2.57	5.90	2071
2434	TRAGEDY	TRAGEDY	859	4.70	5.69	2123
2435	UNIVERSITY	UNIVERSITY	878	6.53	6.60	2164
244	LEFT	LEFT	0	3.78	6.65	1203
2469	AGAINST	AGAINST	0	2.28	6.40	50
2473	HIS (GENITIVE OF HE)	HIS	0	2.88	6.83	998
2482	TOGETHER	TOGETHER	0	4.09	6.43	2105
2483	COLD (OF WEATHER)	COOL	0	4.41	6.29	463
2486	HIDE	HIDE	418	3.80	5.19	991
2498	OPIUM	OPIUM	624	4.60	4.26	1467
25	DIRT	DIRT	247	6.10	6.15	575
2503	LAUNDER (WASH CLOTHES)	LAUNDER	0	4.16	3.88	1192
2504	DIFFERENT	DIFFERENT	0	2.84	5.98	569
2506	LOOSE	LOOSE	0	3.72	6.34	1248
2518	HEARING (AURAL SENSE)	HEARING	413	3.77	6.16	975
2519	SEEING (VISUAL SENSE)	VISION	901	4.73	5.65	2214
2524	JOY	JOY	492	5.43	6.06	1143
2526	POWER	POWER	683	4.47	5.77	1599
2527	ABILITY	ABILITY	7	2.67	6.26	9
2530	SMART	SMART	0	3.63	6.59	1918
2537	LENGTH	LENGTH	521	3.73	6.10	1211
2540	LIME (MATERIAL)	LIME	529	5.67	4.23	1227
2541	MIRACLE	MIRACLE	575	3.33	4.61	1331
2547	CITY	CITY	165	6.43	6.63	378
2548	BARREL	BARREL	77	6.57	5.00	175
2549	VEHICLE	VEHICLE	888	6.23	5.74	2191
2553	MISERY	MISERY	579	4.37	5.31	1336
2569	BUTCHER	BUTCHER	124	6.27	5.13	285
2573	FEELING (EMOTION)	EMOTION	0	0.00	5.85	667
2578	PENCIL	PENCIL	650	6.37	6.35	1529
258	CALM	CALM	0	3.91	6.08	296
2581	OCTOPUS	OCTOPUS	0	0.00	4.10	1449
2591	RHINOCEROS	RHINOCEROS	0	0.00	4.40	1761
2595	CACTUS	CACTUS	0	0.00	4.40	295
2597	HARP	HARP	408	6.60	4.70	963
2598	DOOR KNOCKER	KNOCKER	0	0.00	3.92	1170
2599	STETHOSCOPE	STETHOSCOPE	0	0.00	3.73	1977
26	UNPLEASANT	UNPLEASANT	0	3.19	5.68	2167
2600	PYRAMID	PYRAMID	0	0.00	3.98	1666
2603	ACCORDION	ACCORDION	10	6.50	4.19	24
2604	NOOSE	NOOSE	608	6.23	3.44	1415
2607	TRIPOD	TRIPOD	863	6.23	3.39	2138
2610	TRELLIS (ARCHITECTURE)	TRELLIS	861	5.60	2.48	2132
2622	ENGINE	ENGINE	293	6.33	5.61	679
2623	FLAG	FLAG	333	6.60	6.10	796
2625	MAP	MAP	0	0.00	5.61	1290
2628	PLANT STEM	STEM	0	5.28	5.35	1974
2643	INK	INK	466	6.37	6.14	1091
265	FOWL	FOWL	350	5.87	4.65	834
266	SCALE	SCALES	0	5.25	5.27	1818
27	AIR	AIR	22	4.17	6.77	57
270	JUG	JUG	0	0.00	5.38	1147
2708	TALK	TALK	0	3.72	6.65	2044
2754	TOWARDS	TO	0	1.44	6.82	2100
2755	BUSY	BUSY	0	3.81	6.67	282
