NUMBER	ENGLISH	Imagery mean	Imagery SD	AOA mean	AOA_SD	Familiarity mean	Familiarity SD	Concreteness mean	Concreteness SD	Meaning uncertainty	Thorndike-Lorge frequency
661	flatboat	4.08	1.78	5	1.35	2.28	0.88	6	1.24	0	2
662	flavour	4.78	1.54	3.42	0.76	5.38	1.2	4.63	1.57	0	23
663	fleece	5.62	1.57	3.67	0.88	4.08	1.19	6.11	0.92	0.17	9
664	flesh	5.54	1.57	4.11	0.7	4.85	1.37	6.4	0.76	0	50
665	flies	6.19	1.39	2.31	0.85	5.46	1.37	6.31	1.14	0.75	29
666	flock	5.22	1.74	2.94	0.88	4.34	1.2	4.94	1.45	0	44
667	flora	4.78	1.6	5.69	1.13	3.38	1.33	5.85	1.06	0.67	7
668	flourish	3.97	1.8	4.89	0.84	4.15	1.24	3.2	1.67	0.89	25
669	flue	4.06	1.99	5.61	1.19	3.01	1.3	5.2	1.72	0	2
670	fiutter	4.87	1.61	4.63	1.24	3.93	1.35	3.91	1.46	2.05	27
671	flyer	4.84	1.48	4.06	0.91	4.33	1.29	4.83	1.78	0	3
672	foe	4.41	1.78	4.53	1.01	3.44	1.12	4.34	1.55	0	23
673	following	3.35	1.68	3.94	1	5.38	1.28	2.91	1.4	1.04	100
674	font	5.03	1.59	5.47	1.48	3.38	1.4	5.97	1.46	0	1
675	football	6.25	1.04	2.33	1.05	5.64	1.35	6.2	1.51	0.47	26
676	footstep	5.32	1.82	3.17	0.96	5.17	1.54	4.86	1.53	0	18
677	force	4.43	1.88	3.72	0.9	5.52	1	3.29	1.67	2.13	100
678	forearm	5.35	1.74	4.36	1.23	4.74	1.22	6.43	0.93	0	2
679	foreigner	5.22	1.73	4.47	0.99	4.99	1.3	5.11	1.62	0	27
680	forelock	4.27	1.81	5.42	1.46	3.53	1.54	5.94	1.04	0	1
681	forest	6.46	0.83	2.97	0.97	4.91	1.33	6.37	0.99	0	100
682	forfeit	3.16	1.46	5.33	0.97	3.8	1.4	2.89	1.39	0	9
683	fork	6.03	1.26	2.25	0.8	6.39	0.89	6.6	0.72	0.29	31
684	form	4.94	1.91	3.83	1.07	5.75	1.21	5.46	1.59	2.04	100
685	fort	5.65	1.4	3.28	0.65	4.18	1.48	6.11	1.21	0	43
686	fortification	4.32	1.68	5.61	1.06	3.56	1.08	4.74	1.84	0	7
687	fortune	4.59	1.6	3.75	0.79	5.02	1.3	3.43	1.61	0.88	50
688	foundation	4.35	1.68	4.78	0.85	4.75	1.25	4.77	1.49	1.35	50
689	fountain	6.08	1.06	3.89	1.17	4.69	1.5	6.26	1.15	0	34
690	fox	6.27	1.08	2.83	0.69	4.63	1.33	6.74	0.5	0.29	25
691	frame	5.14	1.63	3.94	0.85	4.94	1.29	5.91	1.02	0.83	50
692	franchise	2.89	1.86	6.5	0.65	3.02	1.2	3.51	1.7	0	4
693	frankfurter	5.78	1.44	5.67	1.13	3.67	1.41	6.57	0.65	0	1
694	fraud	3.7	1.57	5.19	0.97	4.15	1.29	3.29	1.6	0	10
695	freedom	4.57	1.69	4.25	1.01	5.46	1.21	2.5	1.54	0	50
696	freight	3.97	1.59	5.42	1.16	3.54	1.12	5.17	1.25	0	34
697	frenzy	4.56	1.74	5.06	0.94	4.09	1.4	2.97	1.5	0	7
698	friar	5.03	1.68	4.83	0.9	3.43	1.29	5.69	1.37	0	26
699	friendship	5.41	1.5	3.83	1.01	5.67	1.09	3.34	1.82	0	50
700	frill	5.03	1.57	3.83	1.01	3.79	1.18	5.46	1.34	0	4
701	frog	6.14	1.21	2.58	0.79	4.6	1.57	6.8	0.47	0	25
702	frost	6.19	1.09	2.64	0.89	5.65	1.26	6.2	1.01	0	41
703	fruit	6.3	1.27	2.19	0.84	6.25	1.01	6.46	1.16	0.17	100
704	fudge	5.73	1.54	2.78	0.85	4.77	1.54	6.43	0.84	0	1
705	fullness	3.7	1.57	4.53	1.09	4.46	1.25	2.69	1.21	0	7
706	function	3.16	1.59	5.11	0.99	5.16	1.27	3.43	1.74	1.6	36
707	furnace	5.92	1.34	4.28	0.87	4.06	1.39	6.34	0.83	0	29
708	fury	4.86	1.8	4.17	0.87	4.72	1.41	3	1.55	0.17	29
709	future	4.19	1.63	4.14	1.03	6.12	1.02	3.06	1.76	0	100
710	gabardine	4.08	2.1	5.28	1.8	2.77	1.06	5.91	1.36	0	100
711	gain	3.14	1.66	3.89	0.81	5.41	1.19	3.6	1.62	0	3
712	gallery	5.81	1.35	4.42	0.95	4.83	1.29	5.97	0.94	0.72	28
713	game	5	1.36	2.42	0.64	5.97	1.12	4.94	1.62	0.77	100
714	gang	5.41	1.46	3.36	0.82	5.15	1.26	5.11	1.45	0	25
715	garden	6.51	0.95	1.86	0.63	6.18	0.97	6.63	0.86	0	100
716	garment	5.32	1.36	4.53	0.96	3.94	1.4	6	0.99	0	40
717	gas	5.22	1.86	3.39	0.86	5.4	1.44	5.8	0.98	1.27	50
718	gasp	4.97	1.52	3.67	0.82	4.57	1.42	4.17	1.5	0	29
719	gauntlet	5.54	1.55	5.11	0.99	3.14	0.96	6.09	0.97	0.51	2
720	geese	5.95	1.45	3.14	0.92	4.19	1.14	6.46	1.16	0	26
721	generation	3.68	1.76	4.89	1.01	5.2	1.17	3.17	1.58	0.8	48
722	genius	4.78	1.8	4.8	0.98	4.7	1.19	3.71	1.92	0	30
723	gentleman	5.54	1.37	3.47	0.87	5.11	1.42	5.6	1.59	0	100
724	gentry	4.68	1.86	5.56	0.96	3.09	1.09	4.66	1.41	0	5
725	geography	4.76	1.79	4.5	0.83	4.95	1.43	3.37	1.87	0	14
726	germ	4.68	2.23	3.19	1.1	5.06	1.34	4.54	1.83	0	10
727	gesture	4.38	1.79	4.94	0.81	4.77	1.21	4.11	1.51	0	28
728	giant	5.68	1.4	2.56	0.76	4.69	1.5	5.37	1.76	0	50
729	gig	4.43	1.69	5.64	1.27	4.25	1.66	5.49	1.57	0.99	3
730	gingerbread	5.78	1.45	3	1.05	4.27	1.58	6.6	0.68	0	6
731	girl	6.3	1.27	1.83	0.87	6.72	0.45	6.66	0.63	0	100
732	giver	3.84	1.79	3.92	1.16	4.16	1.56	4.43	1.68	0	5
733	glare	5.42	1.57	4.44	1.01	4.58	1.37	4.51	1.57	0.99	26
734	gleam	5.17	1.62	4.03	0.93	4.56	1.27	3.97	1.46	0	35
735	glimpse	4.28	1.68	4.5	0.83	4.69	1.29	3.76	1.7	0	37
736	globe	5.95	1.21	3.64	0.98	4.52	1.5	5.29	1.86	0	41
737	glove	6.03	1.4	2.28	0.84	5.78	1.39	6.29	1.19	0	43
738	glut	3.4	1.64	5.5	0.93	3.53	1.13	4	1.57	0	1
739	goal	5.62	1.3	2.94	0.57	5.54	0.95	5	1.6	0.99	21
740	godhead	3.3	2	6.14	1.06	2.72	1.61	3.6	1.95	0	1
741	golf	6.08	1.08	3.64	1.06	4.74	1.54	5.71	1.32	0	26
742	gondola	5.78	1.3	5.08	1.06	2.91	1.16	6.4	0.8	0	2
743	goodness	4.22	1.83	3.14	0.92	5.09	1.33	2.66	1.64	0	34
744	gore	3.92	1.87	5.47	1.17	3.46	1.21	4.6	1.57	0	7
745	gospel	4.46	2.09	4.44	1.4	4.37	1.48	4.11	1.98	0	13
746	government	4.92	1.76	4.53	0.87	5.94	1.05	4.37	1.71	0	100
747	grade	4.03	1.94	4.17	1.04	5.33	1.1	3.37	1.62	0	44
748	graduate	5.22	1.68	5.92	0.86	5.2	1.46	4.69	1.72	0	28
749	gramercy	1.54	1.15	6.83	0.5	1.59	1.1	2.7	1.66	0	2
750	grandfather	5.7	1.63	2.14	0.89	4.71	1.57	5.94	1.33	0	36
751	grandmother	6.16	1.26	2.08	0.8	4.98	1.58	6.17	1.36	0	48
752	grape	5.95	1.21	2.97	0.9	5.02	1.31	6.71	0.51	0.17	34
753	graphite	4.57	1.84	5.86	1.03	3.53	1.44	5.91	1.27	0	4
754	grave	6.14	1.28	3.39	0.95	4.87	1.24	5.63	1.71	0.72	50
755	gravy	6	1.22	2.69	0.78	5.22	1.13	6.4	1.05	0	8
756	greed	4.62	1.48	2.94	0.97	5.19	1.27	2.66	1.31	0	3
757	green	6.24	1.3	2.25	0.72	5.89	1.4	4.66	1.88	0.38	100
758	greenness	5.46	1.65	3.75	1.16	3.69	1.29	3.8	1.83	0	1
759	grief	5.05	1.66	4.5	0.87	4.76	1.37	3.09	1.57	0	45
760	grievance	3.46	1.7	5.42	0.86	4.34	1.2	2.89	1.56	0	8
761	grip	5.46	1.46	3.25	0.89	5.23	1.48	5.09	1.44	0.29	35
762	groan	5.27	1.54	3.42	0.83	4.81	1.24	4.66	1.53	0	34
763	ground	5.32	1.58	2.58	0.83	5.83	1.23	5.97	1.23	0.77	100
764	grove	4.76	1.55	4.83	1.01	3.74	1.2	5.63	1.2	0	31
765	growth	4.32	1.83	3.78	1.06	5.6	1.21	3.86	1.57	1.37	50
766	guard	5.35	1.66	3.44	0.68	4.95	1.46	5.49	1.42	1.5	100
767	guess	3.36	1.87	2.92	0.86	5.85	1.21	2.34	1.39	0	100
768	guide	5.11	1.74	3.67	0.91	5.23	1.24	5.17	1.65	1.05	100
769	gulf	4.97	1.59	4.56	1.01	4.06	1.33	4.63	1.62	0	33
770	gun	6.38	0.94	2.28	0.93	4.83	1.46	6.46	1	0	50
771	gush	4.89	1.71	4.53	1.32	3.83	1.29	4.03	1.62	1.04	9
772	guy	5.57	1.44	3.58	1.23	5.5	1.56	5.94	1.39	0.91	25
773	habit	4.24	1.84	3.5	0.96	5.83	1.14	3.6	1.87	0.54	50
774	haddock	5.38	1.58	3.89	0.87	4.75	1.32	6.74	0.5	0	1
775	hail	4.97	1.91	3.54	0.87	4.13	1.25	6.03	1.21	0.99	40
776	half	4.73	1.69	2.67	0.82	6.31	0.9	4.09	1.9	0	100
777	hall	5.59	1.53	2.83	1.01	6.01	1.27	6.09	1.18	0.75	100
778	halter	4.59	1.9	5.11	1.13	3.74	1.65	5.77	1.35	1	5
779	hammer	6.19	1.37	2.78	0.85	4.85	1.46	6.63	0.76	0	34
780	handkerchief	5.89	1.56	2.89	0.74	5.51	1.33	6.54	0.84	0	35
781	handmaid	4.03	2.11	5.08	1.16	2.77	1	5.26	1.66	0	2
782	hank	3.19	2	5.83	1.3	2.9	1.23	4.89	1.7	0	1
783	happiness	5.22	1.56	3.33	0.94	5.83	1.11	2.69	1.65	0	50
784	harbour	6.03	1.26	3.19	0.62	5.12	1.23	6.37	1.04	0.17	50
785	hare	6.03	1.28	2.81	0.94	4.62	1.58	6.57	0.99	0	18
786	harm	3.68	1.8	3.06	0.78	5.36	1.37	2.31	1.17	0	50
787	harness	5.14	1.73	4.58	1.26	3.7	1.42	5.91	1.13	0	29
788	harpsichord	5.43	1.31	5.11	1.1	3.01	1.23	6.6	0.68	0	1
789	harvest	5.68	1.32	3.22	0.95	4.66	1.27	5.6	1.1	0	48
790	haste	4.22	1.53	4.34	0.95	4.09	1.17	2.97	1.75	0	48
791	hate	4.86	1.85	2.78	0.67	5.48	1.27	2.66	1.62	0	50
792	haul	4.05	1.64	4.56	1.01	4.01	1.31	3.83	1.66	0.38	21
793	havoc	5.11	1.67	4.69	0.91	4.62	1.29	3.37	1.66	0	6
794	hay	6.03	1.35	2.97	0.69	4.86	1.33	6.6	0.59	0	46
795	head	6.13	1.26	1.81	0.66	6.52	0.7	6.17	1.28	0.91	100
796	health	4.59	1.6	4	0.89	5.89	1.01	3.83	1.58	0	100
797	heap	5	1.68	3.19	0.84	5.19	1.32	5.03	1.56	0	46
798	heart	6.24	1.05	2.81	1	5.93	1.03	6.37	0.96	0.77	100
799	heat	5.46	1.6	2.78	0.71	6.08	0.92	4.69	1.69	0.17	100
800	heaven	4.73	1.97	2.72	0.96	5.38	1.37	2.89	1.98	0	100
801	hedge	5.89	1.2	3.06	1	4.87	1.38	6.51	0.81	0.29	32
802	height	4.78	1.8	2.94	0.66	5.9	0.92	3.8	1.51	0	100
803	hell	6.05	1.25	3.14	0.98	5.64	1.36	3.43	1.93	0	31
804	help	4.95	1.59	2.22	0.92	6.11	1	3.51	1.89	0	100
805	hen	6.03	1.46	2.19	0.66	4.61	1.71	6.69	0.62	0	49
806	henchman	4.3	1.8	5.78	1	3.09	1	5.43	1.29	0	1
807	herd	5.54	1.43	3.25	0.55	4.36	1.15	5.94	0.86	0	37
808	herdsman	5.06	1.6	4.58	0.92	3.56	1.32	5.69	1.33	0	4
809	heresy	3.35	1.71	6.28	0.84	3.34	1.22	2.6	1.34	0	5
810	hero	5.11	1.77	3.61	0.76	4.73	1.53	4.4	1.87	0	50
811	herring	5.54	1.46	3.97	0.9	4.25	1.38	6.74	0.5	0	9
812	hesitation	3.38	1.85	5.23	0.96	4.84	1.15	2.46	1.23	0	10
813	hide	4.65	1.89	2.56	0.96	5.17	1.3	4.77	1.85	0.88	50
814	hierarchy	4.23	1.66	6.33	0.67	4.31	1.37	3.4	1.53	0	1
815	highway	5.54	1.35	4.36	0.85	3.85	1.33	5.77	1.29	0	34
816	hill	6.13	1.4	2.56	0.6	5.85	1.14	6.2	0.92	0	100
817	hind	4.3	2.09	4.69	1.27	4.16	1.44	4.91	1.9	1.13	26
818	hint	3.83	1.95	4.08	0.86	5.61	1.22	2.6	1.42	0	29
819	history	4.38	1.89	3.69	0.81	5.51	1.23	3.2	1.8	0	100
820	hive	5.6	1.55	3.19	0.94	3.86	1.63	6.14	1.22	0.17	14
821	hobby	5	1.43	3.61	1.06	5.18	1.22	4.63	1.77	0	8
822	hold	4.24	1.75	2.67	0.94	6.07	1.13	4.29	1.73	1.07	100
823	holiday	6.35	0.96	2.58	0.68	5.85	1	4.51	1.66	0	47
824	home	6.19	1.09	2.33	0.67	6.44	0.89	5.54	1.46	0	100
825	homemaker	3.76	1.88	4.83	1.12	3.54	1.13	4.77	1.66	0	6
826	honey	6.22	1.14	2.86	0.63	4.99	1.45	6.63	0.68	0.34	50
827	honour	3.51	1.59	4.39	0.79	5.04	1.25	2.57	1.4	0	100
828	hoof	5.97	1.4	3.06	0.78	4.22	1.37	6.37	1.17	0.17	26
829	hop	5.6	1.46	2.89	1.39	4.32	1.5	5.14	1.74	0.54	35
830	horn	5.78	1.34	3.08	0.76	4.91	1.46	6.6	0.64	1.45	50
831	horror	5.51	1.27	3.72	0.87	5.01	1.52	3.4	1.57	0	33
832	hose	5.78	1.49	3.14	1.03	4.49	1.56	6.29	0.94	0.38	9
833	hospital	6	1.29	3.19	1.08	5.31	1.17	6.29	0.91	0	50
834	hotel	5.84	1.37	3.08	0.8	5.69	1.09	6.34	0.95	0	50
835	household	5.08	1.89	4.14	1.05	5.04	1.27	4.77	1.62	0	50
836	howl	5.42	1.42	2.69	0.62	4.47	1.37	4.46	1.63	0	34
837	howler	3.59	1.73	4.78	1.06	3.59	1.25	3.69	1.72	1.95	1
838	hue	4.05	1.63	5.44	0.98	3.74	1.56	4.14	1.71	0.46	12
839	human	5.49	1.64	3.69	1.02	5.96	1.19	6.14	1.24	0	100
840	humankind	4.32	1.93	5.14	1.03	3.51	1.48	4.37	1.81	0	1
841	humour	4.65	1.73	4.17	1.01	5.49	1.04	3.29	1.67	0.55	41
842	hump	5.11	1.8	3.69	0.7	4.08	1.18	5.4	1.13	1.55	5
843	hunger	5.7	1.39	2.75	0.76	5.94	0.9	4.06	1.74	0	37
844	hunter	5.7	1.49	3.42	0.98	4.28	1.47	5.6	1.42	0	46
845	hurt	4.72	1.69	2.19	0.74	5.98	1.07	3.69	1.79	0	100
846	hush	4.73	1.77	2.46	1.1	4.15	1.61	4.03	1.75	0	26
847	huzza	1.62	1.57	6.67	0.88	1.31	0.61	3.5	2.14	0	1
848	hygiene	4.65	1.76	4.81	0.81	4.93	1.19	3.49	1.65	0	6
849	hypothesis	3.4	1.92	6.44	0.91	4.72	1.6	2.26	1.32	0	4
850	ice	6.41	0.82	2.61	0.76	5.64	1.24	6.57	0.8	0	100
851	ideal	3.49	1.76	4.61	1.06	5.38	1.08	2.31	1.55	0.55	48
852	identification	3.51	1.83	5.28	0.93	4.51	1.34	2.77	1.53	0	3
853	idleness	3.38	1.68	5.03	1.07	4.14	1.38	2.29	1.28	0	9
854	ignition	4.41	1.78	5	1.25	4.31	1.35	4.14	1.51	0	1
855	illiteracy	3.54	1.82	5.78	0.89	4.13	1.28	2.4	1.57	0	1
856	illusion	4.14	1.83	5.42	0.98	4.61	1.32	2.14	1.27	0.29	10
857	imagination	3.78	1.79	4.08	0.92	5.88	1.06	2.31	1.74	0	36
858	imitator	3.89	2.04	5.03	1.14	3.83	1.34	4.29	1.89	0	1
859	immensity	4.08	1.95	5.67	0.91	3.88	0.96	2.51	1.27	0	1
860	immortality	3.54	1.87	5.92	1.04	4.24	1.31	1.91	1.3	0	6
861	immunity	3.65	1.98	5.89	0.92	4.14	1.28	2.83	1.61	0	3
862	impatience	4.19	1.87	4.25	0.89	5.3	1.15	2.46	1.23	0	9
863	impediment	3.54	1.65	6.19	0.74	3.64	1.25	3.6	1.66	0.97	4
864	imperfection	3.97	1.95	5.31	0.94	4.14	1.16	2.74	1.75	0	2
865	impersonation	3.81	1.75	5.22	0.92	4.14	1.38	3.29	1.73	0	1
866	impetus	2.78	1.73	6.44	0.69	3.53	1.3	2.69	1.43	0	5
867	importance	3.53	1.89	4.06	0.97	5.75	1.11	2.31	1.28	0	50
868	impossible	3.14	1.89	3.58	0.86	6.08	1.31	1.79	1.05	0	50
869	impression	3.19	1.96	4.86	0.82	5.54	1.09	2.8	1.56	1.49	45
870	imprint	3.38	1.79	5.42	0.92	4.39	1.39	4.31	1.7	0	3
871	improvement	3.38	1.55	4.42	1.01	5.64	0.93	3.23	1.55	0	40
872	impunity	1.89	1.27	6.64	0.63	2.54	1.19	2.29	1.38	0	4
873	inaction	2.76	1.7	5.89	0.94	3.27	1.36	2.91	1.66	0	1
874	inauguration	3.3	1.72	6.39	0.72	3.11	1.27	3	1.55	0	4
875	incantation	3.24	1.95	6.56	0.64	2.57	1.32	3.46	1.68	0	1
876	incident	3.59	1.58	4.58	0.8	5.04	1.07	3.49	1.48	0	29
877	incline	4.35	1.86	5	0.82	4.67	1.37	3.8	1.58	1.42	42
878	income	4.81	1.5	5.06	1.29	5.21	1.12	4.4	1.64	0	46
879	incongruity	2.16	1.44	6.72	0.51	3.06	1.02	1.89	1.09	0	1
880	increase	3.62	1.87	4.19	0.97	5.9	1.14	3.11	1.58	0	100
881	incredulity	3.03	1.9	6.56	0.64	3.51	1.09	2.23	1.24	0	2
882	incursion	1.7	1.11	6.64	0.63	2.77	0.89	2.66	1.57	0	1
883	independence	4.46	1.97	5.22	1	5.43	1.24	2.29	1.38	0	36
884	indication	3.46	1.85	4.81	0.84	4.99	1.23	2.74	1.44	0	13
885	indigenous	2.7	1.54	6.58	0.72	3.3	1.4	2.66	1.62	0	2
886	indiscretion	3.11	1.87	6.31	0.95	3.84	1.14	2.37	1.38	0	2
887	individual	4.46	1.99	4.54	0.91	5.86	0.94	4.91	1.78	0	50
888	indolence	2.33	1.45	6.51	0.69	2.83	1.21	1.94	1.07	0	1
889	industry	4.46	1.72	4.92	0.95	5.58	1.15	4.57	1.32	0.63	100
890	inefficiency	3.22	1.54	5.6	0.9	4.65	1.22	2.09	1.05	0	2
891	inexperience	3.11	1.93	5.36	0.75	4.73	1.28	2.34	1.12	0	1
892	infallability	2.81	1.74	6.39	0.86	3.32	1.1	2.09	0.97	0	1
893	infantry	4.89	1.57	4.75	1.34	3.51	1.2	5.54	1.57	0	10
894	inferno	5.78	1.36	5.25	0.98	4.01	1.18	5.06	1.37	0	1
895	infinity	4.75	2.17	5.75	1.04	4.85	1.39	1.86	1.66	0	2
896	influence	2.76	1.4	5.42	1.04	5.39	1.12	2.71	1.32	0	50
897	information	3.7	1.89	3.97	0.76	5.9	1.26	3.94	1.76	0	50
898	infringement	2.84	1.62	6.33	0.75	3.61	1.19	2.51	1.18	0	1
899	inhabitant	4.22	1.93	4.69	0.81	4.66	1.21	5.06	1.62	0	30
900	inhibition	3.89	1.86	6.17	0.91	4.76	1.39	2.51	1.25	0	1
901	initiation	3.76	1.92	5.97	0.83	3.89	1.22	2.63	1.48	0	2
902	inn	5.81	1.41	3.44	0.93	4.3	1.32	6.37	0.8	0	27
903	innocence	3.89	1.78	4.78	0.92	5.22	1.21	2.34	1.41	0	14
904	inoculation	5.19	1.52	5.31	1.43	3.64	1.42	4.86	1.61	0	1
905	inquiry	3.27	1.55	4.83	0.81	4.85	1.15	3.6	1.74	0	22
906	insect	5.95	1.39	2.83	0.93	5.41	1.18	6.51	0.73	0	40
907	insight	3.35	1.63	5.46	0.84	4.62	1.31	2.6	1.48	0	5
908	insistence	3.3	1.83	5.56	0.83	4.11	1.27	2.51	1.11	0	4
909	insolence	4.05	1.99	5.11	1.22	3.96	1.28	2.2	1.12	0	3
910	instance	2.41	1.62	4.71	0.78	5.02	1.33	2.31	1.39	0	50
911	instinct	3.78	1.96	4.89	0.97	5.18	1.33	3.06	1.96	0	30
912	institution	4.41	1.87	5.53	1.01	4.79	1.25	4.14	1.71	0	49
913	insufficiency	2.59	1.5	5.89	0.84	3.85	1.14	2.46	1.38	0	1
914	insurance	3.71	1.52	5.08	1.06	4.84	1.35	3.11	1.79	0	32
915	intelligence	3.89	1.52	4.58	1.11	5.7	1.05	2.66	1.66	0	32
916	intemperance	2.68	1.95	6.51	0.73	2.36	1.1	2.35	1.19	0	1
917	intention	2.92	1.6	4.81	0.7	5.25	1.21	2.77	1.49	0	33
918	interest	3.68	1.92	4.11	0.81	5.75	1.1	3.06	1.57	1.58	100
919	interior	4.3	1.63	4.81	0.88	4.56	1.37	4.46	1.54	0	33
920	intermission	4.08	1.58	5.22	1.27	3.86	1.21	3.32	1.62	0	2
921	interposition	2.08	1.21	6.42	0.79	3.02	1.09	2.46	1.44	0	1
922	interruption	3.65	1.73	4.42	0.95	5.46	1.28	3.37	1.62	0	8
923	interview	5.05	1.51	4.94	1.03	5.06	1.28	4.29	1.65	0	26
924	intirnation	3.51	1.85	6.08	1.11	3.71	1.26	3.06	1.71	0	2
925	intoxication	5.76	1.36	5.97	0.96	3.78	1.27	3.77	1.74	0	2
926	introduction	3.62	1.6	4.81	0.81	5.66	1.12	3.4	1.73	0.93	31
927	invader	4.25	1.88	4.39	1.14	4.02	1.34	5.03	1.54	0	8
928	invention	4.14	1.51	4.06	0.81	4.89	1.17	3.94	1.64	0	42
929	investigation	4.11	1.72	4.86	0.96	4.8	1.29	3.51	1.7	0	23
930	invitation	5.19	1.31	3.61	0.89	5.57	0.95	4.51	1.83	0	35
931	iodine	5.14	1.77	5.58	1.23	3.96	1.71	6.06	1.37	0	2
932	iron	5.61	1.5	2.81	0.91	5.64	1.25	6.4	0.99	0.97	100
933	irony	2.64	1.47	6.06	0.81	4.56	1.46	1.97	1.16	0	4
934	irregularity	3.59	2.06	5.64	0.98	4.31	1.26	2.6	1.52	0	3
935	irrigation	4.62	1.53	5.64	0.95	3.99	1.42	4.66	1.39	0	8
936	irritation	4.54	2.01	5.08	0.98	4.7	1.12	3	1.45	0	5
937	island	6.49	0.79	2.89	0.87	5.07	1.37	6.29	0.91	0	100
938	issue	2.95	1.56	4.72	1.17	5.31	1.17	3.37	1.71	1.55	100
939	item	3.62	1.96	4.06	0.91	5.27	1.26	4.37	1.68	0	26
940	jack	4.22	2.08	4.14	1.46	4.57	1.62	6.11	1.35	2.32	50
941	jade	4.65	1.99	5.72	1.04	3.59	1.3	6	1.35	1.13	4
942	janitor	5.14	1.55	3.81	0.99	4.63	1.58	5.57	1.55	0	2
943	jar	5.89	1.56	2.42	0.49	5.77	1.34	6.43	0.87	0.17	43
944	jaw	5.61	1.42	3.61	0.95	5.06	1.18	6.51	0.81	0	11
945	jeer	4.36	1.77	4.86	0.95	3.78	1.24	3.37	1.42	0	7
946	jerk	4.89	1.8	4	0.88	4.11	1.57	4.26	1.56	0.17	18
947	jersey	5.78	1.47	3.06	1.15	5.59	1.35	6.57	0.6	0.98	21
948	jewel	6.36	0.92	2.92	0.92	4.88	1.33	6.46	0.84	0	41
949	jingle	5.03	1.58	3.86	1.42	4.09	1.25	4.49	1.5	1.14	6
950	jobber	2.32	1.56	6.39	0.95	2.3	1.24	4.63	1.93	0	2
951	joke	5.24	1.57	2.89	0.66	5.85	1.17	4.4	1.71	0	32
952	jolt	4.32	1.69	4.31	0.94	4.24	1.32	4.34	1.37	0	5
953	journal	4.89	1.48	4.47	1.04	5.17	1.32	5.8	1.41	0	100
954	joy	5.43	1.69	3.42	0.98	5.15	1.35	2.86	1.77	0	100
955	joyousness	4.78	1.89	5.36	1.16	2.96	1.26	2.51	1.46	0	1
956	judgement	3.39	1.7	4.97	0.87	5.06	1.29	2.49	1.38	0	50
957	juice	6.05	1.18	2.5	0.87	5.91	1.23	6.26	0.91	0	37
958	jump	5.16	1.6	2.22	0.53	5.54	1.25	4.63	1.49	0	50
959	junior	3.97	1.81	3.56	1.04	4.7	1.13	3.89	1.53	1.13	31
960	justice	4.22	1.76	5	0.82	4.77	1.16	2.6	1.5	0	50
961	justification	3.32	1.96	6.03	0.96	4.11	1.28	2.03	1.11	0	5
962	kale	3.97	2.27	5.75	1.4	2.56	1.41	5.86	1.74	0	1
963	keel	4.57	1.57	5	1.22	3.37	1.35	5.37	1.84	1.02	7
964	keeper	4.27	1.64	3.92	0.83	4.64	1.09	4.74	1.63	0	23
965	kennel	5.86	1.55	3.22	0.67	4.49	1.45	6.46	0.69	0	6
966	kettle	6.08	1.48	2.74	0.8	6.19	1.06	6.49	0.81	0	27
967	kick	5.57	1.52	2.28	0.73	5.63	1.36	5.03	1.52	0	47
968	kilt	6.28	1.19	3	1	4.85	1.62	6.44	0.88	0	1
969	kindness	4.46	1.8	3.28	0.77	5.54	1.18	2.71	1.51	0	35
970	kink	4.86	1.68	5.23	1.24	3.56	1.52	4.31	1.58	0.78	1
971	kitten	6.49	0.86	2.19	0.7	4.66	1.46	6.77	0.59	0	35
972	knee	6.03	1.55	2.31	0.78	5.99	1	6.26	1.46	0	100
973	knitting	5.84	1.46	2.86	0.79	5.01	1.43	6.14	0.96	0	30
974	knowledge	3.59	1.76	4.77	1.02	5.56	1.2	2.89	1.6	0	100
975	knuckle	5.43	1.6	3.56	0.76	4.82	1.39	6.34	0.92	0.17	5
976	labour	4.3	1.78	5.06	0.94	5.59	1.05	4.14	1.69	1.11	100
977	lad	5.14	1.6	3.06	0.81	5.31	1.29	5.97	1.08	0	50
978	lady	5.89	1.37	2.31	0.57	5.94	1.09	5.94	1.24	0	100
979	lamb	6.39	1.09	1.86	0.58	5.34	1.29	6.77	0.42	0	45
980	lamp	5.84	1.46	2.83	0.76	5.72	1.15	6.43	0.87	0	50
981	land	5.68	1.45	2.86	0.63	5.99	1.15	6.2	0.89	1.05	100
982	lane	5.73	1.62	2.61	0.76	5.13	1.38	5.83	1.42	0	32
983	lap	5.18	1.67	2.63	1.04	4.63	1.41	5.47	1.31	1.65	36
984	larch	5.14	1.71	4.06	0.78	4.06	1.42	6.6	0.64	0	2
985	larkspur	2.69	2.19	6.22	1.13	2.09	1.26	5	2.38	0	1
986	latch	4.7	1.64	3.86	1	4.32	1.23	6.09	1.23	0	8
987	latter	2.62	1.81	5.36	0.89	4.44	1.39	2.71	1.61	0	50
988	laughter	6.19	0.91	3.22	0.79	5.7	1.22	4.2	1.7	0	47
989	laundry	5.65	1.49	3.67	1.05	5.02	1.45	6.06	1.09	0.81	9
990	law	4.32	1.71	3.83	0.76	5.67	1.02	3.43	1.95	0	100
991	lawyer	5.49	1.6	4.81	0.97	4.82	1.45	5.97	1.38	0	47
992	lead	5.35	1.65	4	1.05	5.22	1.41	5.97	1.4	1.3	100
