CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	SPANISH_HAPPINESS_MEAN	SPANISH_DISGUST_MEAN	SPANISH_ANGER_MEAN	SPANISH_FEAR_MEAN	SPANISH_SADNESS_MEAN	SPANISH_POS	LINE_IN_SOURCE
1712	OATH	juramento	2.3000	1.4000	1.6000	2.1100	1.7500	NOUN	5877
1730	CHEEK	mejilla	2.3500	1.0000	1.0500	1.0000	1.2000	NOUN	6421
1743	JOIN	juntar	2.7500	1.4000	1.2600	1.3000	1.1500	VERB	5873
1744	SPLEEN	bazo	1.5000	2.2000	1.2400	1.4700	1.1600	NOUN	1218
1745	HIP	cadera	1.9500	1.1000	1.2000	1.2000	1.3500	NOUN	1487
1753	TOP	cima	3.6500	1.1000	1.2500	1.5000	1.4000	NOUN	1935
176	BLOW (WITH MOUTH)	soplar	2.1500	1.2500	1.6000	1.1500	1.5000	VERB	9358
1763	CLUB	club	2.6500	1.3500	1.5000	1.3500	1.1500	NOUN	2018
1764	OBSCURE	obscuro	1.4400	1.9200	1.8100	2.7500	2.4000	ADJECTIVE	6971
1769	AXLE	eje	1.5500	1.1000	1.1000	1.2500	1.2500	NOUN	3530
1773	GRAVE	sepulcro	1.3200	2.6000	1.8500	3.3700	3.7000	NOUN	9140
1775	TABLE	escritorio	1.9500	1.2500	1.1500	1.0000	1.1500	NOUN	3901
178	RIPE	maduro	2.2000	1.4500	1.4000	1.4000	1.1500	NOUN	6195
1781	THUMB	pulgar	1.5000	1.4000	1.0500	1.2000	1.0000	NOUN	8178
1782	GUEST	huésped	2.4000	1.3000	1.1600	1.3500	1.2100	NOUN	5128
1786	DRY UP	secar	2.1000	1.2500	1.2000	1.2000	1.2500	VERB	9038
1787	LOOM	telar	1.5000	1.1600	1.1500	1.1600	1.2500	NOUN	9662
1788	TELEVISION	tele	3.2500	1.8000	1.7500	1.3000	1.5000	NOUN	9663
1789	AGE	edad	2.5500	1.2500	1.2500	1.7500	1.7000	NOUN	3508
1792	PERJURY	perjurio	1.1700	2.0600	2.6100	2.6400	3.0600	NOUN	7492
1794	FURROW	surco	1.7500	2.0000	1.2100	1.5600	1.2600	NOUN	9540
1803	WOOD	madera	1.9000	1.0500	1.3000	1.1500	1.3500	NOUN	6182
1807	AFTERNOON	tarde	2.6000	1.5800	1.9500	1.9000	1.8000	ADVERB	9629
1818	ADJUDICATE	juzgar	1.4000	3.0500	3.3000	2.5500	2.7500	VERB	5892
1828	ASK (REQUEST)	pedir	1.8500	1.2500	1.8500	1.9000	2.4500	VERB	7400
1829	JUMP	saltar	3.2000	1.0500	1.5000	1.5500	1.0500	VERB	8976
1837	VULVA	vulva	2.0000	1.9000	1.2500	1.1600	1.0500	NOUN	10437
1839	CRY	llorar	1.4000	1.6500	2.9000	2.1000	4.1500	VERB	6115
184	MAST	mástil	1.7600	1.3000	1.1500	1.2200	1.2600	NOUN	6344
1840	BUILD	edificar	1.8400	1.2500	1.6000	1.3500	1.9000	VERB	3512
1841	SUSPECT	sospechar	1.4000	1.5000	2.2600	2.2500	2.1500	VERB	9371
1843	THOUSAND	mil	2.3000	1.0500	1.2500	1.4500	1.0000	NOUN	6522
1846	RULE	gobernar	1.5500	1.9500	2.2000	2.3000	2.3500	VERB	4820
185	FIREPLACE	fogón	2.6500	1.0000	1.5300	2.2500	1.3500	NOUN	4512
1850	COTTON	algodón	2.3000	1.1000	1.0000	1.0500	1.0000	NOUN	402
1855	BIRCH	abedul	2.0700	1.0800	1.0700	1.0000	1.0000	NOUN	20
1869	BUY	comprar	3.3500	1.0000	1.1500	1.1500	1.4000	VERB	2229
1870	ANCHOR	ancla	2.5000	1.3000	1.2500	1.5500	1.6500	NOUN	553
1874	SAUSAGE	salchicha	2.6000	2.0000	1.2000	1.0000	1.0500	NOUN	8957
1888	PAIR	par	2.1000	1.0500	1.0500	1.0500	1.0500	NOUN	7263
1890	BELIEVE	creer	2.3500	1.2500	1.4000	1.3500	1.5500	VERB	2677
1891	PUMA	puma	2.3500	1.0500	1.3500	2.9500	1.2500	NOUN	8190
1892	TOUCH	tocar	2.9000	2.0000	1.5500	1.8000	1.2500	VERB	9818
1903	SWELLING	hinchazón	1.2000	2.6500	3.1000	2.1500	2.1000	NOUN	5040
1909	SHAKE	sacudir	1.5000	1.2000	1.7500	2.1000	1.7000	VERB	8947
191	NUT	nuez	2.2000	1.3000	1.1500	1.1000	1.0500	NOUN	6938
1915	FIR	abeto	2.3000	1.0500	1.0000	1.0000	1.0000	NOUN	23
1917	TIE	atar	1.4500	2.1500	2.6000	2.8000	1.9000	VERB	943
1920	DREAM (SOMETHING)	soñar	4.5500	1.1500	1.0500	1.2500	1.2500	VERB	9347
1921	PLOUGH	arar	1.8500	1.1600	1.1100	1.2100	1.1800	VERB	751
1922	LAND (DESCEND)	desembarcar	2.1000	1.0500	1.1500	1.4500	1.7000	VERB	3070
1925	ARTERY	arteria	1.3000	2.1000	1.3500	1.3500	1.5500	NOUN	845
1927	BAMBOO	bambú	2.8000	1.1000	1.0500	1.0000	1.0000	NOUN	1136
1936	DEER	venado	1.8800	1.4700	1.1800	1.3500	1.5900	NOUN	10222
1937	THERE	allí	1.7000	1.1000	1.3000	1.1000	1.2000	ADVERB	428
1939	SWEAR	jurar	2.1500	1.8500	2.0500	1.9000	1.4500	VERB	5878
1942	NEAR	cerca	3.0500	1.2500	1.1000	1.2500	1.3500	ADPOSITION	1827
1948	SAW	serrar	1.7500	1.6800	2.0000	2.4700	1.6300	VERB	9155
1950	BEECH	haya	1.5000	1.2500	1.0500	1.0500	1.0500	VERB	4953
1959	RAW	crudo	1.2500	2.8400	1.4000	1.9000	1.3000	ADJECTIVE	2716
1966	BUNCH	racimo	2.4700	1.4000	1.5300	1.4000	1.4700	NOUN	8251
197	OTHER	otro	1.7000	1.3200	1.1500	1.5000	1.7500	DETERMINER	7164
1970	CANOE	canoa	2.5000	1.0500	1.0000	1.5000	1.2000	NOUN	1596
1972	KID	cabrito	2.3000	1.3500	1.5000	1.3000	1.3500	NOUN	1474
1977	DEW	rocío	3.2000	1.0500	1.0500	1.2500	1.1500	NOUN	8846
1982	WHIRLPOOL	remolino	1.5000	1.4000	1.6500	2.6500	2.3000	NOUN	8601
1992	MORE	más	2.6800	1.0500	1.4500	1.4000	1.3000	ADVERB	6336
1994	COLLARBONE	clavícula	1.8500	1.6500	1.4000	1.5000	1.1000	NOUN	2002
1998	COMMAND	mandar	1.5500	1.6500	2.5500	1.4500	1.9000	VERB	6255
2	DUST	polvo	1.9000	2.3000	1.6000	1.1500	1.6000	NOUN	7733
2001	PAINTING	dibujar	3.8000	1.1000	1.0000	1.0000	1.4500	VERB	3237
2002	DITCH	zanja	1.6800	1.9300	1.8900	2.1100	1.4700	NOUN	10468
2003	FLOW	fluir	2.5500	1.5000	1.0500	1.2000	1.2000	NOUN	4505
2014	GO DOWN (DESCEND)	bajar	1.5500	1.2000	1.4700	1.0000	1.3000	VERB	1115
2017	MIX	mezclar	2.4500	1.3000	1.2500	1.6000	1.1000	VERB	6507
2020	PLAINTIFF	demandante	1.5000	1.9000	2.1500	1.9000	2.0000	ADJECTIVE	2922
2023	CROWD	multitud	2.6000	2.0500	2.2500	2.7000	1.5000	NOUN	6737
2030	DRAG	arrastrar	1.4500	2.5000	2.2000	2.3500	2.0000	VERB	819
2076	SPROUT (VERB)	brotar	3.5300	1.1000	1.6500	1.3000	1.2000	VERB	1401
