CONCEPTICON_GLOSS	CONCEPTICON_ID	BABELNET_ID	BABELNET_GLOSS	BABELNET_DEFINITION
ORDER	1128	00091192v	order	Make a request for something
PAINFUL	1129	00108168a	painful	Causing physical or psychological pain
BEAM	1132	00009314n	beam	Long thick piece of wood or metal or concrete, etc., used in construction
MATCH	1133	00036522n	match, friction match, lucifer	"Lighter consisting of a thin piece of wood or cardboard tipped with combustible chemical; ignites with friction"
DIVORCE	1134	00027937n	divorce, divorcement	The legal dissolution of a marriage
KICK	1135	00090086v	kick	Strike with the foot
TENDON	1137	00071726n	tendon, sinew	A cord or band of inelastic tissue connecting a muscle with its bony attachment
FAIRY	1138	00032695n	fairy, sprite, faerie	A small being, human in form, playful and having magical powers
LEOPARD	1139	00050713n	leopard, Panthera pardus, Leopards	Large feline of African and Asian forests usually having a tawny coat with black spots
PITY	1141	00021008n	pity, commiseration, pathos	A feeling of sympathy and sorrow for the misfortunes of others
URINE	1142	00061253n	urine, pee, piss	Liquid excretory product
WITNESS	1144	00046703n	informant, witness, witnesser	Someone who sees an event and reports what happened
SWAMP	1145	00075499n	swamp, swampland	"Low land that is seasonally flooded; has more woody plants than a marsh and better drainage than a bog"
PURE	1147	00109244a	pure	Free of extraneous elements of any kind
THUNDER	1150	00077123n	thunder	A booming or crashing noise caused by air expanding along the path of a bolt of lightning
VEIL	1151	00043283n	veil, head covering	A garment that covers the head and face
BEGET	1152	00083336v	beget, bring forth, engender	Make children
OLIVE	1154	00058888n	olive	"Small ovoid fruit of the European olive tree; important food and source of oil"
CAVE	1155	00016878n	cave	A geological formation consisting of an underground enclosure with access from the surface of the ground or from the sea
OPEN	1156	00082444v	afford, give, open	Afford access to
FART	1159	00084007v	break wind, fart, flatulate	Expel intestinal gases through the anus
THIEF	1160	00074094n	thief, stealer	A criminal who takes property belonging to someone else with the intention of keeping it or selling it
INTENTION	1162	00002178n	intention, purpose, aim	An anticipated outcome that is intended or that guides your planned actions
MOUSTACHE	1165	00009361n	beard, whiskers, face fungus, moustache	The hair growing on the lower part of a man's face
MOULD	1166	00016527n	cast, mold, mould	Container into which liquid is poured to create a given shape when it hardens
GRUEL	1167	00041994n	gruel	A thin porridge (usually oatmeal or cornmeal)
HAWTHORN	1168	00043173n	hawthorn, haw	A spring-flowering shrub or small tree of the genus Crataegus
OX	1169	00059960n	ox	"An adult castrated bull of the genus Bos; especially Bos taurus"
MIRROR	1171	00055261n	mirror, glass	Polished surface that forms images by reflecting light
SHOOT	1172	00083567v	shoot, blast, set off	Fire a shot
EYEBROW	1173	00013390n	eyebrow, supercilium, brow	The arch of hair above each eye
GHOST	1175	00040370n	ghost	The visible disembodied soul of a dead person
SPADE	1176	00073064n	spade	A sturdy hand shovel that can be pushed into the earth with the foot
NOISE	1182	00057863n	noise	Sound of any kind (especially unintelligible or dissonant sound)
HARE	1190	00042984n	hare, jackrabbit, Lepus	"Swift timid long-eared mammal larger than a rabbit having a divided upper lip and long hind legs; young born furred and with open eyes"
BEAVER	1194	00009456n	beaver, Castor	"Large semiaquatic rodent with webbed hind feet and a broad flat tail; construct complex dams and underwater lodges"
BABOON	1197	00007643n	baboon	Large terrestrial monkeys having doglike muzzles
WIFE	1199	00053531n	wife, married woman, spouse	"A married woman; a man's partner in marriage"
BIG	1202	00098342a	big, large	Above average in size or number or quantity or magnitude or extent
BARK	1204	00008594n	bark, periderm, rhytidome	Tough protective covering of the woody stems and roots of trees and other woody plants
TONGUE	1205	00019439n	tongue, clapper, glossa	A mobile mass of muscular tissue covered with mucous membrane and located in the oral cavity
HE	1211	01555927n	He	He is a masculine third-person, singular personal pronoun in Modern English, as well as being a personal pronoun in Middle English.
WE	1212	01913848n	We	We is the first-person, plural personal pronoun in Modern English.
YOU	1213	03231238n	you, y'all, you lot	You is the second-person personal pronoun, both singular and plural, and both nominative and oblique case, in Modern English.
THOU	1215	01663932n	thou, you, thee	The word thou is a second person singular pronoun in English.
MOTHER	1216	00034027n	mother, female parent, birth mother	A woman who has given birth to a child (also used as a term of address to your mother)
FATHER	1217	00009616n	father, begetter, male parent	A male parent (also used as a term of address to your father)
ROPE	1218	00068266n	rope	A strong line
PENIS	1222	00054278n	penis, member, phallus	The male organ of copulation (`member' is a euphemism)
LIVER	1224	00051621n	liver	"Large and complicated reddish-brown glandular organ located in the upper right portion of the abdominal cavity; secretes bile and functions in metabolism of protein and carbohydrate and fat; synthesizes substances involved in the clotting of the blood; synthesizes vitamin A; detoxifies poisonous substances and breaks down worn-out erythrocytes"
OLD	1229	00107787a	old	"Of long duration; not new"
DIRTY	1230	00101429a	dirty, soiled, unclean	Soiled or likely to soil with dirt or grime
NIGHT	1233	00025236n	night, nighttime, dark	The time after sunset and before sunrise while it is dark outside
WHAT	1236	13774002r	what	Why?
WIDE	1243	00098887a	wide, broad	Having great (or a certain) extent from one side to the other
SMALL	1246	00106058a	little, small	Limited or below average in number or quantity or magnitude or extent
EAR	1247	00029372n	ear, ears	The sense organ for hearing and equilibrium
SPIKE	1249	00073353n	spike	(botany) an indeterminate inflorescence bearing sessile flowers on an unbranched axis
JAGUAR	1250	00033987n	jaguar, panther, Felis onca	"A large spotted feline of tropical America similar to the leopard; in some classifications considered a member of the genus Felis"
BELLY	1251	00000249n	abdomen, stomach, belly	The region of the body of a vertebrate between the thorax and the pelvis
HOUSE	1252	00044994n	house, dwelling, home	A dwelling that serves as living quarters for one or more families
HEAD	1256	00015784n	head, caput	"The upper part of the human body or the front part of the body in animals; contains the face and brains"
WING	1257	00081336n	wing, Insect wing	A movable organ for flying (one of a pair)
WEDDING	1259	00045458n	wedding, nuptials, hymeneals	The social event at which the ceremony of marriage is performed
SISTER	1263	00071838n	sister, sis	A female person who has the same parents as another person
DELIGHT	1271	00086519v	delight, please, gratify	Give pleasure to or be pleasing to
HAND	1277	00042759n	hand, manus, mitt, paw	The (prehensile) extremity of the superior limb.
TODAY	1283	00077462n	today	The present time or age
ELEPHANT	1290	00030314n	elephant, Elephants	Five-toed pachyderm
MISTAKE	1293	00031485n	error, fault, mistake	A wrong action attributable to bad judgment or ignorance or inattention
LEG	1297	00050541n	leg, legs, pin	"A human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle"
COFFEE	1299	00020414n	coffee, java, coffee plant	A beverage consisting of an infusion of ground coffee beans
CHILD (YOUNG HUMAN)	1304	00018345n	minor, child, youngster	A young person of either sex
LANGUAGE	1307	00049910n	language, linguistic communication, human language	A systematic means of communicating by the use of sounds or conventional symbols
VERY	1311	00116789r	real, rattling, really, very	"Used as intensifiers; `real' is sometimes used informally for `really'; `rattling' is informal"
RADIO	1315	00065899n	radio, wireless, radiocommunication	Medium for communication
TENT	1316	00020602n	tent, collapsible shelter, beer tent	A portable shelter (usually of canvas stretched over supporting poles and fastened to the ground with ropes and pegs)
CHICKEN	1318	00018266n	chicken, Gallus gallus	"A domestic fowl bred for flesh or eggs; believed to have been developed from the red jungle fowl"
BREAKFAST	1322	00012930n	breakfast	The first meal of the day (usually in the morning)
SLIP	1324	00093882v	slip, steal	Move stealthily
TOMORROW	1329	00077549n	tomorrow	The day after today
NEIGHBOUR	1332	00057219n	neighbour, neighbor	A person who lives (or is located) near another
GUTS	1334	00012484n	gut, intestine, bowel, guts	The part of the alimentary canal between the stomach and the anus
WHITE	1335	00113830a	white	"Being of the achromatic color of maximum lightness; having little or no hue owing to reflection of almost all incident light"
PEACE	1338	00061149n	peace, ease	The state prevailing during the absence of war
SUN	1343	00075171n	sunlight, sunshine, sun	The rays of the sun
THROAT	1346	00061897n	throat, pharynx, jugulum	"The passage to the stomach and lungs; in the front part of the neck below the chin and above the collarbone"
BOAR (MALE PIG)	1348	00011636n	boar	An uncastrated male hog
MONKEY	1350	00055685n	monkey	Any of various long-tailed primates (excluding the prosimians)
KNIFE	1352	00049322n	knife	"Edge tool used as a cutting instrument; has a pointed blade with a sharp edge and a handle"
LAUGH	1355	00087901v	laugh, express joy, express mirth	Produce laughter
DUCK	1360	00029010n	duck	Small wild or domesticated web-footed broad-billed swimming bird usually having a depressed body and short legs
TOOL	1361	00046962n	tool, instrument	The means whereby some act is accomplished
STREET	1362	00074595n	street	A thoroughfare (usually including sidewalks) that is lined with buildings
HEALTHY	1364	00104025a	healthy	"Having or indicating good health in body or mind; free from infirmity or disease"
KNEE	1371	00006140n	knee, articulatio genus, genu	Hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella
VISIT	1377	00095545v	visit	Stay with as a guest
ARRIVE	1387	00082788v	arrive, come, get	"Reach a destination; arrive by movement or progress"
SHADE	1388	00070820n	shade, shadiness, shadowiness	Relative darkness caused by light rays being intercepted by an opaque body
TOE	1389	00077465n	toe, fifth toe, little toe	One of the digits of the foot
LOUSE	1392	00052114n	louse, sucking louse	Wingless usually flattened bloodsucking insect parasitic on warm-blooded animals
DRINK	1401	00087321v	drink, imbibe, quaff	Take in liquids
NAME	1405	00056758n	name, Names, proper name	A language unit by which a person or thing is known
BREATHE	1407	00084018v	breathe, respire, suspire	Draw air into, and expel out of, the lungs
RUDE	1412	00097980a	bad-mannered, ill-mannered, rude	Socially incorrect in behavior
PLAY	1413	00091708v	play	Participate in games or sport
SUCK	1421	00094565v	suck	Draw into the mouth by creating a practical vacuum in the mouth
GREEN	1425	00100914a	green, greenish, dark-green	"Of the color between blue and yellow in the color spectrum; similar to the color of fresh grass"
BURNING	1428	00084272v	burn, combust	Undergo combustion
STAR	1430	00073964n	star, Stars	(astronomy) a celestial body of hot gases that radiates energy derived from thermonuclear reactions in the interior
FREEZE	1431	00088554v	freeze	Change to ice
CUT	1432	00086178v	cut	Separate with or as if with an instrument
HUNT	1435	00089521v	hunt, hunt down, run	Pursue for food or sport (as of wild animals)
COME	1446	00085319v	come, come up	Move toward, travel toward something or somebody or approach something or somebody
GIVE	1447	00088814v	give	Cause to have, in the abstract sense or physical sense
WASH	1453	00090221v	wash, lave	Cleanse (one's body) with soap and water
PULL	1455	00087234v	draw, force, pull	Cause to move by pulling
THROW	1456	00094934v	throw	Propel through the air
SAY	1458	00093287v	say, tell, state	Express in words
CIRCLE	1467	00019169n	circle, Circles	"Ellipse in which the two axes are of equal length; a plane curve generated by one point moving at a constant distance from a fixed point"
KEY	1472	00048985n	key	Metal device shaped in such a way that when it is inserted into the appropriate lock the lock's mechanism can be rotated
WITHOUT	1478	13646853r	without	Lacking something.
SHOULDER	1482	00071294n	shoulder	The part of the body between the neck and the upper arm
OIL (ORGANIC SUBSTANCE)	1484	00058732n	oil	A slippery or viscous liquid or liquefiable substance not miscible with water
CLOUD	1489	00020002n	cloud, Clouds	A visible mass of water or ice particles suspended at a considerable altitude
MOUSE	1491	00056119n	mouse, rat, Mice	Any of numerous small rodents typically resembling diminutive rats having pointed snouts and small ears on elongated bodies with slender usually hairless tails
ONE	1493	00000005n	1, one, unity	The smallest whole number or a numeral representing this number
DIE	1494	00084343v	die, pass, perish	Pass from physical life and lose all bodily attributes and functions necessary to sustain life
POSTCARD	1497	00052835n	postcard, postal card, mailing-card	A card for sending messages by post without an envelope
TWO	1498	00000075n	2, two, deuce	The cardinal number that is the sum of one and one or a numeral representing this number
SALIVA	1503	00068949n	saliva, spit, spittle	"A clear liquid secreted into the mouth by the salivary glands and mucous glands of the mouth; moistens the mouth and starts the digestion of starches"
MEASURE	1506	00090714v	measure, measure out, mensurate	Determine the measurements of something or somebody, take measurements of
FRUIT	1507	00036686n	fruit, Fleshy fruit	The ripened reproductive body of a seed plant
MOSQUITO	1509	00055977n	mosquito	Two-winged insect whose female has a long proboscis to pierce the skin and suck the blood of humans and animals
TEN	1515	00000008n	10, ten, decade	"The cardinal number that is the sum of nine and one; the base of the decimal system"
SUBJUGATE	1516	00090051v	keep down, quash, reduce, subjugate	Put down by force or intimidation
STUPID	1518	00111342a	stupid, dumb, a little stupid	Lacking or marked by lack of intellectual acuity
RUN	1519	00093170v	run	Move fast by using one's feet, with one foot off the ground at any given time
SEEM	1521	00082690v	look, appear, seem	Give a certain impression or have a certain outward aspect
FORGET	1523	00084302v	forget, bury	"Dismiss from the mind; stop remembering"
BRANCH	1531	00012738n	branch, tree branch	A division of a stem, or secondary stem arising from the main stem of a plant
SHEAR	1532	00093591v	shear	Cut with shears
SPRINGTIME	1537	00073636n	spring, springtime	The season of growth
SOUP	1547	00072921n	soup	Liquid food especially of meat or fish or vegetable stock often containing pieces of solid food
UGLY	1548	00112223a	ugly	Displeasing to the senses
PREVENT	1550	00088454v	prevent, forestall, forbid	"Keep from happening or arising; make impossible"
FEMALE	1551	00102884a	female	Being the sex (of plant or animal) that produces fertilizable gametes (ova) from which offspring develop
GLOOMY	1552	00103626a	gloomful, glooming, gloomy	Depressingly dark
MALE	1553	00106354a	male	Being the sex (of plant or animal) that produces gametes (spermatozoa) that perform the fertilizing function in generation
SIMILAR	1558	00110647a	similar	Marked by correspondence or resemblance
MIND	1562	00012681n	mind, psyche, head	"That which is responsible for one's thoughts and feelings; the seat of the faculty of reason"
PYTHON	1563	00065461n	python	Large Old World boas
HEAVEN	1565	00029734n	heaven, paradise, Shangri-la	Any place of complete bliss and delight and peace
GUN	1566	00042221n	gun, fire arm, firearm	A weapon that discharges a missile at high velocity (especially from a metal tube or barrel)
EQUAL	1570	00102336a	equal	Having the same quantity, value, or measure as another
SWELL	1573	00089872v	intumesce, swell, swell up	Expand abnormally
IGUANA	1578	00021106n	iguana, common iguana, Iguana iguana	"Large herbivorous tropical American arboreal lizards with a spiny crest along the back; used as human food in Central America and South America"
BE	1579	00083181v	be	"Have the quality of being; (copula, used with an adjective or a predicate noun)"
ONLY	1580	00114626r	just, merely, only	And nothing more
ALLIGATOR	1581	00002870n	alligator, gator	Either of two amphibious reptiles related to crocodiles but with shorter broader snouts
BLISTER	1584	00011187n	blister, bleb, bulla	(pathology) an elevation of the skin filled with serous fluid
SLEEP	1585	00084684v	catch some Z's, kip, log Z's, sleep	Be asleep
HUMMINGBIRD	1589	00045198n	hummingbird, Hummingbirds, Trochilidae	"Tiny American bird having brilliant iridescent plumage and long slender bills; wings are specialized for vibrating flight"
CHEST	1592	00018207n	thorax, chest, pectus	The part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates
FLOUR	1594	00035361n	flour, meal	Fine powdery foodstuff obtained by grinding and sifting the meal of a cereal grain
AIRPLANE	1597	00001697n	airplane, plane, aeroplane	An aircraft that has a fixed wing and is powered by propellers or jets
NORTH	1598	00029051n	north, due north, N	The cardinal compass point that is at 0 or 360 degrees
SKIRT	1600	00072003n	skirt	Cloth covering that forms the part of a garment below the waist
WEAK	1601	00113737a	weak	Wanting in physical strength
MOSQUE	1603	00055976n	mosque	(Islam) a Muslim place of worship that usually has a minaret
TEMPLES	1604	00076465n	temple, Temples	Place of worship consisting of an edifice for the worship of a deity
HATE	1607	00086717v	detest, hate	"Dislike intensely; feel antipathy or aversion towards"
PROSTITUTE	1610	00009205n	prostitute, harlot, tart	A woman who engages in sexual intercourse for money
INVITE	1611	00082828v	ask round, ask over, invite	Invite someone to one's house
COLOR	1613	00020726n	color, colour, coloring	A visual attribute of things that results from the light they emit or transmit or reflect
SUMMIT	1614	00000942n	acme, height, pinnacle, summit	"The highest level or degree attainable; the highest stage of development"
GRANDDAUGHTER	1619	00041351n	granddaughter	A female grandchild
SON	1620	00012571n	boy, son	A male human offspring
SNEEZE	1621	00093975v	sneeze	Exhale spasmodically, as when an irritant entered one's nose
EXPLAIN	1626	00087869v	explain, explicate	Make plain and comprehensible
MACAW	1630	00052533n	macaw	"Long-tailed brilliantly colored parrot of Central America and South America; among the largest and showiest of parrots"
FLAT	1633	00103058a	flat, plane, level	Having a surface without slope, tilt in which no part is higher or lower than another
OBEY	1635	00091112v	obey	Be obedient to
SILK	1641	00071599n	silk	A fabric made from the fine threads produced by certain insect larvae
COUSIN	1643	00023333n	cousin, first cousin, cousin-german	The child of your aunt or uncle
RELATIVES	1644	15497538n	Relatives (1985 film)	Relatives is a 1985 Australian film about a family reunion.
SHORT	1645	00110562a	short	(primarily spatial sense) having little length or lacking in length
FOAL	1647	00035547n	foal	A young horse
WATCH	1650	00095665v	watch	Look attentively
LIGHTNING	1654	00051161n	lightning	Abrupt electric discharge from cloud to cloud or from cloud to earth accompanied by the emission of light
BLINK	1655	00083610v	blink, nictate, nictitate	Briefly shut the eyes
CAPE	1662	00015427n	cape, ness, headland	A strip of land projecting into a body of water
BEAT	1665	00083249v	beat	Hit repeatedly
GRIEF	1668	00013281n	grief, heartbreak, brokenheartedness	Intense sorrow caused by loss of a loved one (especially by death)
RAPIDS	1670	00066185n	rapid, Rapids	A part of a river where the current is very fast
TOWER	1671	00077766n	tower	"A structure taller than its diameter; can stand alone or be attached to a larger building"
POOR	1674	00108798a	poor	Having little money or few possessions
PROMISE	1675	00082881v	assure, promise	Make a promise or commitment
ALWAYS	1676	00114250r	always, e'er, ever	"At all times; all the time and on every occasion"
WORKSHOP	1677	00071216n	workshop, shop	Small workplace where handcrafts or manufacturing are done
PRAISE	1687	00021834n	congratulations, extolment, kudos, praise	An expression of approval and commendation
FATE	1688	00026603n	destiny, fate	An event (or a course of events) that will inevitably happen in the future
FRIDAY	1692	00036512n	Friday, Fri	"The sixth day of the week; the fifth working day"
THURSDAY	1693	00076744n	Thursday, Th	"The fifth day of the week; the fourth working day"
WEDNESDAY	1694	00054897n	Wednesday, Midweek, Wed	"The fourth day of the week; the third working day"
TUESDAY	1695	00078546n	Tuesday, Tues	"The third day of the week; the second working day"
SURRENDER	1696	00088859v	surrender, give up	Give up or agree to forgo to the power or possession of another
MONDAY	1697	00055609n	Monday, Mon	"The second day of the week; the first working day"
CURVED	1698	00100802a	curved, curving	Having or marked by a curve or smoothly rounded bend
SATURDAY	1700	00068696n	Saturday, Sabbatum, Sat	"The seventh and last day of the week; observed as the Sabbath by Jews and some Christians"
HOLY	1702	00104250a	holy	Belonging to or derived from or associated with a divine power
SIX	1703	00000125n	6, sextet, six	The cardinal number that is the sum of five and one
OATH	1712	00058420n	oath, swearing	"A commitment to tell the truth (especially in a court of law); to lie under oath is to become subject to prosecution for perjury"
NINETEEN	1714	00000052n	19, nineteen, XIX	The cardinal number that is the sum of eighteen and one
THIRTY	1715	00000104n	30, thirty, XXX	The cardinal number that is the product of ten and three
SIXTY	1718	00000126n	60, sixty, LX	The cardinal number that is the product of ten and six
BURY	1719	00084298v	bury, entomb, inhume	Place in a grave or tomb
SEVENTY	1721	00000130n	70, seventy, LXX	The cardinal number that is the product of ten and seven
ROTTEN	1728	00100998a	rotted, rotten, decayed	"Damaged by decay; hence unsound and useless"
CHEEK	1730	00018024n	cheek, cheeks	Either side of the face below the eyes
PINE	1740	00062475n	pine, pine tree, true pine	A coniferous tree
SPLEEN	1744	00051032n	spleen, lien	"A large dark-red oval organ on the left side of the body between the stomach and the diaphragm; produces cells involved in immune responses"
BLADDER	1746	00079339n	urinary bladder, bladder, urocyst	A membranous sac for temporary retention of urine
TAKE	1749	00088762v	take, get hold of	Get into one's hands, take physically
BIRTHMARK	1751	00010685n	birthmark, nevus, mole	A blemish on the skin that is formed before birth
UNDRESS	1755	00086903v	discase, disrobe, peel, undress	Get undressed
WIDOW	1756	00081167n	widow, widow woman	A woman whose husband is dead especially one who has not remarried
AXLE	1769	00007536n	axle	A shaft on which a wheel rotates
CARCASS	1770	00015897n	carcass, carcase	The dead body of an animal especially one slaughtered and dressed for food
TASTELESS	1771	00111668a	tasteless	Lacking flavor
GRAVE	1773	00041468n	grave, tomb, gravesite	A place for the burial of a corpse (especially beneath the ground and marked by a tombstone)
APPROACH	1778	00082732v	approach, come on, near	Move towards
DARE	1779	00086280v	dare	"To be courageous enough to try or do something, ""she dares to dress differently from the others"""
BILE	1780	00010373n	bile, gall	"A digestive juice secreted by the liver and stored in the gallbladder; aids in the digestion of fats"
THUMB	1781	00063376n	thumb, pollex	The thick short innermost digit of the forelimb
LOOM	1787	00051980n	loom	A textile machine for weaving yarn into a textile
AGE	1789	14465795n	age	Each period of human life
BUTTERFLY	1791	00014271n	butterfly, Butterflies	Diurnal insect typically having a slender body with knobbed antennae and broad colorful wings
PERJURY	1792	00009383n	perjury, bearing false witness, lying under oath	Criminal offense of making false statements under oath
FURROW	1794	00023645n	wrinkle, crinkle, furrow	A slight depression in the smoothness of a surface
SLAUGHTER	1796	00084318v	slaughter, butcher	Kill (animals) usually for food consumption
HEDGEHOG	1797	00031425n	hedgehog, Erinaceus europaeus, Erinaceus europeaeus	Small nocturnal Old World mammal covered with both hair and protective spines
HYENA	1799	00045314n	hyaena, hyena, Hyenas	Doglike nocturnal mammal of Africa and southern Asia that feeds chiefly on carrion
DANDELION	1800	00011453n	blowball, dandelion	Any of several herbs of the genus Taraxacum having long tap roots and deeply notched leaves and bright yellow flowers followed by fluffy seed balls
CHILD (DESCENDANT)	1801	00018346n	child, kid, children	A human offspring (son or daughter) of any age
WOOD	1803	00081492n	wood, alburnum, earlywood	The hard fibrous lignified substance under the bark of trees
INJECTION	1805	00046787n	injection, shot	The act of putting a liquid into the body by means of a syringe
PUS	1808	00034148n	pus, festering, ichor	A fluid product of inflammation
DANGER	1810	00025170n	danger	The condition of being susceptible to harm or injury
TASTY	1813	00111670a	tasty, palatable, savory	Pleasing to the sense of taste
ACCUSE	1814	00082249v	accuse, incriminate, criminate	"Bring an accusation against; level a charge against"
BESIDE	1816	07867572n	ビサイド, Beside	"<i class=""glyphicon glyphicon-warning-sign""></i>&nbsp; <i>Sorry, this synset does not have a definition.</i>"
WEST	1817	00029054n	due west, W, west	The cardinal compass point that is a 270 degrees
DEXTEROUS	1824	00101099a	dexterous, deft, dextrous	"Skillful in physical movements; especially of the hands"
SHE	1834	03654344n	she	She is a feminine third-person, singular personal pronoun in Modern English.
VULVA	1837	00080288n	vulva	External parts of the female genitalia
CRY	1839	00086122v	cry, weep	Shed tears because of sadness, rage, or pain
BUILD	1840	00084198v	build, construct, make	Make by combining materials and parts
SUSPECT	1841	00094633v	suspect	"Hold in suspicion; believe to be guilty"
OBSTINATE	1842	00107697a	stubborn, obstinate, unregenerate	Tenaciously unwilling or marked by tenacious unwillingness to yield
THOUSAND	1843	00000010n	1000, one thousand, M, thousand	The cardinal number that is the product of 10 and 100
BOAT	1844	00011674n	boat, Boats	A small vessel for travel on water
POCKET	1851	00063155n	pocket, trouser pocket	A small pouch inside a garment for carrying small articles
DOVE	1853	00028446n	dove	Any of numerous small pigeons
SPARROW	1854	00073146n	sparrow, true sparrow	Any of several small dull-colored singing birds feeding on seeds or insects
BIRCH	1855	00010599n	birch, birch tree	Any betulaceous tree or shrub of the genus Betula having a thin peeling bark
CROCODILE	1857	00023894n	crocodile	"Large voracious aquatic reptile having a long snout with massive jaws and sharp teeth and a body covered with bony plates; of sluggish tropical waters"
FISHERMAN	1858	00034854n	fisherman, fisher, fisherwoman	Someone whose occupation is catching fish
BEAD	1860	00009290n	bead	A small ball with a hole through the middle
DONKEY	1862	00028152n	donkey, domestic ass, Equus asinus	"Domestic beast of burden descended from the African wild ass; patient but stubborn"
BUZZARD	1865	00014340n	turkey vulture, turkey buzzard, buzzard	A New World vulture that is common in South America and Central America and the southern United States
COIN	1867	00020497n	coin	A flat metal piece (usually a disc) used as money
CAMEL	1871	00014993n	camel, Camels	Cud-chewing mammal used as a draft or saddle animal in desert regions
REGRET	1875	00092683v	regret, repent, rue	"Feel remorse for; feel sorry for; be contrite about"
BEFORE	1882	00114512r	before, earlier, previously	"Earlier in time; previously"
HARD	1884	00103937a	hard, firm, solid	Resisting weight or pressure
PAIR	1888	00012597n	pair, brace, ordered pair	A set of two similar things considered as a unit
PUMA	1891	00016668n	cougar, mountain lion, painter, puma	Large American feline resembling a lion
ASHAMED	1894	00097581a	ashamed	Feeling shame or guilt or embarrassment or remorse
HELP	1897	00082481v	aid, assist, help	"Give help or assistance; be of service"
MAD	1899	00098805a	crazy, demented, mad	Affected with madness or insanity
BETRAY	1902	00083460v	betray, deceive, lead astray	Cause someone to believe an untruth
SWELLING	1903	00052310n	swelling, lump, puffiness	An abnormal protuberance or localized enlargement
EAGLE	1905	00010631n	eagle, bird of Jove, eagle species	Any of various large keen-sighted diurnal birds of prey noted for their broad wings and strong soaring flight
SOUR	1906	00110947a	sour, tart, acid	Having a sharp biting taste
SHAKE	1909	00093072v	rock, shake, sway	Move back and forth or sideways ate
STINGRAY	1910	00074307n	stingray, Myliobatoidei, stingaree	Large venomous ray with large barbed spines near the base of a thin whiplike tail capable of inflicting severe wounds
PRESS	1913	00091986v	press	Exert pressure or force to or upon
FIR	1915	00034620n	fir, fir tree, true fir	"Any of various evergreen trees of the genus Abies; chiefly of upland areas"
MANE	1918	00053169n	mane	Long coarse hair growing from the crest of the animal's neck
PLOUGH	1921	00091758v	plough, plow, turn	To break and turn over earth especially with a plow
BAMBOO	1927	00008254n	bamboo, Bambuseae	"Woody tropical grass having hollow woody stems; mature canes used for construction and furniture"
RAVINE	1930	00066290n	ravine	A deep narrow steep-sided valley (especially one formed by running water)
LOOSEN	1933	00090472v	loose, loosen	Make loose or looser
GUARD	1940	00042043n	guard	A person who keeps watch over something or someone
IDOL	1945	00040880n	god, graven image, idol	A material effigy that is worshipped
BEECH	1950	00009536n	beech, beech tree, beechwood	"Any of several large deciduous trees with rounded spreading crowns and smooth grey bark and small sweet edible triangular nuts enclosed in burs; north temperate regions"
ABUSE	1953	00000522n	abuse, misuse	Improper or excessive use
GRIEVE	1955	00089044v	grieve, sorrow	Feel grief
SUNFLOWER	1956	00043577n	helianthus, sunflower, Sunflowers	Any plant of the genus Helianthus having large flower heads with dark disk florets and showy yellow rays
RAW	1959	00107156a	natural, raw, rude	(used especially of commodities) being unprocessed or manufactured using only simple or minimal processes
CORNFLOWER	1960	00022755n	Uvularia grandiflora, cornflower, strawflower	Plant of southern and southeastern United States grown for its yellow flowers that can be dried
BUNCH	1966	00013873n	clustering, bunch, clump	A grouping of a number of similar things
CALENDAR	1967	00014705n	calendar	A system of timekeeping that defines the beginning and length and divisions of the year
CANOE	1970	00015316n	canoe	"Small and light boat; pointed at both ends; propelled with a paddle"
KID	1972	00049079n	kid	Young goat
DEMON	1973	00024998n	demon, daemon, daimon	An evil supernatural being
MERRY	1976	00099564a	cheerful, blithe, cheery, merry	"Being full of or promoting cheer; having or showing good spirits"
DEW	1977	00026758n	dew	Water that has condensed on a cool surface overnight from water vapor in the air
RECOVER	1978	00088210v	find, recover, regain	"Get or find back; recover the use of"
CHISEL	1979	00018545n	chisel	An edge tool with a flat steel blade with a cutting edge
WIDOWER	1981	00081170n	widower, widowman	A man whose wife is dead especially one who has not remarried
WHIRLPOOL	1982	00052661n	vortex, whirlpool, maelstrom	A powerful circular current of water (usually the result of conflicting tides)
CHOPSTICKS	1987	00018739n	chopstick, chopsticks, Saibashi	One of a pair of slender sticks used as oriental tableware to eat food with
MORE	1992	00116284r	more, to a greater extent	Used to form the comparative of some adjectives and adverbs
COLLARBONE	1994	00019613n	clavicle, collarbone, collar bone	Bone linking the scapula and sternum
DEFECT	1995	00025863n	defect	An imperfection in a bodily system
OVERCOME	1999	00086448v	defeat, get the better of, overcome	Win a victory over
BEND	2004	00083402v	bend, flex	Form a curve
MASK	2005	00053637n	mask	A covering to disguise or conceal the face
FILL	2006	00088175v	fill, fill up, make full	Make full, also in a metaphorical sense
RESCUE	2008	00086533v	deliver, rescue	Free from harm or evil
INVESTIGATE	2010	00087655v	inquire, investigate, enquire	Conduct an inquiry or investigation of
COFFIN	2011	00016478n	casket, coffin	Box in which a corpse is buried or cremated
GREEDY	2018	00097850a	avaricious, covetous, greedy	Immoderately desirous of acquiring e.g. wealth
HAMMOCK	2019	00042746n	hammock, sack	"A hanging bed of canvas or rope netting (usually suspended between two trees); swings easily"
