CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	FREQUENCY_COUNT	FREQUENCY_PER_MILLION	LG10_FREQUENCY
399	PLANTAIN	plátano	129.0	3.1009615384615383	2.1139433523068365
420	FOREST	selva	694.0	16.682692307692307	2.8419848045901137
474	DRESS	vestido	3366.0	80.91346153846153	3.527243116388088
477	LATE	tarde	18456.0	443.65384615384613	4.2661611122194
480	PLATE	plato	1155.0	27.764423076923077	3.0629578340845103
489	KIDNEY	riñón	334.0	8.028846153846153	2.5250448070368448
49	REFUSE	rehusar	16.0	0.3846153846153846	1.2304489213782739
492	THREE	tres	24142.0	580.3365384615385	4.3827912343816475
496	CUCUMBER	pepino	105.0	2.5240384615384612	2.02530586526477
498	CALF OF LEG	pantorrilla	34.0	0.8173076923076923	1.5440680443502754
503	FROG	rana	300.0	7.211538461538462	2.478566495593843
505	PARENTS	padres	9389.0	225.6971153846154	3.9726655922661105
509	CERTAIN	seguro	27909.0	670.8894230769231	4.445759836488631
52	SHIVER	temblar	130.0	3.125	2.117271295655764
571	STING	picar	114.0	2.7403846153846154	2.0606978403536114
575	TREAD	pisar	164.0	3.942307692307692	2.217483944213906
582	LEND	prestar	317.0	7.6201923076923075	2.5024271199844326
588	BROKEN	quebrado	236.0	5.6730769230769225	2.374748346010104
592	PISS	orinar	681.0	16.370192307692307	2.833784374656479
593	POTATO	papa	1144.0	27.5	3.0588054866759067
596	POSTAGE STAMP	sello	455.0	10.9375	2.658964842664435
6	EARTHQUAKE	terremoto	388.0	9.326923076923077	2.5899496013257073
604	GLASS	vidrio	671.0	16.129807692307693	2.827369273053825
607	GRASSHOPPER	saltamontes	71.0	1.7067307692307692	1.8573324964312683
610	PORT	puerto	799.0	19.20673076923077	2.9030899869919433
627	LEAD (CHEMICAL ELEMENT)	plomo	275.0	6.6105769230769225	2.4409090820652173
641	MUSHROOM	seta	8.0	0.1923076923076923	0.9542425094393249
644	OAK	roble	157.0	3.7740384615384612	2.1986570869544226
645	OCEAN	océano	1063.0	25.552884615384613	3.026941627959029
647	PAINT (PIGMENTS)	pintura	1431.0	34.39903846153846	3.1559430179718366
648	PAPER	papel	3978.0	95.625	3.5997739391463877
653	PLANT (VEGETATION)	planta	1109.0	26.658653846153847	3.045322978786657
655	POISON	veneno	827.0	19.879807692307693	2.91803033678488
657	PRICE	precio	2537.0	60.98557692307692	3.4044916177586857
