CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_SER_MEAN	LINE_IN_SOURCE
1483	NINE	nine	2.1818181818181817	3318
1485	BELOW OR UNDER	beneath	2.1818181818181817	391
1487	POUR	pour	3.0	3769
1488	FAUCET	faucet	3.090909090909091	1772
1490	RAT	rat	2.8	4014
1492	DUMB	dumb	1.6363636363636365	1584
1493	ONE	one	1.5454545454545454	3408
1494	DIE	die	4.2727272727272725	1410
1495	HAPPY	glad	2.1818181818181817	2131
1498	TWO	two	1.8181818181818181	5476
1499	JUICE	juice	3.3	2675
150	WORRY	worry	3.0	5782
1500	FOUR	four	2.3636363636363638	1967
1501	BORE	drill	3.090909090909091	1551
1502	GOAT	goat	3.3	2169
1505	SPERM	sperm	3.8333333333333335	4774
1506	MEASURE	measure	2.8181818181818183	3056
1507	FRUIT	fruit	3.6	2012
1508	KING	king	3.25	2709
1509	MOSQUITO	gnat	3.0	2163
151	RAZOR	razor	4.7272727272727275	4027
1510	CHIN	chin	3.3	856
1511	ROOSTER	cock	3.1	980
1514	HEN	hen	2.0	2390
1515	TEN	ten	1.3636363636363635	5184
1517	WASP	wasp	2.909090909090909	5651
1518	STUPID	stupid	2.6	4997
1519	RUN	ran	3.6363636363636362	3995
152	HOOF	hoof	2.1818181818181817	2454
1521	SEEM	seem	1.3636363636363635	4397
1522	SOCK	sock	3.2	4698
1523	FORGET	forget	2.090909090909091	1946
1524	WINE	wine	3.8181818181818183	5748
1525	COAST	coast	4.0	971
1526	MEAL	meal	3.909090909090909	3053
1527	TICK	tick	2.909090909090909	5268
1528	FORGIVE	forgive	2.5454545454545454	1947
1529	LAST (FINAL)	last	1.9	2776
153	GREY	gray	2.6363636363636362	2223
1530	BOWL	bowl	3.8181818181818183	546
1531	BRANCH	limb	2.272727272727273	2858
1532	SHEAR	shear	2.6	4460
1533	BE HUNGRY	hungry	5.090909090909091	2503
1534	FEVER	fever	4.9	1814
1535	SWORD	sword	4.181818181818182	5104
1537	SPRINGTIME	spring	3.3636363636363638	4819
1539	BASKET	basket	2.5454545454545454	327
1543	SNAIL	snail	3.1818181818181817	4664
1545	HOST	host	1.6363636363636365	2470
1546	TWICE	twice	1.4	5465
1547	SOUP	broth	3.8	606
1548	UGLY	ugly	4.454545454545454	5483
1549	TRIBE	tribe	1.9	5396
1550	PREVENT	prevent	1.7	3806
1551	FEMALE	female	4.9	1796
1553	MALE	male	3.0	2981
1554	MAN	men	2.6	3071
1556	YOLK	yolk	2.0	5837
1558	SIMILAR	alike	3.0	92
1559	MONEY	money	4.8	3165
156	RED	red	4.1	4050
1560	FACE	face	3.090909090909091	1732
1561	ARMY	army	4.2727272727272725	186
1562	MIND	mind	2.5833333333333335	3116
1563	PYTHON	python	3.5454545454545454	3930
1564	LAZY	lazy	4.181818181818182	2800
1565	HEAVEN	heaven	4.0	2367
1566	GUN	gun	3.3636363636363638	2282
1568	ARRANGE	arrange	1.8181818181818181	190
1569	CHEESE	cheese	3.3636363636363638	835
157	DYE	dye	2.5833333333333335	1600
1570	EQUAL	equal	1.9090909090909092	1666
1571	SELL	sell	2.090909090909091	4406
1573	SWELL	swell	3.4545454545454546	5089
1574	FLOAT	float	3.8181818181818183	1890
1575	COCKROACH	roach	4.818181818181818	4186
1577	AND	and	1.0	134
1579	BE	am	1.5	117
1580	ONLY	only	1.4545454545454546	3410
1584	BLISTER	blister	4.909090909090909	464
1585	SLEEP	sleep	4.0	4611
1587	SMELL (STINK)	stink	4.363636363636363	4925
1588	TURN	turn	1.9090909090909092	5453
1590	WAIT (FOR)	await	2.1818181818181817	246
1591	UP	up	2.909090909090909	5493
1592	CHEST	chest	3.4166666666666665	841
1593	DEEP	deep	3.1	1337
1594	FLOUR	flour	3.2	1898
1595	SOUTH	south	2.090909090909091	4740
1596	LOCK	lock	2.5454545454545454	2898
1597	AIRPLANE	plane	3.272727272727273	3668
1598	NORTH	north	2.75	3342
1599	WORD	word	1.4166666666666667	5779
16	SLED	sled	3.0	4608
160	SET (HEAVENLY BODIES)	set	2.0833333333333335	4429
1600	SKIRT	skirt	3.8	4587
1601	WEAK	weak	2.0	5660
1603	MOSQUE	mosque	3.6363636363636362	3195
1607	HATE	hate	2.0	2342
1608	LISTEN	listen	4.3	2877
161	MISS (A TARGET)	miss	2.5454545454545454	3133
1610	PROSTITUTE	harlot	2.4444444444444446	2328
1611	INVITE	invite	2.6363636363636362	2606
1612	LETTER	letter	3.6	2838
1613	COLOR	color	4.2	1002
1614	SUMMIT	summit	2.8181818181818183	5034
1615	ESCAPE	escape	3.1818181818181817	1674
1616	CLOTH	cloth	2.5	953
162	HICCOUGH	hiccup	4.7272727272727275	2402
1620	SON	son	2.3636363636363638	4720
1621	SNEEZE	sneeze	4.4	4672
1622	SHIRT	shirt	4.545454545454546	4488
1623	SPEAK	speak	2.2	4761
1624	EMPTY	empty	2.909090909090909	1640
1625	DEAD	dead	3.8	1305
1626	EXPLAIN	explain	2.8181818181818183	1715
1627	CHAIN	chain	2.8181818181818183	797
1628	SQUIRREL	squirrel	4.181818181818182	4852
163	BLACK	black	3.909090909090909	435
1631	FAST	swift	2.0	5092
1633	FLAT	flat	2.6363636363636362	1867
1634	HUNDRED	hundred	2.3636363636363638	2500
1635	OBEY	obey	2.6363636363636362	3377
1639	BEER	beer	3.5833333333333335	366
1640	SIBLING	sibling	4.909090909090909	4533
1641	SILK	silk	2.0	4546
1642	NIECE	niece	2.0	3312
1643	COUSIN	cousin	3.727272727272727	1155
1645	SHORT	short	3.4545454545454546	4500
1646	GIRL	girl	2.8	2125
1647	FOAL	pony	3.8	3736
1648	ANVIL	anvil	4.1	154
1650	WATCH	watch	1.9090909090909092	5653
1652	INSTEAD	instead	1.8181818181818181	2591
1653	BLIND	blind	3.3333333333333335	460
1655	BLINK	wink	4.333333333333333	5749
1656	NEVER	never	2.1818181818181817	3303
1659	DOLL	doll	2.909090909090909	1488
1662	CAPE	cape	4.0	730
1663	BED	bed	4.090909090909091	359
1664	RAFT	raft	2.5	3979
1665	BEAT	beat	2.75	351
1666	MUTE	mute	3.1666666666666665	3251
1667	HOLE	hole	1.9090909090909092	2440
1668	GRIEF	sorrow	4.090909090909091	4730
1670	RAPIDS	rapids	5.4	4006
1671	TOWER	tower	3.9	5346
1672	WRITE	write	4.0	5804
1673	ARM	arm	2.5	183
1674	POOR	poor	2.3636363636363638	3741
1675	PROMISE	promise	2.5	3846
1676	ALWAYS	always	2.1	116
1678	HUT	shelter	4.5	4472
1679	LOAD	burden	2.8	655
168	REST	rest	2.8181818181818183	4126
1680	HELMET	helmet	4.0	2385
1681	WAIST	waist	3.727272727272727	5617
1683	BUSH	bush	2.727272727272727	668
1684	BUD	bud	2.9166666666666665	623
1685	AFTER	after	1.6	70
1686	BEHIND	behind	2.909090909090909	376
1688	FATE	fate	1.6363636363636365	1768
169	IT	it	1.4166666666666667	2620
1690	FENCE	fence	2.1818181818181817	1799
1702	HOLY	sacred	2.909090909090909	4266
1703	SIX	six	1.7	4571
1704	SEVEN	seven	4.3	4431
1705	EIGHT	eight	1.6363636363636365	1622
1707	TWELVE	twelve	1.7272727272727273	5463
1711	TELL	tell	2.1666666666666665	5178
1712	OATH	oath	1.8333333333333333	3376
1720	SIGN	mark	2.8333333333333335	3008
