CONCEPTICON_ID	CONCEPTICON_GLOSS	GERMAN	GERMAN_HAPPINESS_MEAN	GERMAN_ANGER_MEAN	GERMAN_SADNESS_MEAN	GERMAN_FEAR_MEAN	GERMAN_DISGUST_MEAN	GERMAN_EMOTION_DOMINANT	LINE_IN_SOURCE
341	SICKLE	sichel	1.2727272727272727	1.5	1.2272727272727273		2.0	FEA	1529
344	TREE TRUNK	stamm	1.7391304347826086	1.1304347826086956	1.2173913043478262		1.2173913043478262	HAP	1590
3458	SILENCE	ruhe	3.7	1.4	2.0		1.55	HAP	1416
3467	HELP (ASSISTANCE)	hilfe	2.9	1.85	1.65		2.1	HAP	659
356	SHEARS	schere	1.1363636363636365	1.1363636363636365	1.0		1.3181818181818181	FEA	1461
3675	ZEBRA	zebra	2.85	1.0	1.05		1.1	HAP	1919
3711	TIE (NOUN)	krawatte	1.45	1.05	1.05		1.05	HAP	832
3717	BADGER	dachs	2.5	1.4	1.4		1.6	HAP	295
3722	FLAMINGO	flamingo	3.15	1.0	1.0		1.0	HAP	468
3724	STORK	storch	2.8095238095238093	1.0	1.0476190476190477		1.0952380952380953	HAP	1609
3729	LETTUCE	salat	3.0416666666666665	1.0833333333333333	1.0833333333333333		1.125	HAP	1432
383	MASTER	meister	2.619047619047619	1.1428571428571428	1.0476190476190477		1.1428571428571428	HAP	1032
420	FOREST	wald	3.590909090909091	1.4090909090909092	1.5454545454545454		2.409090909090909	HAP	1846
476	CUP	tasse	1.9583333333333333	1.0833333333333333	1.125		1.0	HAP	1650
478	LIP	lippe	2.772727272727273	1.3181818181818181	1.4090909090909092		1.3636363636363635	HAP	939
496	CUCUMBER	gurke	2.1904761904761907	1.5238095238095237	1.2380952380952381		1.1904761904761905	HAP	611
502	NAIL (TOOL)	nagel	1.2727272727272727	1.5909090909090908	1.3181818181818181		1.3636363636363635		1135
503	FROG	frosch	2.238095238095238	1.0952380952380953	1.0952380952380953		1.1904761904761905	HAP	508
518	SPARK	funke	2.5714285714285716	1.4761904761904763	1.2380952380952381		2.0	HAP	515
53	SPIRIT	geist	2.0	1.45	1.6		2.2	FEA	547
538	MULTITUDE	masse	2.0	2.1818181818181817	1.6363636363636365		1.9545454545454546	ANG	1015
545	SPRUCE	fichte	2.227272727272727	1.0	1.0454545454545454		1.0454545454545454	HAP	456
585	BOOT	stiefel	2.380952380952381	1.0476190476190477	1.0		1.0476190476190477	HAP	1605
597	PHYSICIAN	arzt	1.9523809523809523	2.1904761904761907	1.7142857142857142		2.6666666666666665	FEA	123
603	COAT	mantel	2.2857142857142856	1.0952380952380953	1.0		1.0	HAP	1004
604	GLASS	glas	2.0454545454545454	1.5	1.1363636363636365		1.6818181818181819	HAP	590
606	GRASS	gras	3.4	1.05	1.3		1.15	HAP	601
609	HAIL	hagel	1.7142857142857142	2.0952380952380953	1.4285714285714286		2.0476190476190474	ANG	618
612	HEAT	hitze	2.380952380952381	2.142857142857143	1.2857142857142858		1.5714285714285714	HAP	666
615	HORSE	pferd	3.3043478260869565	1.391304347826087	1.4782608695652173		1.565217391304348	HAP	1257
619	ANIMAL	tier	3.4761904761904763	1.7142857142857142	1.5238095238095237		1.8095238095238095	HAP	1676
622	ISLAND	insel	3.55	1.2	1.3		1.55	HAP	701
625	LAMP	lampe	2.3636363636363638	1.3636363636363635	1.4090909090909092		1.3636363636363635	HAP	870
629	LEATHER	leder	3.0416666666666665	1.625	1.5		1.4583333333333333	HAP	884
630	LIGHT (RADIATION)	licht	3.652173913043478	1.391304347826087	1.2608695652173914		1.2608695652173914	HAP	924
632	LIZARD	eidechse	2.55	1.05	1.05		1.1	HAP	360
633	MARKET	markt	2.739130434782609	1.608695652173913	1.3043478260869565		1.2608695652173914	HAP	1007
634	MEAT	fleisch	1.55	1.5	1.5		1.3	DIS	473
635	MILK	milch	2.909090909090909	1.2727272727272727	1.3636363636363635		1.2727272727272727	HAP	1054
638	MOTORCYCLE	motorrad	1.9523809523809523	1.5714285714285714	1.2380952380952381		2.142857142857143	FEA	1108
641	MUSHROOM	pilz	2.45	1.35	1.05		1.65		1268
644	OAK	eiche	2.7	1.3	1.65		1.35	HAP	359
646	ASH	asche	1.45	1.65	3.2		2.45	SAD	124
647	PAINT (PIGMENTS)	farbe	3.5	1.15	1.6		1.2	HAP	432
