CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_VALENCE_MEAN	ENGLISH_AROUSAL_MEAN	ENGLISH_DOMINANCE_MEAN	LINE_IN_SOURCE
1454	WIPE	wipe	0.663	0.427	0.551	19709
1455	PULL	pull	0.450	0.685	0.473	13936
1456	THROW	throw	0.344	0.770	0.623	17932
1457	SEW	sew	0.510	0.340	0.340	15759
1458	SAY	say	0.571	0.310	0.482	15377
146	SUGAR CANE	cane	0.459	0.298	0.398	2486
1462	POT	pot	0.500	0.186	0.294	13397
1463	DRUNK	drunk	0.194	0.800	0.250	5488
1464	LADDER	ladder	0.560	0.438	0.358	9933
1465	BOX	box	0.500	0.179	0.312	2062
1466	EXACT	exact	0.719	0.354	0.685	6162
1467	CIRCLE	circle	0.480	0.290	0.343	3023
1468	LOOK FOR	search	0.635	0.580	0.462	15559
1469	WEEK	week	0.510	0.231	0.351	19537
1470	FOLD	fold	0.385	0.412	0.330	6929
1471	WINTER	winter	0.663	0.355	0.500	19704
1472	KEY	key	0.615	0.275	0.519	9808
1473	FIST	fist	0.333	0.686	0.481	6757
1474	SEA	sea	0.833	0.353	0.589	15547
1475	COMB	comb	0.490	0.123	0.268	3333
1476	CHAIR	chair	0.562	0.082	0.276	2774
1477	KEEP	keep	0.714	0.296	0.547	9794
1479	DOLPHIN	dolphin	0.776	0.350	0.414	5308
1480	BODY	body	0.694	0.461	0.571	1921
1481	HAMMER	hammer	0.312	0.509	0.563	8013
1482	SHOULDER	shoulder	0.562	0.286	0.406	15921
1483	NINE	nine	0.552	0.255	0.327	11776
1484	OIL (ORGANIC SUBSTANCE)	oil	0.521	0.278	0.306	12089
1485	BELOW OR UNDER	beneath	0.354	0.173	0.233	1617
1487	POUR	pour	0.448	0.570	0.375	13419
1488	FAUCET	tap	0.461	0.370	0.349	17608
1489	CLOUD	cloud	0.740	0.133	0.342	3178
149	ITCHY	itchy	0.334	0.726	0.296	9596
1490	RAT	rat	0.271	0.567	0.255	14230
1491	MOUSE	mouse	0.427	0.441	0.206	11429
1492	DUMB	dumb	0.188	0.330	0.151	5521
1493	ONE	one	0.542	0.292	0.370	12118
1494	DIE	die	0.031	0.765	0.259	4881
1495	HAPPY	happy	1.000	0.735	0.772	8063
1496	GRANDMOTHER	grandmother	0.792	0.283	0.426	7704
1497	POSTCARD	postcard	0.822	0.292	0.390	13384
1498	TWO	two	0.520	0.200	0.404	18508
1499	JUICE	juice	0.776	0.281	0.352	9737
15	OTTER	otter	0.439	0.216	0.339	12267
150	WORRY	worry	0.245	0.776	0.267	19813
1500	FOUR	four	0.552	0.280	0.383	7082
1501	BORE	bore	0.417	0.440	0.455	2009
1502	GOAT	goat	0.448	0.304	0.364	7584
1503	SALIVA	saliva	0.214	0.265	0.236	15271
1505	SPERM	sperm	0.396	0.706	0.453	16602
1506	MEASURE	measure	0.510	0.375	0.365	10863
1507	FRUIT	fruit	0.896	0.291	0.312	7210
1508	KING	king	0.677	0.690	0.892	9854
1509	MOSQUITO	mosquito	0.229	0.400	0.198	11386
151	RAZOR	razor	0.260	0.610	0.481	14263
1510	CHIN	chin	0.571	0.310	0.269	2934
1511	ROOSTER	rooster	0.459	0.385	0.275	15108
1514	HEN	hen	0.385	0.276	0.241	8282
1515	TEN	ten	0.562	0.260	0.406	17738
1517	WASP	wasp	0.390	0.620	0.406	19464
1518	STUPID	stupid	0.133	0.510	0.200	17116
1519	RUN	run	0.542	0.787	0.543	15195
152	HOOF	hoof	0.427	0.341	0.365	8486
1520	CRUSH	crush	0.271	0.676	0.582	4192
1521	SEEM	seem	0.471	0.302	0.298	15622
1522	SOCK	sock	0.500	0.167	0.290	16382
1523	FORGET	forget	0.312	0.382	0.209	7021
1524	WINE	wine	0.792	0.417	0.457	19693
1525	COAST	coast	0.719	0.396	0.458	3209
1526	MEAL	meal	0.833	0.461	0.473	10850
1527	TICK	tick	0.521	0.386	0.412	17959
1528	FORGIVE	forgive	0.781	0.408	0.562	7024
153	GREY	grey	0.347	0.140	0.295	7796
1530	BOWL	bowl	0.625	0.377	0.358	2058
1531	BRANCH	branch	0.538	0.206	0.250	2092
1532	SHEAR	shear	0.286	0.647	0.388	15822
1533	BE HUNGRY	hungry	0.083	0.690	0.254	8631
1534	FEVER	fever	0.194	0.674	0.364	6633
1535	SWORD	sword	0.438	0.653	0.713	17472
1536	UNDERSTAND	understand	0.760	0.374	0.643	18669
