CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	SPANISH_AOA_MEAN	SPANISH_RT_MEAN	LINE_IN_SOURCE
2575	DO OR MAKE	hacer	2.1600	499.6252	1265
2578	PENCIL	lápiz	1.9200	521.0609	1457
2615	FLESH OR MEAT	carne	2.3200	499.2157	445
2618	CAMERA	cámara	3.5600	501.9541	400
2638	FISHING	pescar	3.2000	483.1129	1983
27	AIR	aire	2.3200	507.6927	72
273	DOUGH	masa	4.1600	480.4942	1602
288	FORGE	fragua	6.0400	557.4029	1165
2902	BRAWL (FIGHT)	pelear	2.8400	514.8445	1949
2905	KNIT	tejer	4.0000	552.1455	2510
2965	PAW	pata	2.7200	512.2400	1926
3072	MISPLACE	perder	2.6800	531.2962	1966
3083	BALLOON	globo	1.4243	505.6883	1223
3085	CARROT	zanahoria	2.5400	570.4987	2761
3086	COMPUTER	ordenador	4.3300	541.1071	1838
3090	GUITAR	guitarra	2.7300	494.8100	1256
3092	LIGHTER	mechero	3.2900	591.7339	1615
31	PAN	sartén	2.5800	529.6426	2331
3102	TANK	tanque	3.5714	575.4448	2491
3110	CLAP	aplaudir	2.2000	541.2390	162
3118	IRON (CLOTHES)	planchar	2.7200	513.3913	2017
3120	MOP (SOMETHING)	fregar	3.3200	538.0659	1171
3121	OPERATE (MEDICINE)	operar	3.8000	492.6397	1828
3122	PAINT (SOMETHING)	pintar	2.4000	494.9925	2006
3126	POST (SOMETHING)	enviar	3.9200	552.2038	954
3138	STRAWBERRY	fresa	2.1950	535.4116	1174
315	CURASSOW	pavo	3.1200	511.6620	1937
321	CHEW	masticar	2.2000	559.2541	1606
323	FAT (ORGANIC SUBSTANCE)	grasa	4.4800	480.6415	1241
326	CLOAK	capa	3.1600	491.6379	421
3351	STOP DOING	parar	2.4800	506.2270	1898
3405	RULER	regla	2.9586	488.9870	2202
344	TREE TRUNK	tronco	2.4643	499.9724	2624
3653	COOKING POT	olla	2.9479	568.5677	1822
3654	TAKE OUT	sacar	2.3600	522.3182	2304
367	RIDE	montar	2.7200	492.0494	1692
369	OWE	deber	3.7200	527.9803	779
371	PICK UP	recoger	2.4000	530.1826	2183
388	FISHNET	red	3.5400	520.3044	2195
420	FOREST	bosque	2.2000	495.7494	333
478	LIP	labio	2.1600	522.4794	1443
479	GROW	crecer	2.0800	519.3582	710
482	NOBLE	noble	4.6800	491.5356	1768
484	CONDEMN	condenar	5.0000	551.6357	632
489	KIDNEY	riñón	4.8800	589.0214	2263
497	SCAR	cicatriz	3.6429	570.2926	531
502	NAIL (TOOL)	clavo	3.0000	500.0571	563
503	FROG	rana	2.4600	505.5782	2161
504	LEARN	aprender	2.8000	521.2226	167
506	MAIZE	maíz	2.9200	496.5863	1554
509	CERTAIN	seguro	3.4800	522.8646	2351
522	WOLF	lobo	2.1600	510.1183	1520
539	NEST	nido	2.5800	561.7021	1762
55	WHISPER	murmurar	4.5200	594.7000	1729
568	RISE (MOVE UPWARDS)	ascender	4.6400	546.4187	201
575	TREAD	pisar	2.3600	509.2881	2011
578	KISS	besar	2.2000	499.9694	300
585	BOOT	bota	1.9200	525.9793	334
592	PISS	orinar	3.6400	562.7723	1849
593	POTATO	papa	2.1200	497.8750	1888
601	LIE (MISLEAD)	mentir	2.2000	509.3446	1635
602	HIDE (CONCEAL)	esconder	2.4000	553.1959	983
604	GLASS	cristal	3.2800	509.1403	721
605	GRAIN	grano	3.2000	519.1491	1240
606	GRASS	hierba	2.5200	533.3147	1292
610	PORT	puerto	3.2800	503.1142	2138
615	HORSE	caballo	1.6700	485.3212	367
617	ICE	hielo	2.8800	491.2267	1291
619	ANIMAL	animal	1.5769	474.0172	133
621	IRON	hierro	4.0400	491.1776	1293
622	ISLAND	isla	2.3929	498.0374	1406
623	LAGOON	laguna	3.9600	550.3535	1451
624	LAKE	lago	2.7600	545.7073	1450
625	LAMP	lámpara	2.4200	542.5957	1453
627	LEAD (CHEMICAL ELEMENT)	plomo	4.4800	549.3082	2029
628	LEAF	hoja	1.9633	517.2573	1305
630	LIGHT (RADIATION)	luz	2.0000	476.6591	1544
635	MILK	leche	1.6800	462.7318	1470
636	MILL	molino	2.6700	563.0552	1682
639	MOUNTAIN	cerro	5.9200	542.0170	504
640	MUD	barro	2.4400	517.9770	283
643	NEED (NOUN)	necesidad	3.7500	559.6794	1751
644	OAK	roble	3.2800	545.5620	2271
645	OCEAN	océano	3.8800	535.3853	1803
646	ASH	ceniza	3.9231	557.4935	494
648	PAPER	papel	2.0900	484.9806	1890
653	PLANT (VEGETATION)	planta	1.8567	482.1432	2019
655	POISON	veneno	3.7200	546.2981	2686
657	PRICE	precio	2.9429	489.9934	2065
658	RAIN (PRECIPITATION)	lluvia	1.8286	512.0391	1519
661	RELIGION	religión	3.1600	515.1237	2215
662	BATTERY	pila	2.7857	514.6761	2000
665	BEE	abeja	2.2400	516.3944	4
666	RIVER	río	2.1600	491.5397	2264
670	ROOT	raíz	3.5400	513.9200	2158
671	SAND	arena	2.5600	521.5179	176
674	MOUTH	boca	1.5200	478.9955	317
677	AXE	hacha	3.1900	620.0656	1266
678	BEARD	barba	2.3214	522.8856	275
680	BREAK (DESTROY OR GET DESTROYED)	romper	2.2500	528.7991	2279
681	DESTROY	destruir	3.5200	545.9668	811
688	LUNG	pulmón	3.0300	488.2375	2139
690	BOTTOM	fondo	3.5200	490.1706	1149
691	SEASON	estación	3.1538	536.9861	1015
692	BRING	traer	2.9200	555.5056	2592
698	WISE	sabio	4.1600	490.5786	2301
700	CARRY	llevar	2.7600	483.5806	1517
710	WHEEL	rueda	2.1200	507.8362	2288
713	STEAL	robar	3.5600	481.1980	2270
714	SEED	semilla	3.0400	538.6012	2358
715	SHOUT	gritar	2.0800	500.6088	1248
718	PAY	pagar	2.9600	507.1597	1864
721	LOW	bajo	2.3200	493.3170	260
724	READ	leer	2.1200	503.0226	1473
73	BEAK	pico	2.3214	502.5277	1994
735	OWL	búho	2.6900	557.2722	354
737	LIGHT (IGNITE)	encender	4.8800	553.2527	931
738	THING	cosa	1.8333	528.4227	701
739	FEED	alimentar	2.4400	526.0515	91
741	DRIVE	conducir	2.9600	503.6700	634
742	END (OF SPACE)	final	2.5600	513.5668	1126
743	END (OF TIME)	fin	2.3200	520.4488	1125
744	EGG	huevo	1.7100	503.0746	1328
745	SHELF	repisa	5.1600	611.0119	2227
747	BICYCLE	bicicleta	2.1100	510.9432	307
749	ENTER	entrar	2.3200	503.5340	948
753	PUPIL (STUDENT)	alumno	2.9600	524.1844	104
755	DENY	negar	3.8000	536.0453	1753
759	SILVER	plata	3.6400	492.2076	2021
760	KNOT	nudo	2.8600	553.7025	1788
761	COVER	cubrir	3.9200	553.6474	739
763	SKIN	piel	2.9600	477.0379	1997
765	MOVE	mover	2.8000	511.7610	1708
767	CORPSE	cadáver	4.6400	520.2285	375
768	LUNCH	almuerzo	3.8000	550.0140	98
769	ROOF	techo	2.8800	511.0176	2505
772	BELT	cinturón	2.7700	531.4791	546
773	HAVE	tener	2.2400	500.0052	2523
777	FLUTE	flauta	2.9600	529.0171	1135
778	SMOKE (EXHAUST)	humo	3.1600	480.2740	1335
779	PART	pedazo	2.4400	514.8088	1945
781	FEAR (FRIGHT)	miedo	2.8000	479.4165	1656
783	VICTORY	victoria	3.4800	510.4368	2715
784	SNOW	nieve	2.4231	498.3029	1765
787	SAIL	navegar	3.3200	531.7639	1748
788	SOAP	jabón	2.0000	495.0913	1411
789	PEOPLE	gente	2.6000	477.7067	1213
798	JAW	mandíbula	4.0400	571.3460	1566
799	WRIST	muñeca	1.3300	485.4021	1725
800	THIGH	muslo	3.1600	503.9755	1735
811	SOUL	alma	4.6154	516.0944	93
816	HALF	mitad	2.9600	545.3345	1670
819	STOMACH	estómago	2.9714	549.3254	1029
83	FORBID	prohibir	3.2400	539.1815	2111
843	SPIDER	araña	1.9200	533.6412	169
846	TIGER	tigre	2.2700	489.6988	2553
848	THIRST	sed	1.9600	537.2052	2343
85	GIVE BACK	devolver	3.9200	562.1322	821
850	SQUARE	cuadrado	2.0600	521.4330	730
853	ALTAR	altar	3.9600	553.4875	100
857	STONE	piedra	1.8700	494.0509	1996
860	CAUSE	causar	4.0769	540.8553	475
861	JUDGE	juez	3.8286	521.3234	1429
862	SUGAR	azúcar	2.5600	510.8780	254
867	GLOVE	guante	4.3100	573.3388	1253
871	RATTLESNAKE	cascabel	2.9615	599.1154	457
878	HELL	infierno	3.5000	540.7085	1368
881	TAILOR	sastre	4.9231	562.3531	2332
882	PARROT	loro	2.2857	508.5743	1531
89	NATIVE COUNTRY	patria	5.1538	550.4097	1930
890	MULE	mulo	4.0800	525.5730	1721
892	TIME	tiempo	2.6571	475.0471	2550
894	TOAD	sapo	2.5385	511.6929	2327
90	INNOCENT	inocente	4.1200	570.2981	1378
906	TREE	árbol	1.7033	513.7825	170
908	DRUM	tambor	2.5000	557.7500	2489
