CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_SOUND_MEAN	ENGLISH_COLOR_MEAN	ENGLISH_MANIPULATION_MEAN	ENGLISH_MOTION_MEAN	ENGLISH_EMOTION_MEAN	LINE_IN_SOURCE
1547	SOUP	soup	1.40	3.00	2.92	0.82	1.83	1163
1554	MAN	man	2.79	2.03	3.06	3.56	1.58	771
1559	MONEY	money	2.25	4.67	4.08	0.92	3.00	812
1560	FACE	face	1.78	1.55	3.17	3.10	1.92	442
1561	ARMY	army	4.66	3.24	2.49	3.98	-1.72	47
1562	MIND	mind	0.93	1.50	2.86	1.68	2.38	799
1566	GUN	gun	4.86	2.62	4.33	2.62	-3.33	569
1567	DOOR	door	2.50	1.83	3.15	3.25	0.00	386
1569	CHEESE	cheese	0.23	4.84	2.57	0.23	1.53	248
1575	COCKROACH	cockroach	1.39	3.48	1.27	2.93	-3.43	291
1578	IGUANA	iguana	0.97	4.35	1.65	2.04	0.73	630
1581	ALLIGATOR	alligator	2.23	4.53	1.34	2.79	-1.17	19
1583	BRAIN	brain	0.40	2.50	2.86	2.00	2.46	160
1584	BLISTER	blister	0.46	2.40	2.20	0.92	-3.05	130
1592	CHEST	chest	1.36	1.00	2.79	0.40	0.85	251
1597	AIRPLANE	airplane	4.97	2.90	3.60	4.48	1.31	12
16	SLED	sled	1.86	2.64	2.94	3.37	2.00	1138
1600	SKIRT	skirt	0.55	2.67	3.38	1.30	2.17	1132
1605	SKULL	skull	0.50	1.64	1.09	0.58	-2.69	1133
1612	LETTER	letter	0.27	0.83	3.31	0.91	2.75	733
1621	SNEEZE	sneeze	4.62	0.62	2.20	2.82	-0.62	1150
1622	SHIRT	shirt	0.55	2.80	3.62	0.55	1.54	1112
1627	CHAIN	chain	2.92	1.69	2.67	1.00	-1.27	239
1628	SQUIRREL	squirrel	1.91	3.58	1.36	3.56	0.87	1182
1629	EVENING	evening	0.91	3.53	0.56	0.80	2.44	437
1638	TRUTH	truth	0.72	0.28	2.90	0.31	4.24	1302
1639	BEER	beer	2.00	3.79	3.53	1.31	1.60	108
1646	GIRL	girl	2.82	2.83	2.08	3.82	3.46	535
1647	FOAL	pony	3.59	3.36	2.23	3.54	1.88	968
1654	LIGHTNING	lightning	2.32	4.75	0.93	4.48	0.02	740
1659	DOLL	doll	0.48	2.42	2.68	0.64	0.86	382
1662	CAPE	cape	0.73	1.64	2.62	1.17	0.55	217
1663	BED	bed	1.05	2.33	2.35	0.60	3.22	104
1668	GRIEF	grief	1.94	0.61	1.00	0.40	-4.47	560
1671	TOWER	tower	0.40	0.73	0.86	0.09	0.25	1282
1673	ARM	arm	0.48	2.07	3.67	3.00	0.38	45
1678	HUT	hut	0.50	1.50	2.07	0.15	-0.08	625
1679	LOAD	burden	0.36	0.24	1.11	0.50	-3.41	184
1680	HELMET	helmet	0.82	1.83	2.67	0.77	-1.08	596
1688	FATE	fate	0.20	0.43	1.30	0.64	0.66	452
1690	FENCE	fence	0.30	2.00	2.21	0.00	-0.54	461
1730	CHEEK	cheek	0.40	2.15	2.62	2.44	1.36	246
1732	SKY	sky	0.98	5.11	0.35	1.59	3.02	1134
1740	PINE	pine	0.64	5.00	1.54	0.60	1.08	946
1754	BRACELET	bracelet	0.71	2.55	3.00	0.91	2.92	159
1768	FOAM	foam	1.36	1.67	1.38	0.92	0.42	490
1769	AXLE	axle	1.83	0.82	2.09	2.64	-0.62	71
1772	ELK	elk	2.66	3.21	1.20	2.80	0.48	421
1773	GRAVE	grave	0.40	1.75	1.71	0.14	-4.17	554
1775	TABLE	table	0.40	1.50	2.38	0.09	0.08	1231
1776	SHAME	shame	0.33	0.28	1.68	0.26	-3.69	1103
1779	DARE	dare	0.90	0.39	2.19	0.77	-0.53	348
1781	THUMB	thumb	0.27	2.00	3.31	2.00	-0.08	1257
1791	BUTTERFLY	butterfly	0.62	5.31	1.74	3.77	3.00	190
1792	PERJURY	perjury	0.91	0.20	1.32	0.52	-3.39	928
1803	WOOD	wood	1.92	2.36	2.75	0.45	0.17	1381
1804	BOMB	bomb	5.56	2.64	3.77	3.59	-4.38	143
1810	DANGER	danger	2.13	1.84	1.03	1.78	-3.16	347
1820	BEAR	bear	3.67	3.58	1.54	3.36	0.92	101
1821	BRUSH	brush	1.15	0.82	3.15	1.91	0.67	175
1830	CRANE	crane	3.28	2.65	2.45	2.76	0.86	323
1833	DINNER (SUPPER)	dinner	2.00	2.70	3.25	0.60	3.00	370
184	MAST	mast	0.62	1.21	2.38	0.91	0.43	779
1844	BOAT	boat	3.17	1.45	2.85	3.77	1.75	140
1845	BALL	ball	2.17	2.88	3.71	3.95	1.51	76
185	FIREPLACE	fireplace	2.09	3.44	2.80	1.03	2.44	475
1850	COTTON	cotton	0.17	2.17	2.50	0.09	0.08	315
1853	DOVE	dove	1.75	4.36	1.51	3.00	3.02	390
1855	BIRCH	birch	1.11	2.38	1.00	0.22	1.00	123
1857	CROCODILE	crocodile	2.00	4.31	1.59	2.74	-1.79	329
1858	FISHERMAN	fisherman	1.65	1.51	1.48	2.05	1.19	478
1867	COIN	coin	1.75	2.83	3.15	1.00	2.00	296
1871	CAMEL	camel	1.28	3.72	2.00	2.34	0.16	205
1885	ARMADILLO	armadillo	0.97	3.19	1.41	2.00	1.25	46
1895	CLOTHES	clothing	0.49	3.27	3.42	0.56	2.11	282
1896	FINGERNAIL OR TOENAIL	nail	2.10	2.60	3.35	0.87	-0.76	844
1899	MAD	mad	2.00	0.94	1.61	0.88	-3.94	764
1905	EAGLE	eagle	2.42	3.98	1.18	3.72	1.93	408
