CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	SPANISH_AOA_MEAN	SPANISH_AOA_MIN	SPANISH_AOA_MAX	SPANISH_AOA_ZSCORE	LINE_IN_SOURCE
501	LIFT	levantar	4.18	1	16	-2.1822650670193795	2961
504	LEARN	aprender	4.469387755102041	2	9	-2.0721757713889732	488
52	SHIVER	temblar	6.06	2	11	-1.4670728305262186	4374
526	HOWL	aullar	7.204081632653061	2	13	-1.031839691383724	650
55	WHISPER	murmurar	8.18	3	15	-0.6605794574594626	3187
568	RISE (MOVE UPWARDS)	ascender	8.64	3	15	-0.4855856123600718	568
571	STING	picar	6.22	2	15	-1.4062054061438218	3414
575	TREAD	pisar	4.52	2	10	-2.0529217902067867	3426
578	KISS	besar	5.4	1	20	-1.7181509561036048	725
582	LEND	prestar	4.9	1	15	-1.9083616572985944	3528
592	PISS	orinar	4.54	1	8	-2.045313362158987	3277
601	LIE (MISLEAD)	mentir	5.2	2	9	-1.7942352365816006	3111
602	HIDE (CONCEAL)	esconder	4.64	2	10	-2.0072712219199893	2259
653	PLANT (VEGETATION)	plantar	4.86	2	12	-1.9235785133941936	3438
66	KNEEL	arrodillarse	5.755102040816326	3	17	-1.5830625397447144	551
680	BREAK (DESTROY OR GET DESTROYED)	romper	4.66	2	18	-1.9996627938721894	4093
681	DESTROY	destruir	6.76	3	12	-1.200777848853233	1752
685	DECIDE	decidir	7.6	3	26	-0.8812238708456506	1310
692	BRING	traer	4.64	1	9	-2.0072712219199893	4428
694	GET	obtener	7.1	3	14	-1.0714345720406402	3230
695	GO	ir	4.14	1	7	-2.197481923114979	2898
696	STIR	revolver	7.081632653061225	2	13	-1.0784219039212724	4074
700	CARRY	llevar	4.7	2	10	-1.9844459377765902	2997
702	CATCH	atrapar	6.76	3	15	-1.200777848853233	636
708	SHINE	brillar	5.74	2	16	-1.5888076792910117	755
709	TEACH	enseñar	5.18	2	8	-1.8018436646294005	2149
713	STEAL	robar	5.9	2	12	-1.5279402549086152	4083
715	SHOUT	gritar	4.1	2	10	-2.212698779210578	2611
716	GROAN	gemir	11.10204081632653	3	18	0.4510274077282361	2575
718	PAY	pagar	6.3061224489795915	2	13	-1.3734425833257462	3292
719	FIND	encontrar	4.938775510204081	3	9	-1.893610623328371	2070
722	ATTACK	atacar	6.7	1	17	-1.2236031329966317	605
724	READ	leer	4.6	2	8	-2.0224880780155883	2952
729	DAWN	amanecer	6.06	3	12	-1.4670728305262186	351
733	EARN	ganar	4.64	2	8	-2.0072712219199893	2563
734	MAKE	hacer	4.54	2	10	-2.045313362158987	2631
737	LIGHT (IGNITE)	encender	4.5	2	9	-2.0605302182545864	2057
739	FEED	alimentar	4.76	2	9	-1.9616206536331917	316
741	DRIVE	conducir	6.16	2	18	-1.4290306902872205	1075
749	ENTER	entrar	4.54	1	17	-2.045313362158987	2171
755	DENY	negar	5.42	2	11	-1.7105425280558053	3200
756	DEPEND	depender	8.76	4	15	-0.4399350440732746	1373
761	COVER	cubrir	7.061224489795919	3	13	-1.0861856060108637	1263
765	MOVE	mover	4.36	1	8	-2.113789214589183	3176
773	HAVE	tener	4.16	2	13	-2.189873495067179	4378
787	SAIL	navegar	7.78	2	16	-0.8127480184154541	3198
79	WASTE	malgastar	8.64	4	16	-0.4855856123600718	3023
8	CURSE	maldecir	9.84	5	16	-0.02907992949209698	3021
83	FORBID	prohibir	5.98	2	15	-1.4975065427174168	3572
845	MURDER	asesinar	8.7	2	16	-0.46276032821667357	578
85	GIVE BACK	devolver	5.38	2	14	-1.7257593841514045	1783
855	SEIZE	agarrar	4.32	1	10	-2.1290060706847824	225
86	SIEVE	tamizar	14.5	10	21	1.7436838056452064	4352
860	CAUSE	causar	8.18	3	14	-0.6605794574594626	858
879	COUGH	toser	4.52	2	10	-2.0529217902067867	4420
880	REPEAT	repetir	4.8	2	10	-1.9464037975375925	3952
884	SHARE	repartir	6.1	2	13	-1.4518559744306194	3942
897	SWALLOW	tragar	4.04	2	10	-2.2355240633539766	4431
9	ANNOUNCE	anunciar	7.469387755102041	3	14	-0.9309115642190355	422
92	SPOIL (SOMEBODY OR SOMETHING)	mimar	5.775510204081633	3	15	-1.5752988376551227	3126
923	LOVE	querer	4.18	1	11	-2.1822650670193795	3641
928	EMBRACE	abrazar	3.78	1	10	-2.3344336279753715	37
93	DRAW MILK	ordeñar	7	3	12	-1.109476712279638	3270
956	FLEE	huir	6.94	2	15	-1.1323019964230365	2681
96	CRAWL	gatear	3.857142857142857	1	10	-2.3050868340767154	2574
976	WEAR	vestir	4.26	1	19	-2.151831354828181	4582
984	WORK (LABOUR)	trabajar	5.34	2	15	-1.7409762402470037	4423
987	REMAIN	permanecer	8.6	3	15	-0.5008024684556713	3383
991	FRY	freír	6.32	3	12	-1.3681632659048237	2537
998	PUT	poner	4.48	2	10	-2.0681386463023856	3459
