CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_IMAGEABILITY_MEAN	ENGLISH_IMAGEABILITY_SD	ENGLISH_AOA_MEAN	ENGLISH_AOA_SD	ENGLISH_FAMILIARITY_MEAN	ENGLISH_FAMILIARITY_SD	ENGLISH_CONCRETENESS_MEAN	ENGLISH_CONCRETENESS_SD	ENGLISH_MEANING_UNCERTAINTY	ENGLISH_FREQUENCY	LINE_IN_SOURCE
2366	ONION	onion	6.08	1.44	2.86		5.32	1.49	6.83	0.45	0	25	1201
240	ELECTION	election	4.41	1.6	5.28		5.35	1.1	3.43	1.57	0	49	553
2401	PICTURE	picture	5.78	1.29	2.19		6.1	1.02	6.11	1.09	0.73	100	1288
2402	ROBIN	robin	6.33	0.91	2.33		4.63	1.7	6.77	0.48	0	48	1473
2403	TOY	toy	5.83	1.42	1.64		5.41	1.35	6.29	0.94	0.17	49	1772
2406	HOME	home	6.19	1.09	2.33		6.44	0.89	5.54	1.46	0	100	824
2408	CAKE	cake	6.24	1.02	2.14		6.02	1.14	6.71	0.51	0.17	50	238
241	TREE STUMP	stump	5.05	1.54	3.72		4.07	1.2	5.89	1.04	1.66	27	1674
2411	HURT (SOMEBODY)	hurt	4.72	1.69	2.19		5.98	1.07	3.69	1.79	0	100	845
2423	CHANNEL	channel	5.14	1.54	4.11		4.82	1.27	5.51	1.18	0.71	35	275
2424	MEMBER	member	4.05	1.68	3.92		5.73	0.89	4.69	1.62	0	100	1084
2425	PROBLEM	problem	3.92	1.81	3.67		6.25	0.88	3.53	1.63	1.44	100	1349
2427	FUTURE	future	4.19	1.63	4.14		6.12	1.02	3.06	1.76	0	100	709
2429	LOGIC	logic	3	1.58	5.5		5.04	1.35	2.37	1.69	0	11	1025
2431	REVOLUTION	revolution	5.19	1.64	5.17		4.77	1.41	3.82	1.74	1.06	50	1459
2432	MARRIAGE	marriage	5.58	1.52	3.83		5.42	1.2	4.11	2.05	0	50	1066
2433	THEORY	theory	3.08	1.87	5.57		5.41	1.12	2.66	1.49	0	50	1740
2435	UNIVERSITY	university	6.43	0.82	4.97		6.37	0.96	5.49	1.42	0	50	1828
2459	GRINDSTONE	millstone	5.32	1.53	4.64		3.7	1.19	6.09	1.16	0	5	1102
2467	GAME	game	5	1.36	2.42		5.97	1.12	4.94	1.62	0.77	100	713
2468	BAG	bag	5.76	1.55	2.17		6.34	0.93	6.37	0.93	0.47	100	128
2471	LADY	lady	5.89	1.37	2.31		5.94	1.09	5.94	1.24	0	100	978
2486	HIDE	hide	4.65	1.89	2.56		5.17	1.3	4.77	1.85	0.88	50	813
249	FOG	mist	6.43	0.68	3.67		4.99	1.22	5.17	1.4	0	29	1111
2505	BEDROOM	bedroom	6.35	1.02	2.06		6.46	0.88	6.51	0.91	0	35	150
2509	EXCHANGE	exchange	4	1.52	4.43		5.04	1.36	3.57	1.64	0.71	50	604
2521	FEELING (HAPTIC SENSE)	feeling	3.76	1.7	3.39		6.12	0.96	2.51	1.71	0.98	50	639
2524	JOY	joy	5.43	1.69	3.42		5.15	1.35	2.86	1.77	0	100	954
2527	ABILITY	ability	3.43	1.7	4.53		5.39	1.29	2.69	1.49	0	49	4
2537	LENGTH	length	3.97	2.02	3.22		6.11	0.96	3.49	1.68	0	100	1001
2539	PIT (POTHOLE)	pit	5.95	1.35	3.14		4.93	1.51	6.26	0.94	0.34	29	1295
2540	LIME (MATERIAL)	lime	5.53	1.4	3.78		4.43	1.7	6.29	1.06	0.92	27	1013
2544	SHEPHERD	shepherd	6.06	1.18	2.75		4.35	1.43	6.31	0.85	0	30	1558
2546	BORDER	border	4.59	1.57	4.17		4.89	1.22	4.57	1.73	0.91	50	194
2548	BARREL	barrel	6.06	1.33	3.19		4.64	1.43	6.31	1.06	0	32	139
255	SERVANT	servant	5.14	1.68	4.06		4.37	1.3	5.37	1.53	0	50	1545
2553	MISERY	misery	4.3	1.84	4.5		4.76	1.38	2.69	1.37	0	26	1109
2562	SEX (GENDER)	sex	5.95	1.33	4.5		6.23	0.86	5.06	1.37	0.98	26	1549
