CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	POS	WORDNET_ID	NLTK_NAME	HYPERNYMS	HYPONYMS	HYPERNYM_NAMES	HYPONYM_NAMES	IN_DEGREE	OUT_DEGREE	LINE_IN_SOURCE
1144	WITNESS	witness	n	10786517-n	witness.n.05	00007846-n	09773682-n;09909477-n;10072346-n;10250873-n;10301089-n	person.n.01	adverse_witness.n.01;character_witness.n.01;expert_witness.n.01;lay_witness.n.01;material_witness.n.01	1	5	4401
1147	PURE	pure	a	01904845-a	pure.a.06					0	0	1504
1155	CAVE	cave	n	09238926-n	cave.n.01	09287968-n	09239302-n;09257843-n;09294877-n	geological_formation.n.01	cavern.n.02;cove.n.02;grotto.n.01	1	3	4025
1156	OPEN	open	v	01346003-v	open.v.01		01346430-v;01346548-v;01593614-v;01603885-v;01593254-v;01346693-v;01343079-v;01348987-v;01423793-v;01348705-v;01353873-v		break_open.v.01;click_open.v.01;gap.v.01;lance.v.03;pry.v.01;reopen.v.01;unbar.v.01;unbolt.v.01;uncork.v.02;unlock.v.01;unseal.v.01	0	11	1122
1158	STEP	step	n	04314914-n	step.n.04	04359589-n	03105810-n	support.n.10	corbel_step.n.01	1	1	2610
1161	THREAD	thread	n	04426788-n	thread.n.01	03106110-n	03115301-n;03175843-n;03367545-n;03644698-n;03665083-n;03751977-n;03936045-n;04026304-n;04367205-n;04440059-n;04551950-n;04598965-n;04605321-n	cord.n.01	cotton.n.04;dental_floss.n.01;floss.n.01;lastex.n.01;ligature.n.04;metallic.n.02;pile.n.07;purl.n.01;suture.n.03;tinsel.n.02;warp.n.04;woof.n.01;worsted.n.02	1	13	2647
1162	INTENTION	intention	n	00163233-n	intention.n.03	00163047-n		volition.n.02		1	0	146
117	IMITATE	imitate	v	01742886-v	imitate.v.01	01736822-v	02675701-v;00150776-v;01743531-v;00849332-v;01743784-v;01744450-v;01743313-v	reproduce.v.01	emulate.v.01;follow.v.07;mimic.v.01;mock.v.02;model.v.01;take_after.v.02;take_off.v.05	1	7	1373
1171	MIRROR	mirror	n	03773035-n	mirror.n.01	04069276-n	02965783-n;03015851-n;03485198-n;03688832-n;03934311-n;04273433-n	reflector.n.01	car_mirror.n.01;cheval_glass.n.01;hand_glass.n.01;looking_glass.n.01;pier_glass.n.01;speculum.n.01	1	6	2451
1172	SHOOT	shoot	v	00357332-v	shoot.v.19	00231557-v		grow.v.03		1	0	288
1173	EYEBROW	brow	n	05602548-n	brow.n.01	05601758-n		feature.n.02		1	0	2957
