ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SEMANTIC_CLASS_ID	CATEGORY	TARGET_CONCEPTS	LINKED_CONCEPTS
Urban-2011-160-93	93	667	ROAD	road/street/way	II	Artifacts	"[{""ID"": ""Urban-2011-160-38"", ""NAME"": ""Milky Way"", ""OvertMarking"": 15, ""IndoAryanShift"": 0, ""ShiftID"": 40}]"	"[{""ID"": ""Urban-2011-160-38"", ""NAME"": ""Milky Way"", ""Polysemy"": 2, ""ShiftID"": 40}]"
Urban-2011-160-94	94	1775	TABLE	table	II	Artifacts	[]	[]
Urban-2011-160-95	95	219	TOILET	toilet	II	Artifacts	[]	[]
Urban-2011-160-96	96	900	TRAIN	train	II	Artifacts	[]	"[{""ID"": ""Urban-2011-160-78"", ""NAME"": ""car"", ""Polysemy"": 3, ""ShiftID"": 26}]"
Urban-2011-160-97	97	951	WEAPONS	weapon	II	Artifacts	[]	[]
Urban-2011-160-98	98	1375	WINDOW	window	II	Artifacts	[]	[]
Urban-2011-160-99	99	802	ADAM'S APPLE	Adam's apple	III	Body Parts and Body Fluids	[]	[]
Urban-2011-160-100	100	803	ANKLE	ankle	III	Body Parts and Body Fluids	[]	[]
Urban-2011-160-101	101	678	BEARD	beard	III	Body Parts and Body Fluids	[]	[]
Urban-2011-160-102	102	2114	BELLY OR STOMACH	belly/stomach	III	Body Parts and Body Fluids	"[{""ID"": ""Urban-2011-160-148"", ""NAME"": ""womb"", ""OvertMarking"": 6, ""IndoAryanShift"": 1, ""ShiftID"": 22}, {""ID"": ""Urban-2011-160-127"", ""NAME"": ""navel"", ""OvertMarking"": 3, ""IndoAryanShift"": 0, ""ShiftID"": 31}]"	"[{""ID"": ""Urban-2011-160-148"", ""NAME"": ""womb"", ""Polysemy"": 11, ""ShiftID"": 22}, {""ID"": ""Urban-2011-160-127"", ""NAME"": ""navel"", ""Polysemy"": 2, ""ShiftID"": 31}, {""ID"": ""Urban-2011-160-119"", ""NAME"": ""heart"", ""Polysemy"": 7, ""ShiftID"": 23}]"
Urban-2011-160-103	103	1746	BLADDER	bladder	III	Body Parts and Body Fluids	[]	[]
Urban-2011-160-104	104	946	BLOOD	blood	III	Body Parts and Body Fluids	[]	[]
Urban-2011-160-105	105	1394	BONE	bone	III	Body Parts and Body Fluids	"[{""ID"": ""Urban-2011-160-32"", ""NAME"": ""horn"", ""OvertMarking"": 2, ""IndoAryanShift"": 0, ""ShiftID"": 18}]"	"[{""ID"": ""Urban-2011-160-32"", ""NAME"": ""horn"", ""Polysemy"": 2, ""ShiftID"": 18}]"
Urban-2011-160-106	106	1583	BRAIN	brain	III	Body Parts and Body Fluids	[]	[]
Urban-2011-160-107	107	1402	BREAST	breast	III	Body Parts and Body Fluids	"[{""ID"": ""Urban-2011-160-37"", ""NAME"": ""milk"", ""OvertMarking"": 30, ""IndoAryanShift"": 1, ""ShiftID"": 20}]"	"[{""ID"": ""Urban-2011-160-37"", ""NAME"": ""milk"", ""Polysemy"": 43, ""ShiftID"": 20}]"
Urban-2011-160-108	108	834	BUTTOCKS	buttocks	III	Body Parts and Body Fluids	[]	"[{""ID"": ""Urban-2011-160-110"", ""NAME"": ""cheek"", ""Polysemy"": 2, ""ShiftID"": 32}]"
Urban-2011-160-109	109	498	CALF OF LEG	calf	III	Body Parts and Body Fluids	[]	[]
