CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	CONCRETENESS_MEAN	CONCRETENESS_SD	DUNNO	FREQUENCY_SUBTITLE	POS	LINE_IN_SOURCE
214	STRETCH	stretch	3.62	1.37	0	748	Verb	24452
2411	HURT (SOMEBODY)	hurt	3.61	1.5	0	12564	Verb	24460
976	WEAR	wear	3.61	1.4	0	5576	Verb	24470
3685	HISS	hiss	3.6	1.38	0	47	Verb	24476
573	SWAY	sway	3.6	1.48	0	129	Verb	24480
1506	MEASURE	measure	3.59	1.18	0	537	Verb	24500
1420	COUNT	counting	3.57	1.32	0	1095	Verb	24536
372	POINTED	pointed	3.57	1.37	0	387	Verb	24544
575	TREAD	tread	3.57	1.4	1	116	Verb	24552
724	READ	read	3.56	1.45	0	12302	Verb	24564
355	CUT DOWN	fell	3.55	1.3	0	3723	Verb	24577
3705	SCATTER	scatter	3.55	1.21	0	124	Verb	24585
3078	IRRIGATE	irrigate	3.53	1.41	0	31	Verb	24614
3058	GRAZE	graze	3.52	1.39	0	39	Verb	24632
2243	REPAIR	mend	3.5	1.26	1	133	Verb	24666
28	MOISTEN	moisten	3.48	1.5	0	4	Verb	24699
2073	ROB (VERB)	rob	3.48	1.31	1	1188	Verb	24708
1086	WORK (ACTIVITY)	work	3.48	1.5	0	40699	Verb	24717
127	EXTINGUISH	extinguish	3.47	1.33	0	43	Verb	24720
3700	LENGTHEN	lengthen	3.47	1.36	0	12	Verb	24723
1608	LISTEN	listen	3.47	1.38	0	27784	Verb	24724
681	DESTROY	demolish	3.46	1.48	0	27	Verb	24728
838	REMAINS	remains	3.46	1.45	0	890	Verb	24743
1421	SUCK	suck	3.46	1.3	0	1779	Verb	24752
3174	WAKE UP (SOMEONE)	awaken	3.45	1.18	0	125	Verb	24757
1163	BRIBE (AMOUNT)	bribe	3.44	1.33	0	308	Verb	24778
3117	HITCHHIKE	hitchhike	3.44	1.22	0	48	Verb	24785
1588	TURN	turn	3.44	1.42	0	15630	Verb	24796
2808	BLACKEN	blacken	3.43	1.2	1	20	Verb	24798
3551	FETCH	fetch	3.42	1.36	0	559	Verb	24835
1108	UNCOVER	uncover	3.42	1.42	0	98	Verb	24846
160	SET (HEAVENLY BODIES)	set	3.41	1.5	0	11805	Verb	24866
1739	DECORATE	decorate	3.4	1.35	0	118	Verb	24880
1046	SHUT	shut	3.38	1.66	0	13455	Verb	24916
589	CLOSED	closed	3.37	1.5	0	2758	Verb	24935
304	PREACH	preach	3.37	1.4	0	122	Verb	24944
1532	SHEAR	shear	3.37	1.36	2	21	Verb	24947
1869	BUY	buy	3.35	1.23	0	9814	Verb	24981
1571	SELL	sell	3.35	1.38	1	4705	Verb	24988
1615	ESCAPE	escape	3.34	1.17	0	2258	Verb	24997
1501	BORE	perforate	3.33	1.52	2	9	Verb	25023
2006	FILL	fill	3.32	1.25	0	2241	Verb	25039
9	ANNOUNCE	announce	3.31	1.37	0	498	Verb	25061
2886	PRODUCE	produce	3.31	1.26	0	564	Verb	25078
179	RIPEN	ripen	3.31	1.26	0	14	Verb	25079
2893	NOTICE (SOMETHING)	notice	3.3	1.56	0	3022	Verb	25107
246	THRUST	thrust	3.29	1.41	0	197	Verb	25140
494	FLIRT	flirt	3.26	1.26	0	200	Verb	25177
1085	FOLLOW	follow	3.26	1.35	0	6283	Verb	25178
765	MOVE	move	3.25	1.43	1	21325	Verb	25208
1933	LOOSEN	loosen	3.24	1.57	0	282	Verb	25219
1413	PLAY	play	3.24	1.3	0	18081	Verb	25223
1095	LET GO OR SET FREE	release	3.24	1.5	0	1851	Verb	25224
79	WASTE	waste	3.24	1.46	0	2716	Verb	25228
1387	ARRIVE	arrive	3.22	1.58	0	953	Verb	25246
1090	BE BORN	born	3.22	1.22	0	4268	Verb	25248
2865	DIE (FROM ACCIDENT)	perish	3.22	1.55	0	132	Verb	25257
2486	HIDE	hide	3.21	1.4	0	3554	Verb	25273
1156	OPEN	open	3.21	1.75	0	16341	Verb	25279
24	PRAY	pray	3.21	1.5	0	1847	Verb	25282
1409	SEE	see	3.21	1.57	0	130393	Verb	25290
3075	SLANTED	slanting	3.2	1.52	0	8	Verb	25318
602	HIDE (CONCEAL)	conceal	3.19	1.57	0	129	Verb	25324
2014	GO DOWN (DESCEND)	go down	3.5	1.36	2	0	#N/A	31898
2503	LAUNDER	launder	3.18	1.16	1	34	Verb	25362
2008	RESCUE	rescue	3.17	1.17	0	1296	Verb	25389
695	GO	going	2.69	1.39	0	108288	Verb	26446
709	TEACH	teach	3.15	1.17	0	3715	Verb	25420
1541	CULTIVATE	cultivate	3.14	1.3	1	48	Verb	25434
1076	EMERGE (APPEAR)	appear	3.13	1.41	0	1192	Verb	25460
549	COPULATE	copulate	3.13	1.72	0	13	Verb	25462
749	ENTER	enter	3.12	1.21	0	1516	Verb	25475
3213	HIRE OR RENT	hire	3.11	1.52	0	1302	Verb	25495
1411	LIE (REST)	lie	3.11	1.42	0	6133	Verb	25496
3670	PLUNDER	plunder	3.11	1.4	0	43	Verb	25499
1823	BORROW	borrow	3.1	1.23	0	1495	Verb	25517
550	DILUTE	dilute	3.1	1.42	0	19	Verb	25522
1542	ACCOMPANY	accompany	3.07	1.3	0	242	Verb	25565
1264	CHANGE	alter	3.07	1.44	0	244	Verb	25566
1494	DIE	pass away	2.61	1.42	1	0	#N/A	34315
252	FRIGHTEN	frighten	3.07	1.28	0	324	Verb	25582
582	LEND	lend	3.07	1.56	0	595	Verb	25593
299	SCOLD	scold	3.07	1.44	0	67	Verb	25606
1749	TAKE	take	3.06	1.44	0	96443	Verb	25626
2883	DISTURB	disturb	3.04	1.4	0	566	Verb	25639
325	FELT	felt	3.04	1.34	0	6111	Verb	25646
49	REFUSE	refuse	3.04	1.4	0	1070	Verb	25666
479	GROW	grow	3.03	1.54	0	3034	Verb	25697
203	MARRY	marry	3.03	1.5	0	5322	Verb	25700
2882	ADD	add	3	1.51	0	1686	Verb	25716
1611	INVITE	invite	3	1.28	0	1509	Verb	25752
3619	LEAN	lean	3	1.33	0	529	Verb	25753
1831	MEET	meet	3	1.39	0	17966	Verb	25756
694	GET	obtain	3	1.54	0	190	Verb	25759
3121	OPERATE (MEDICINE)	operate	3	1.28	0	682	Verb	25760
2412	THANK (SOMBEODY)	thank	3	1.6	0	56877	Verb	25801
581	COME BACK	return	2.97	1.48	0	4676	Verb	25823
1458	SAY	said	2.97	1.59	0	56531	Verb	25824
370	BARTER	barter	2.96	1.26	2	46	Verb	25835
3534	BEG	beg	2.96	1.32	0	2600	Verb	25836
782	DEFEAT	defeat	2.96	1.5	0	580	Verb	25849
3552	GREET	greet	2.96	1.37	0	268	Verb	25855
1819	LOOK	look	2.96	1.53	1	99311	Verb	25862
2877	RUSTLE (OF LEAVES)	rustle	2.96	1.29	0	58	Verb	25878
884	SHARE	share	2.96	1.32	0	3545	Verb	25884
1602	WAKE UP	waken	2.95	1.4	2	20	Verb	25906
880	REPEAT	repeat	2.9	1.4	0	1684	Verb	25999
1711	TELL	tell	2.9	1.4	0	87949	Verb	26003
1275	ANSWER	answer	2.89	1.45	0	8986	Verb	26006
1766	FINISH	finish	2.89	1.31	0	5045	Verb	26017
2862	CONNECT	connect	2.88	1.3	0	492	Verb	26040
196	DONATE	donate	2.88	1.42	0	203	Verb	26043
485	DISAPPEAR	disappear	2.86	1.53	0	1069	Verb	26078
1119	DIVIDE	divide	2.86	1.36	0	298	Verb	26080
1743	JOIN	unite	2.58	1.33	2	154	Verb	26719
2900	PROTECT	protect	2.86	1.11	0	3583	Verb	26092
258	CALM	calm	2.83	1.47	0	4541	Verb	26161
1447	GIVE	gave	2.38	1.52	0	12428	Verb	27186
92	SPOIL (SOMEBODY OR SOMETHING)	spoil	2.82	1.49	0	593	Verb	26201
3274	ENCIRCLE	surround	2.81	1.42	0	156	Verb	26229
1568	ARRANGE	arrange	2.79	1.35	0	791	Verb	26240
3204	INSULT	insult	2.79	1.29	0	639	Verb	26252
554	HINDER	hinder	2.78	1.5	1	37	Verb	26278
2072	USE (VERB)	use	2.78	1.37	0	17536	Verb	26285
3302	QUARREL (VERB)	argue	2.75	1.27	0	1007	Verb	26335
7	GATHER	gather	2.75	1.42	0	799	Verb	26338
2867	CALCULATE	calculate	2.74	1.35	0	106	Verb	26345
402	SURPASS	surpass	2.73	1.55	0	18	Verb	26370
1446	COME	comes	2.27	1.19	2	11656	Verb	27437
1951	PASS	pass	2.71	1.24	0	5514	Verb	26408
3447	BEGIN OR START	start	2.71	1.18	0	17345	Verb	26413
1127	SEND	send	2.7	1.23	0	9169	Verb	26428
2906	TRANSLATE	translate	2.69	1.63	0	246	Verb	26457
391	BLESS	bless	2.68	1.39	0	1788	Verb	26459
