CONCEPTICON_ID	CONCEPTICON_GLOSS	ITALIAN	ITALIAN_VALENCE_MEAN	ITALIAN_AROUSAL_MEAN	ITALIAN_DOMINANCE_MEAN	ITALIAN_FAMILIARITY_MEAN	ITALIAN_IMAGEABILITY_MEAN	ITALIAN_CONCRETENESS_MEAN	ITALIAN_HEAD_ACTION_MEAN	ITALIAN_FOOT_LEG_ACTION_MEAN	ITALIAN_HAND_ARM_ACTION_MEAN	ITALIAN_MOUTH_THROAT_ACTION_MEAN	ITALIAN_TORSO_ACTION_MEAN	ITALIAN_INTEROCEPTIVE_MEAN	ITALIAN_GUSTATORY_MEAN	ITALIAN_OLFACTORY_MEAN	ITALIAN_HAPTIC_MEAN	ITALIAN_AUDITORY_MEAN	ITALIAN_VISUAL_MEAN	ITALIAN_PERCEPTUAL_STRENGTH_MAX	ITALIAN_PERCEPTUAL_EXCLUSIVITY	ITALIAN_PERCEPTUAL_DOMINANT	ITALIAN_ACTION_STRENGTH_MAX	ITALIAN_ACTION_EXCLUSIVITY	ITALIAN_ACTION_DOMINANT	ITALIAN_SENSORIMOTOR_STRENGTH_MAX	ITALIAN_SENSORIMOTOR_EXCLUSIVITY	ITALIAN_SENSORIMOTOR_DOMINANT	ITALIAN_POS	LINE_IN_SOURCE
3104	THERMOMETER	termometro	3.6666666666666665	4.878787878787879	4.303030303030303	7.8	7.85	8.15	1.35	0.15789473684210525	3.7	1.4	1.35	1.35	0.15789473684210525	0	4.421052631578948	0.8	3.2	4.421052631578948	0.3895888777234229	touch	3.7	0.4451058201058201	hand/arm	3.7	0.247167868177137	touch	n	872
3105	UMBRELLA	ombrello	4.352941176470588	4.970588235294118	4.647058823529412	8.1	8.1	8.4	2.0454545454545454	0.6818181818181818	4.476190476190476	0.047619047619047616	0.47619047619047616	0.14285714285714285	0	1	3.727272727272727	2.1363636363636362	3.5	3.727272727272727	0.3206106870229008	touch	4.476190476190476	0.5731092436974791	hand/arm	4.476190476190476	0.2454890788224122	hand/arm	n	580
3106	WARDROBE	armadio	6.083333333333333	4.555555555555555	5.027777777777778	7.9	7.95	8.3	0.7619047619047619	0.6190476190476191	3.5714285714285716	0	0.3	0.14285714285714285	0	1.2857142857142858	3.9047619047619047	0.75	3.9523809523809526	3.9523809523809526	0.3692992213570634	vision	3.5714285714285716	0.6799637352674525	hand/arm	3.5714285714285716	0.2585267092353216	vision	n	50
3122	PAINT (SOMETHING)	pitturare	7	4.333333333333333	6.212121212121212	5.8	7.65	6.7	1.5	0.95	4.45	0.15789473684210525	0.85	1.4	0.10526315789473684	1.7	3.8	0.3684210526315789	4.7	4.7	0.39190403544335545	vision	4.45	0.5427620632279534	hand/arm	4.45	0.22994863690241013	vision	v	652
3140	VEST	canottiera	5.666666666666667	4.484848484848484	5.03030303030303	7.15	7.5	7.75	0.47368421052631576	0.10526315789473684	2.65	0.2	4.4	0.5789473684210527	0.1	1	3.4	0.21052631578947367	2.9	3.4	0.34313899076767423	touch	4.4	0.5485714285714285	torso	4.4	0.26844093970757354	torso	n	136
3160	SLAP	schiaffo	2.727272727272727	6.515151515151516	4.696969696969697	5.6	7.9	7.6	3.142857142857143	0	4.714285714285714	0.5714285714285714	0.5714285714285714	2.238095238095238	0	0	4.523809523809524	3.6666666666666665	3.2857142857142856	4.523809523809524	0.30063291139240506	touch	4.714285714285714	0.5238095238095238	hand/arm	4.714285714285714	0.2075471698113208	hand/arm	n	764
319	LICK	leccare	5.809523809523809	6.476190476190476	5.809523809523809	5.714285714285714	8.142857142857142	8.047619047619047	0.8	0.1	0.15789473684210525	4.75	0.15789473684210525	1.6	4.7368421052631575	1.75	2.7	1.15	2.35	4.7368421052631575	0.2861122044264131	taste	4.75	0.7794441993824439	mouth/throat	4.75	0.22959979209979212	mouth/throat	v	466
3202	CANNON	cannone	4.333333333333333	5.757575757575758	4	5.35	8.1	7.75	1.25	0.42105263157894735	2	0.8	0.8	0.55	0	1.1	2.35	3.5	3.75	3.75	0.3094302554027505	vision	2	0.29955067398901647	hand/arm	2	0.2269831156419242	vision	n	135
3204	INSULT	insulto	3.0285714285714285	6.628571428571429	4.771428571428571	6.5	7.2	5.1	2.8095238095238093	0.23809523809523808	0.9523809523809523	3.380952380952381	0.25	3.761904761904762	0.15	0	0.1	3.6666666666666665	2.142857142857143	3.761904761904762	0.3059051306873185	interoception	3.380952380952381	0.4118564742589703	mouth/throat	3.380952380952381	0.2155525238744884	interoception	n	435
3284	GRAVEYARD	cimitero	2.2903225806451615	5.645161290322581	3.2580645161290325	6.55	7.6	7.4	2.4	1.45	0.9	0.3	0.85	2.95	0	2.05	0.5263157894736842	1.2	3.65	3.65	0.32171732791375807	vision	2.4	0.35593220338983056	head	2.4	0.22425222312045273	vision	n	179
