CONCEPTICON_ID	CONCEPTICON_GLOSS	FRENCH	FRENCH_RT_MEAN	FRENCH_RT_ZSCORE	LINE_IN_SOURCE
2909	PREPARE	préparer	618.304347826087	-0.535649276580445	27920
291	PULL OFF (SKIN)	écorcher	778.217391304348	-0.0819624157564757	12353
292	RUG	tapis	576.08	-0.855049120176009	35360
293	NETBAG	filet	710.36	-0.148069182519676	16100
2931	BUSINESS	commerce	566.16	-0.93090348004285	7057
2935	CURRENT (STREAM)	courant	621.521739130435	-0.693516960980471	8488
2937	FAIRY TALE	conte	671.0	-0.186247372918524	7924
2941	HAPPINESS	bonheur	645.833333333333	-0.593890968652206	4278
2946	CRADLE	berceau	580.4	-0.71042799524151	3900
2953	SLEEVE	manche	647.958333333333	-0.450702922305385	22167
2954	SLICE	trancher	645.76	-0.607547689119093	36396
2964	NEWS	nouvelle	662.782608695652	-0.560992619820988	24445
297	CROOKED	courbé	620.708333333333	-0.475648235950733	8497
2972	SLEEP (STATE)	sommeil	562.076923076923	-0.87934148802781	33912
2978	DISTANCE	distance	614.826086956522	-0.543781186930665	11589
298	SHRIEK	hurler	639.44	-0.514112220626078	18893
2982	GIFT	présent	580.166666666667	-0.828811113753236	27950
2984	HEAP	tas	630.5	-0.412190297210462	35414
2991	SKI	ski	543.64	-0.759895116369594	33781
2996	WEALTH	fortune	706.708333333333	-0.274458882438503	16604
2999	EVERYWHERE	partout	670.44	-0.365724640169084	25737
3	BRAVE	courageux	607.458333333333	-0.679744295894264	8483
300	RATTLE	hochet	768.136363636364	-0.0466873351274743	18714
3003	SOLID	solide	615.92	-0.6714057987703	33874
301	CHIEFTAIN	chef	674.472222222222	-0.351596740556131	6163
302	CLAN	clan	622.88	-0.328121742536295	6592
3028	GRAVEL	gravier	678.739130434783	-0.283569722821048	17988
304	PREACH	prêcher	727.04347826087	0.0372817656460369	27736
3053	TIGHT	serré	652.217391304348	-0.460548476322992	33487
3064	RUST	rouille	698.666666666667	-0.244392347801357	32468
3065	SADDLE	selle	689.904761904762	-0.152003031508298	33286
3066	SCARF OR TURBAN	écharpe	620.521739130435	-0.530906873882387	12205
307	HAWK	faucon	692.0	-0.269185583937756	15746
3083	BALLOON	ballon	586.125	-0.688354812334005	3506
3085	CARROT	carotte	610.125	-0.70926077950421	5480
3088	ENVELOPE	enveloppe	675.25	-0.461003437595312	14061
3089	GIRAFFE	girafe	612.25	-0.74972399974814	17632
3090	GUITAR	guitare	683.083333333333	-0.38162590946399	18293
3091	LEMON	citron	638.727272727273	-0.476359061960482	6553
3092	LIGHTER	briquet	683.833333333333	-0.323450226705555	4778
3094	PAINTBRUSH	pinceau	629.916666666667	-0.415698228613786	26762
3096	RACKET	raquette	737.08	-0.0440165855034702	29434
3099	SOFA	canapé	715.787234042553	-0.187024820777015	5288
31	PAN	casserole	632.608695652174	-0.438206509534527	5567
3101	SWING	balançoire	685.565217391304	-0.19704764394759	3464
3104	THERMOMETER	thermomètre	741.434782608696	0.00508771609722712	35815
3105	UMBRELLA	parapluie	742.916666666667	0.0423565347764242	25490
3107	WHISTLE (INSTRUMENT)	sifflet	703.608695652174	-0.158723957716773	33629
3116	HATCH (OUT)	éclore	703.5	-0.0767287052833986	12314
3137	OAR	rame	686.304347826087	-0.319066914532702	29273
3138	STRAWBERRY	fraise	615.36	-0.748410927163077	16784
3139	LADYBUG	coccinelle	676.25	-0.152474225632627	6752
3140	VEST	gilet	593.75	-0.52106408234503	17628
3144	GORILLA	gorille	698.434782608696	-0.262948804058015	17804
3171	RINGWORM	teigne	724.764705882353	-0.0745326248282706	35479
3187	DROWNED	noyé	613.583333333333	-0.63340027149987	24457
319	LICK	lécher	667.833333333333	-0.51539139875876	21337
320	LAME	boiteux	676.625	-0.425543709429544	4232
3202	CANNON	canon	609.291666666667	-0.699115830757213	5328
3204	INSULT	insulter	608.04	-0.55632781608752	20187
3206	ELF OR FAIRY	fée	616.16	-0.691077201263825	15809
