CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	VALENCE_LANGUAGE_OMEGAWIKI_NRCVAD	AROUSAL_LANGUAGE_OMEGAWIKI_NRCVAD	DOMINANCE_LANGUAGE_OMEGAWIKI_NRCVAD	VALENCE_LANGUAGE_FAMILY_OMEGAWIKI_NRCVAD	AROUSAL_LANGUAGE_FAMILY_OMEGAWIKI_NRCVAD	DOMINANCE_LANGUAGE_FAMILY_OMEGAWIKI_NRCVAD	VALENCE_MEAN_OMEGAWIKI_NRCVAD	AROUSAL_MEAN_OMEGAWIKI_NRCVAD	DOMINANCE_MEAN_OMEGAWIKI_NRCVAD	LINE_IN_SOURCE
1242	FEW	few	0.426971871589226	0.309979578905527	0.224985178237882	0.426991532652711	0.309993852745528	0.224995538283045	0.426998950390975	0.309999237988764	0.224999446927329	705
1243	WIDE	wide	0.797	0.359870967741935	0.574548387096774	0.793444444444444	0.359111111111111	0.571222222222222	0.738333333333333	0.347333333333333	0.519666666666667	4967
1246	SMALL	little	0.426971871589226	0.309979578905527	0.224985178237882	0.426991532652711	0.309993852745528	0.224995538283045	0.426998950390975	0.309999237988764	0.224999446927329	4995
1248	EYE	eye	0.46	0.402	0.333	0.46	0.402	0.333	0.46	0.402	0.333	4996
125	SWEAT (SUBSTANCE)	sweat	0.386394594594595	0.626091891891892	0.400281081081081	0.386747058823529	0.615752941176471	0.377605882352941	0.386392857142857	0.626142857142857	0.400392857142857	3571
1251	BELLY	abdomen	0.398503205128205	0.405121794871795	0.432916666666667	0.408130590339892	0.407237924865831	0.432515205724507	0.44106862745079	0.411901960784128	0.428588235293924	713
1252	HOUSE	house	0.76427027027027	0.410108108108108	0.598189189189189	0.737	0.430357142857143	0.608285714285714	0.717454545454545	0.452818181818182	0.625545454545455	241
1254	HANDLE	handle	0.612	0.353	0.375	0.612	0.353	0.375	0.612	0.353	0.375	1633
1256	HEAD	head	0.620739130434783	0.496739130434783	0.799608695652174	0.610875	0.486625	0.775875	0.610875	0.486625	0.775875	3618
1257	WING	wing	0.675857142857143	0.655571428571429	0.606428571428571	0.564	0.5446	0.5386	0.563666666666667	0.496333333333333	0.513666666666667	6134
1258	FINGERNAIL	fingernail	0.439133333333333	0.406733333333333	0.275733333333333	0.441	0.406125	0.276125	0.413	0.41525	0.27025	715
1259	WEDDING	wedding	0.844	0.684	0.75	0.844	0.684	0.75	0.844	0.684	0.75	6602
