CONCEPTICON_ID	CONCEPTICON_GLOSS	FRENCH	FRENCH_EMOTION_POLARITY	FRENCH_JOY_ASSOCIATION	FRENCH_FEAR_ASSOCIATION	FRENCH_SADNESS_ASSOCIATION	FRENCH_ANGER_ASSOCIATION	FRENCH_SURPRISE_ASSOCIATION	FRENCH_DISGUST_ASSOCIATION	LINE_IN_SOURCE
1592	CHEST	poitrine	positive	0	0	0	0	0	0	10550
1594	FLOUR	farine	positive	0	0	0	0	0	0	6516
1596	LOCK	serrure	positive	0	0	0	0	0	0	12519
1597	AIRPLANE	avion	positive	0	0	0	0	0	0	2599
1599	WORD	mot	positive	0	0	0	0	0	0	9288
16	SLED	luge	positive	1	0	0	0	0	0	8661
1600	SKIRT	jupe	positive	0	0	0	0	0	0	8312
1601	WEAK	faible	negative	0	0	1	1	0	1	6387
1602	WAKE UP	se réveiller	positive	0	0	0	0	0	0	12391
1607	HATE	haïr	negative	0	1	1	1	0	1	7324
