CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SINGAPORE_ENGLISH_FREQUENCY	SINGAPORE_ENGLISH_FREQUENCY_ZIPF	SINGAPORE_ENGLISH_CD	SINGAPORE_ENGLISH_CD_PERCENTAGE	LINE_IN_SOURCE
1308	DOUBT	doubt	523	4.22371243200752	387	0.0204837770602869	14059
1309	ASK (INQUIRE)	ask	24040	5.88533367347302	7821	0.413962843381146	2811
131	FESTIVAL	festival	239	3.8845923867354	141	0.00746308156460065	17482
1310	CLEVER	clever	116	3.57256700676995	69	0.00365214629757053	8813
1311	VERY	very	99057	6.50027070026994	12050	0.637802360662679	54033
1312	FOX	fox	85	3.43887959626736	45	0.00238183454189382	18503
1313	MOON	moon	201	3.80973251447042	113	0.00598105118297782	31685
1314	QUIET	quiet	1177	4.57552643547487	699	0.036997829884084	39517
1315	RADIO	radio	455	4.16334598768823	260	0.0137617106864976	39652
1316	TENT	tent	365	4.0678622304182	147	0.00778065950351982	49912
1318	CHICKEN	chicken	6327	5.30564761551341	1686	0.0892394008362886	8179
1319	COWARD	coward	8	2.45862365446312	7	0.000370507595405706	10771
132	SAUCE	sauce	1628	4.7163022293323	740	0.0391679458000318	43230
1320	APPLE	apple	2088	4.8243195850041	1060	0.0561054358757212	2326
1321	BOTTLE	bottle	1026	4.51595158862107	568	0.0300640448843487	5726
1322	BREAKFAST	breakfast	2361	4.87766103830129	1199	0.0634626581273487	5955
1323	CLOCK	clock	877	4.44787566092989	432	0.0228656116021807	8873
1324	SLIP	slip	316	4.00544040724154	246	0.0130206954956862	45872
1325	FRIEND	friend	12345	5.59590741765488	3630	0.192134653046102	18695
1326	DOWN	down	22802	5.86237313227588	8270	0.437728259143598	14087
1327	UNCLE	uncle	1360	4.63823927022713	588	0.0311226380140793	52567
1329	TOMORROW	tomorrow	2006	4.80692851751128	1046	0.0553644206849098	51000
133	WEAVE	weave	6	2.34947918503805	6	0.000317577938919176	54959
1330	DEFEND	defend	134	3.6347149135188	97	0.00513417667919335	12160
1331	SHEEP	sheep	919	4.46816897236935	255	0.013497062404065	44661
1332	NEIGHBOUR	neighbor	113	3.56128599636026	79	0.00418144286243582	32853
1333	NECK	neck	264	3.9276270189606	175	0.00926268988514265	32767
1334	GUTS	guts	67	3.33689005773003	55	0.00291113110675912	20714
1335	WHITE	white	7474	5.37799234202026	1773	0.0938442809506166	55277
1336	EAT	eat	15271	5.6882770604094	2932	0.155189752818504	14695
1337	PIG	pig	412	4.12033119668019	186	0.00984491610649447	36813
1338	PEACE	peace	445	4.15371600373593	312	0.0165140528237972	35940
1339	MORNING	morning	4288	5.13673719126287	2760	0.146085851902821	31739
134	FAULT	fault	966	4.48980761910679	636	0.0336632615254327	17235
1340	WITH	with	121725	6.58976449606015	17538	0.928280315460753	55566
1342	SUMMER	summer	333	4.02812761183536	210	0.0111152278621712	48466
1343	SUN	sun	931	4.47379705737777	498	0.0263589689302916	48482
1344	RAM	ram	63	3.31056111900768	42	0.00222304557243423	39776
1345	EWE	ewe	2	1.98150239974345	2	0.000105859312973059	16349
1346	THROAT	throat	143	3.66274363711904	102	0.005398824961626	50529
1347	NAPE (OF NECK)	nape	1	1.80541114068777	1	0.0000529296564865294	32534
1348	BOAR (MALE PIG)	boar	23	2.8845923867354	14	0.000741015190811412	5384
1349	CHURCH	church	542	4.23918097461264	236	0.0124913989308209	8497
135	BOOMERANG	boomerang	21	2.846803825846	14	0.000741015190811412	5613
1350	MONKEY	monkey	206	3.82035149048071	114	0.00603398083946435	31607
1352	KNIFE	knife	269	3.93574490918278	169	0.00894511194622347	26914
1353	HOUR	hour	5174	5.21829149915275	2347	0.124225903773885	22498
1354	NEXT	next	24943	5.90134724286856	7616	0.403112263801408	33045
1355	LAUGH	laugh	1537	4.6913374804892	735	0.0389032975175991	27610
1356	NUMBER	number	20680	5.81995267963825	10221	0.540994018948817	33628
1357	DAUGHTER	daughter	1966	4.79818550494313	860	0.0455195045784153	11795
1358	ENEMY	enemy	140	3.65360025767917	84	0.00444609114486847	15555
1359	SEPARATE	separate	1570	4.70055733006377	1182	0.0625628539670778	44153
136	HERE	here	13011	5.61872519963361	5268	0.278833430371037	21813
1360	DUCK	duck	711	4.35686113866065	292	0.0154554596940666	14408
1361	TOOL	tool	256	3.91431426835509	144	0.00762187053406023	51048
1362	STREET	street	1031	4.51806084231499	709	0.0375271264489493	47910
1363	VOICE	voice	1250	4.60163845471721	667	0.0353040808765151	54412
1364	HEALTHY	healthy	1510	4.68364560936282	887	0.0469486053035516	21561
1365	KITCHEN	kitchen	1063	4.53132277298282	639	0.0338220504948923	26846
1366	BOY	boy	2947	4.97390862421081	913	0.0483247763722014	5801
1367	CROSS	cross	1033	4.51890168378172	542	0.0286878738156989	11117
1368	BREAD	bread	1168	4.57219565618563	530	0.0280527179378606	5930
1369	GOLD	gold	1367	4.64046724240789	697	0.036891970571111	19946
137	COCA	coca	85	3.43887959626736	65	0.00344042767162441	9042
1370	MONTH	month	18038	5.76059360358895	6932	0.366908378764622	31660
1371	KNEE	knee	256	3.91431426835509	161	0.00852167469433123	26903
1372	MEDICINE	medicine	533	4.23192240205235	338	0.0178902238924469	30281
1373	TEA	tea	2987	4.97976173816715	1094	0.0579050441962632	49608
