CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_OCCURRENCES_TOTAL	ENGLISH_OCCURRENCES_NUM	ENGLISH_AOA_MEAN	ENGLISH_DUNNO	LINE_IN_SOURCE
1390	WRONG	wrong	18	18	4.22	1	30971
1391	TOWN	town	19	19	5.11	1	27942
1392	LOUSE	louse	20	19	10.26	0.95	16096
1393	HORN (ANATOMY)	horn	19	19	4.84	1	13083
1394	BONE	bone	19	19	5.53	1	2997
1395	ROUND	round	20	20	4.75	1	23485
1396	SHARP	sharp	19	19	6.11	1	24503
1398	DRY	dry	19	19	4.11	1	8439
1399	CLAY	clay	19	19	5.32	1	4844
14	YOKE	yoke	20	16	7.94	0.8	31045
140	PADDY FIELD	paddy	21	16	11.688758	0.7619047619047619	19342
1400	THIN (SLIM)	skinny	19	19	5.16	1	24947
1401	DRINK	drink	19	19	3.47	1	8385
1402	BREAST	breast	20	20	6.6	1	3261
1403	BITE	bite	19	19	3.58	1	2686
1404	STRAIGHT	straight	20	20	6.797195	1	26218
1405	NAME	name	19	19	3.68	1	17896
1406	FAR	far	22	22	4.878935	1	9968
1407	BREATHE	breathe	19	19	4.11	1	3271
1408	HEAR	hear	20	20	3.8	1	12607
1409	SEE	see	18	18	3.06	1	24219
1411	LIE (REST)	lie	20	20	3.75	1	15738
1412	RUDE	rude	19	19	7.11	1	23533
1413	PLAY	play	20	20	4.1	1	20504
1414	SQUEEZE	squeeze	19	19	5.42	1	25830
1416	SIT	sit	19	19	3.47	1	24893
1417	KILL	kill	20	20	6.35	1	15142
1418	DIG	dig	21	21	4.19	1	7570
1419	FEAR (BE AFRAID)	fear	19	19	4.79	1	10059
1420	COUNT	count	18	18	2.61	1	6073
1421	SUCK	suck	19	19	5.58	1	26525
1422	BE ALIVE	live	20	20	6.1	1	15916
1423	FIGHT	fight	19	19	5.47	1	10252
1424	YELLOW	yellow	20	20	3.2	1	31022
1425	GREEN	green	19	19	3.79	1	11983
1426	EXPENSIVE	expensive	18	18	6.33	1	9687
1427	BEAUTIFUL	beautiful	18	18	5.72	1	2290
1429	FULL	full	21	21	4.24	1	11124
143	HUMID	humid	18	18	8.56	1	13248
1430	STAR	star	19	19	3.89	1	25922
1431	FREEZE	freeze	19	19	4.89	1	10999
1432	CUT	cut	21	21	4.43	1	6625
1433	HIT	hit	20	20	4.75	1	12905
1434	STAB	stab	20	20	6.4	1	25850
1435	HUNT	hunt	18	18	6.06	1	13282
1436	SCRATCH	scratch	18	18	5.61	1	24042
1437	SPLIT	split	20	20	6.25	1	25712
1438	FOOL	fool	18	18	7.56	1	10697
1439	SWIM	swim	18	18	4.17	1	26873
144	MACHINE	machine	19	19	6.53	1	16246
1440	SPIT	spit	18	18	5.06	1	25687
1441	FLY (MOVE THROUGH AIR)	fly	19	19	3.05	1	10634
1442	STAND	stand	18	18	4.39	1	25903
1443	WALK	walk	20	20	3.45	1	30221
1446	COME	come	19	19	3.32	1	5217
1447	GIVE	give	18	18	4.28	1	11581
1448	HOLD	hold	18	18	4.67	1	12945
1449	RUB	rub	19	19	6	1	23514
145	SORROWFUL	sorrowful	19	19	10.11	1	25448
1450	ROOM	room	18	18	4.22	1	23437
1451	SMILE	smile	1930	1930	3.51	1	25150
1452	PUSH	push	19	19	4.26	1	21779
1453	WASH	wash	20	20	4	1	30296
1454	WIPE	wipe	18	18	4.83	1	30743
1455	PULL	pull	19	19	4.79	1	21682
1456	THROW	throw	21	21	4.14	1	27590
1457	SEW	sew	20	20	6.05	1	24434
1458	SAY	say	19	19	3.42	1	23850
1459	IF	if	20	20	5.3585	1	13512
146	SUGAR CANE	sugarcane	19	19	7.63	1	26554
1460	IN	in	21	21	3.6853510000000003	1	13787
1461	AT	at	22	21	4.037032	0.9545454545454546	1604
