CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_RT_MEAN	ENGLISH_RT_ZSCORE	ENGLISH_ACCURACY_PERCENTAGE	LINE_IN_SOURCE
569	SPOIL (BECOME SPOILED)	rot	596.702702702703	-0.330383862069193	0.973684210526316	47393
57	ATOP	upon	534.384615384615	-0.533306493742122	0.975	54115
571	STING	sting	569.1	-0.308078680406126	1.0	51134
573	SWAY	sway	577.111111111111	-0.360654456785929	0.947368421052632	51898
575	TREAD	tread	642.888888888889	-0.0576862315759027	0.973684210526316	53423
576	DANDRUFF	dandruff	667.351351351351	0.349344773160623	0.925	33180
578	KISS	kiss	504.307692307692	-0.822144931943585	1.0	40264
579	BATTLE	battle	544.027777777778	-0.527117311980064	1.0	28446
58	LIQUID	liquid	498.05	-0.762204390497887	1.0	41073
580	FUR	fur	547.756756756757	-0.579506151007802	0.973684210526316	36850
581	COME BACK	return	518.3	-0.687300858182503	1.0	47007
582	LEND	lend	567.162162162162	-0.473553089132302	0.925	40817
585	BOOT	jackboot	529.75	0.759368843498965	0.1	39774
586	GARDEN	garden	519.333333333333	-0.700936536282783	1.0	37039
587	ANT	ant	538.27027027027	-0.617834406908623	0.973684210526316	27666
588	BROKEN	broken	521.230769230769	-0.693179895334048	1.0	29903
589	CLOSED	closed	542.243243243243	-0.555164212634025	1.0	31567
590	NAKED	naked	560.21052631579	-0.526312471056862	1.0	42866
592	PISS	pee	532.027027027027	-0.618061274419435	0.925	44269
594	PIECE	piece	579.459459459459	-0.382663934851435	1.0	44578
595	GROUNDNUT (PEANUT)	groundnuts	960.133333333333	1.72528808131003	0.394736842105263	37946
596	POSTAGE STAMP	stamp	530.897435897436	-0.63841936107917	1.0	50871
597	PHYSICIAN	doctor	498.210526315789	-0.830479780204948	1.0	34002
598	SHELL	shell	510.625	-0.805623564881502	1.0	48768
6	EARTHQUAKE	earthquake	552.692307692308	-0.44962150569467	1.0	34690
60	OAT	oat	538.6	-0.578453460960538	1.0	43389
600	STRANGE	odd	518.111111111111	-0.753448276988278	0.947368421052632	43440
