ENGLISH	Sound mean	Sound n	Color mean	Color n	Manipulation mean	Manipulation n	Motion mean	Motion n	Emotion mean	Emotion n
tourist	3.33	12	1.42	12	1.17	12	4.09	11	0.50	12
tower	0.40	10	0.73	11	0.86	14	0.09	11	0.25	12
town	3.73	11	1.83	12	0.83	12	1.42	12	0.92	12
toy	2.81	42	2.78	45	4.05	43	1.74	39	2.93	41
tractor	4.58	12	2.55	11	3.14	14	3.33	12	-0.50	12
trailer	2.29	42	1.37	41	2.33	45	1.95	40	-1.38	42
train	5.21	43	2.70	43	2.21	43	4.23	39	0.05	40
trapeze	1.93	30	1.53	32	3.19	32	3.19	27	0.82	34
trash	1.73	11	2.42	12	2.27	11	0.58	12	-3.45	11
tray	1.33	12	1.08	12	2.54	13	0.82	11	0.00	12
treaty	0.44	32	0.29	31	2.39	28	0.56	27	2.45	31
tree	1.18	11	4.42	12	1.92	13	0.60	10	2.15	13
tribute	1.53	32	0.11	35	1.55	29	0.73	26	2.48	31
tricycle	1.53	32	2.86	29	3.96	28	3.20	25	1.35	31
trolley	3.10	10	3.54	13	2.31	13	3.36	11	0.75	12
trombone	5.39	28	3.70	30	4.23	31	1.96	28	1.04	28
trout	1.58	12	2.73	11	2.21	14	3.18	11	0.75	12
truce	0.81	31	0.06	33	2.40	30	0.58	26	2.83	30
truck	4.29	42	2.59	44	3.28	43	4.21	39	0.29	42
trumpet	5.25	40	3.58	43	4.00	44	1.83	36	0.66	41
trust	0.31	29	0.19	32	2.93	29	0.63	27	4.16	31
truth	0.72	29	0.28	32	2.90	30	0.31	29	4.24	29
tuba	5.23	31	3.07	30	4.27	30	1.38	26	1.31	32
tube	1.00	11	0.67	12	1.93	14	0.33	12	-0.33	12
tulip	0.16	44	5.25	44	1.85	41	0.67	39	3.02	42
tune	4.04	27	0.34	32	2.47	32	1.04	27	1.48	29
tunnel	2.15	13	1.25	12	1.50	12	1.00	13	-0.73	11
turnip	0.09	32	3.65	31	2.45	29	0.04	28	-0.17	30
turtle	0.98	42	4.58	43	1.36	42	1.55	38	1.36	39
twilight	0.86	42	4.46	46	0.37	43	1.00	38	2.49	45
tyranny	1.55	29	0.29	31	1.47	30	1.04	27	-3.72	32
umbrella	1.12	41	2.93	43	3.11	44	1.08	38	0.61	44
umpire	3.89	9	2.62	13	2.07	14	2.90	10	0.23	13
unanimity	0.66	29	0.06	33	1.07	30	0.62	26	-0.26	31
uncle	2.80	10	0.80	10	1.42	12	3.08	13	1.92	13
uniform	0.15	13	2.92	13	2.86	14	0.45	11	-0.15	13
universal	0.31	29	0.50	32	0.25	32	0.73	30	1.36	28
uproar	5.33	30	0.27	30	1.67	30	2.19	27	-1.11	28
vacuum	4.84	32	1.22	32	3.55	29	2.48	29	0.46	28
valley	1.45	11	2.00	11	0.46	13	0.43	14	2.00	12
van	3.65	43	2.07	41	3.62	45	3.57	37	0.19	43
vase	0.31	13	1.73	11	2.67	12	0.08	13	1.08	12
vault	1.58	12	0.55	11	1.67	12	0.18	11	0.85	13
vegetable	0.42	43	4.30	44	3.04	45	0.30	37	0.76	42
vehicle	4.09	45	2.58	40	4.25	44	4.20	40	1.48	42
velocity	2.19	32	0.30	33	2.10	31	4.48	29	0.93	29
velvet	0.00	12	2.64	11	1.92	12	0.09	11	1.82	11
verb	1.27	30	0.17	30	1.97	29	2.10	29	0.33	30
vest	0.08	12	2.00	11	2.64	14	0.10	10	0.00	12
vice	0.42	33	0.55	33	2.28	32	0.73	26	-1.77	31
vigilance	0.42	31	0.16	32	1.04	27	0.92	26	0.50	30
village	3.75	12	1.27	11	1.15	13	1.54	13	1.92	13
vim	0.39	31	0.16	31	0.94	32	0.60	30	0.00	30
vine	0.38	13	3.62	13	2.92	12	1.00	11	0.08	12
vinegar	0.40	10	1.33	12	1.85	13	0.75	12	-1.27	11
viola	4.74	35	2.43	35	3.97	31	1.40	30	1.93	29
violin	4.45	11	2.64	11	4.36	14	1.22	9	0.15	13
volcano	4.52	42	4.79	43	1.29	42	3.32	44	-1.24	41
vote	0.97	31	0.43	30	3.00	28	1.15	26	2.03	30
vow	1.42	31	0.28	32	2.39	33	0.93	27	2.81	31
wall	0.42	12	1.33	12	1.31	13	0.00	11	-0.42	12
wallet	0.55	11	1.82	11	2.77	13	0.92	13	1.83	12
walnut	0.64	11	3.31	13	2.00	14	0.29	14	0.25	12
walrus	2.08	13	3.08	12	1.54	13	2.92	12	0.67	12
war	5.26	42	1.85	46	3.32	44	4.42	36	-4.78	45
wasp	2.52	31	3.53	32	1.62	32	3.18	28	-3.75	32
water	2.98	45	3.84	45	2.27	40	2.37	38	3.12	42
watt	0.39	28	0.93	30	1.26	31	0.52	29	0.31	29
way	0.37	30	0.19	32	1.21	33	0.60	25	0.82	28
weakness	0.30	30	0.18	33	1.20	30	0.34	29	-3.09	34
weapon	3.55	31	1.77	30	4.18	28	2.15	26	-3.29	31
wee	1.52	31	0.53	32	0.67	30	1.00	32	1.07	29
weed	0.64	11	3.50	10	2.00	14	0.00	10	-2.69	13
whale	2.77	30	3.85	34	0.97	29	2.86	29	1.48	31
wheat	0.15	13	3.30	10	2.77	13	0.42	12	0.92	12
wheel	2.15	41	1.90	41	3.36	45	3.95	39	0.21	42
whine	4.00	30	0.45	33	1.68	28	0.92	26	-2.77	31
whip	4.00	13	0.92	12	3.77	13	2.75	12	-2.64	11
whiskey	1.00	10	2.58	12	3.17	12	0.80	10	-1.18	11
whisper	2.64	11	0.46	13	2.08	12	0.83	12	1.08	13
whistle	4.58	12	0.91	11	3.00	13	1.00	13	1.36	11
whole	0.31	29	0.33	33	0.88	32	0.30	27	1.06	31
whoop	4.50	32	0.48	31	1.31	29	1.37	27	0.61	33
wife	3.17	12	1.08	12	3.17	12	3.64	11	2.77	13
wig	0.11	46	3.53	43	3.05	44	0.40	40	-0.29	42
willow	0.56	9	2.00	12	1.46	13	1.10	10	2.00	12
win	2.40	30	0.59	32	2.58	33	1.19	27	3.97	31
window	1.46	13	1.27	11	2.69	13	0.46	13	1.45	11
wine	0.50	10	3.54	13	3.54	13	0.73	11	2.38	13
wing	1.25	44	1.65	43	1.88	42	3.42	40	0.74	42
winter	1.35	43	4.00	44	0.67	43	0.41	41	1.05	43
wire	0.62	13	1.00	11	3.31	13	0.58	12	-0.17	12
wisdom	1.27	30	0.41	32	1.40	30	0.34	29	4.38	29
wise	0.39	31	0.23	35	1.32	31	0.48	25	3.53	30
wit	0.97	32	0.84	31	1.63	30	0.28	25	2.57	30
witch	3.75	12	3.69	13	1.92	13	3.36	11	-2.75	12
wizard	2.40	10	2.77	13	1.42	12	2.67	12	2.09	11
woe	1.03	33	0.24	33	1.17	30	0.52	31	-2.97	31
wolf	3.78	9	3.64	11	1.71	14	4.18	11	0.46	13
wonder	0.68	31	0.41	32	1.67	30	0.35	26	2.50	30
wood	1.92	12	2.36	11	2.75	12	0.45	11	0.17	12
woof	5.07	29	0.35	31	1.17	29	1.39	28	1.46	28
wool	0.33	12	2.83	12	2.09	11	0.00	11	-0.64	11
worm	0.27	11	2.36	11	0.92	12	2.08	12	-2.08	12
worth	0.40	30	0.38	32	1.16	31	0.36	25	1.88	26
wrack	1.55	31	0.12	34	1.27	30	0.59	27	-0.55	31
wrapper	2.59	32	1.81	31	2.83	30	0.47	30	0.17	30
wreck	4.45	11	0.92	13	1.69	13	1.58	12	-3.25	12
xylophone	4.77	31	2.18	33	4.72	29	2.19	27	1.52	31
yacht	3.08	12	1.75	12	3.17	12	2.55	11	1.55	11
yam	0.03	31	3.59	32	2.00	29	0.18	28	0.12	32
yard	1.83	12	2.75	12	1.92	12	0.18	11	0.91	11
year	0.88	33	0.28	32	0.76	29	1.08	25	0.57	30
yelp	5.03	30	0.23	30	2.03	30	1.64	28	-2.28	32
yodel	5.06	32	0.15	33	3.17	29	1.35	26	-0.03	31
zeal	1.00	33	0.55	33	1.17	29	0.86	29	1.14	28
zebra	2.00	29	4.97	30	1.50	32	3.08	26	0.94	32
zen	0.19	31	0.70	33	1.45	29	0.39	28	1.52	29
zipper	3.21	42	1.93	42	3.77	40	2.45	38	0.31	45
zone	0.15	33	0.33	33	1.28	32	0.46	28	-0.13	30
zoo	4.39	41	2.74	43	1.51	45	2.84	38	2.36	39
zucchini	0.13	30	4.58	33	2.65	31	0.21	28	0.03	30
