CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	CROATIAN	CROATIAN_HAPPINESS_MEAN	CROATIAN_ANGER_MEAN	CROATIAN_SADNESS_MEAN	CROATIAN_FEAR_MEAN	CROATIAN_DISGUST_MEAN	LINE_IN_SOURCE
1375	WINDOW	window	prozor	2.45	1.1	1.15	1.04761904761905	1.04761904761905	1924
1378	SPOON	spoon	žlica	2.0952380952381	1	1.25	1.05	1.08695652173913	2981
1379	TELEPHONE	phone	telefon	2.42857142857143	1	1.15	1.05	1.08695652173913	2497
138	BATHE	bath	kupaonica	2.8	1.05	1.35	1.15	1.2	917
1380	TOOTH	tooth	zub	2.05	1.65	1.45	1.35	1.3	3008
1381	SHOE	shoe	cipela	2.6	1.05	1.05	1	1.3	227
1382	NEEDLE (FOR SEWING)	needle	igla	1.65	1.4	1.3	2.1	2	589
1383	GRANDFATHER	grandfather	djed	4.15	1.40909090909091	1.0952380952381	1.29166666666667	1	327
1386	LION	lion	lav	3.1	1.1	1.15	1.75	1.15	938
1388	SHADE	shadow	sjena	2.15	1.25	1.3	2.05	1.21052631578947	2210
1392	LOUSE	louse	uš	1.36363636363636	2.45	1.33333333333333	2.15	3.23809523809524	2691
1396	SHARP	sharp	oštar	1.61904761904762	1.95238095238095	1.6	2.1	1.2	1470
1398	DRY	dry	suho	2.5	1.27272727272727	1.25	1.30434782608696	1.25	2418
1402	BREAST	breast	grudi	3.14285714285714	1	1.15	1.1	1.08695652173913	538
1403	BITE	to bite	gristi	2.15	1.77272727272727	1.9	1.39130434782609	1.6	525
1405	NAME	name	ime	3.1	1.05	1.1	1.2	1.25	597
1407	BREATHE	to breathe	disati	3.35	1.31818181818182	1.04761904761905	1.08333333333333	1.25	313
1411	LIE (REST)	lie	laž	1.5	3.6	3.47368421052632	2.33333333333333	2.47619047619048	940
1412	RUDE	rude	neodgojen	1.45	3.40909090909091	2.57142857142857	2.25	2.55	1255
1413	PLAY	to play	igrati	3.75	1.3	1.3	1.1	1.1	594
1417	KILL	to kill	usmrtiti	1.45454545454545	3.47619047619048	3.25	3.55	3.47619047619048	2702
1419	FEAR (BE AFRAID)	fear	strah	1.3	1.55	2.5	3.05	2.15	2389
1420	COUNT	count	grof	2	1.25	1.15	1.7	1.75	532
1422	BE ALIVE	live	živjeti	4.04761904761905	1.28571428571429	1.1	1.3	1.1	2975
1423	FIGHT	to fight	svađati	1.45	2.59090909090909	3	2	2	2452
1424	YELLOW	yellow	žut	2.47619047619048	1	1.35	1	1.08695652173913	3014
1425	GREEN	green	zeleno	3.28571428571429	1	1.15	1.05	1.04347826086957	2952
1427	BEAUTIFUL	beautiful	krasan	3.55	1	1.05	1.04761904761905	1.14285714285714	867
143	HUMID	moist	vlažan	2.55	1.25	1.35	1.4	2.2	2809
1430	STAR	star	zvijezda	3.14285714285714	1.14285714285714	1.2	1.15	1.05	3018
1432	CUT	cut	rez	1.3	1.85	1.73684210526316	2.5	2.3	2044
1433	HIT	to hit	udariti	1.3	2.55	2.4	2.15	1.95	2621
1434	STAB	to stab	probosti	1.27272727272727	2.47619047619048	2.4	2.55	2.42105263157895	1873
1435	HUNT	to hunt	loviti	2.25	1.68181818181818	1.76190476190476	1.66666666666667	1.45	1004
1438	FOOL	fool	budala	1.52380952380952	2.61904761904762	1.95	1.85	1.5	182
144	MACHINE	machine	mašina	2.0952380952381	1.42857142857143	1.25	1.2	1.2	1052
1440	SPIT	to spit	pljuvati	1.2	3.1	2.4	1.65	2.9	1625
1441	FLY (MOVE THROUGH AIR)	fly	muha	1.35	2.31818181818182	1.6	1.21739130434783	2.2	1163
1442	STAND	stand	kućica	4	1.40909090909091	1.04761904761905	1.08333333333333	1	904
1443	WALK	to walk	šetati	3.65	1.15	1.05	1.1	1.45	2166
1447	GIVE	to give	dati	2.75	1.05	1.1	1.4	1.16129032258065	267
1450	ROOM	room	prostorija	2.45	1.15	1.2	1.3	1.45	1917
1451	SMILE	smile	osmijeh	4.61904761904762	1	1.1	1.25	1.1304347826087	1467
1456	THROW	to throw	lansirati	2.35	1.2	1.3	1.6	1.09677419354839	934
146	SUGAR CANE	cane	štap	2	1.59090909090909	1.14285714285714	1.16666666666667	1.1	2356
1462	POT	pot	barka	3.22727272727273	1.28571428571429	1	1.15789473684211	1.0952380952381	84
1463	DRUNK	drunk	pijan	2.04761904761905	1.8	1.85	1.55	1.95652173913043	1575
1465	BOX	box	kutija	2.45	1.31818181818182	1.14285714285714	1.20833333333333	1.05	920
1467	CIRCLE	circle	krug	1.75	1.04545454545455	1.38095238095238	1.3	1.0952380952381	896
1472	KEY	key	ključ	2.57142857142857	1.19047619047619	1.15	1.2	1.1	790
1473	FIST	fist	šaka	2.3	1.59090909090909	1.38095238095238	1.375	1.4	2102
1474	SEA	sea	more	4.05	1.1	1.1	1.3	1	1139
